Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
Pknox2,MS00093;4.96E-04,,,,
CNTN2::CREB1,M00115;5.00E-04,,,,
PAX8,M00717;5.16E-04,,,,
PAX1,MS00117;5.21E-04,M00326;6.55E-03,M00808;4.87E-02,,
RXRG,MS00694;5.32E-04,,,,
NR1I2,M00964;5.51E-04,,,,
MTF1,M01243;5.80E-04,MS00725;1.34E-03,,,
RARG,MS00684;5.82E-04,MS00680;2.97E-02,MS00682;7.57E-02,,
IRF6,UP00011;5.95E-04,,,,
MLXIPL,MS00265;6.15E-04,,,,
Gmeb1,UP00084;6.26E-04,,,,
TCF12,MC00126;6.47E-04,,,,
Yy1,MC00372;6.60E-04,,,,
GTF2IRD1,M01229;6.82E-04,M01241;5.81E-02,,,
NR2F6,M01728;6.84E-04,MS00658;9.54E-02,,,
RUNX2,MS00174;6.92E-04,MS00173;3.91E-03,MC00215;6.13E-02,,
NR6A1,M00526;6.93E-04,,,,
ARNT,MC00262;7.03E-04,,,,
CREB3L1,MS00304;7.32E-04,,,,
Osr1,UP00027;7.50E-04,,,,
TFEB,MS00289;7.78E-04,,,,
THRB,MS00711;7.90E-04,MS00713;1.94E-03,MS00710;9.61E-02,,
SMAD1,M00792;8.16E-04,M01590;4.98E-01,,,
HMX3,MS00475;8.25E-04,,,,
ATF3,MC00473;8.37E-04,,,,
STAT6,M00500;8.96E-04,,,,
ZNF784,MS00479;9.03E-04,,,,
Zfp691,UP00095;9.11E-04,,,,
MYBL2,MS00103;9.77E-04,MS00105;2.55E-03,MS00102;2.38E-01,,
MAFG,MS00327;1.01E-03,,,,
Ikzf3,MC00337;1.03E-03,,,,
ESRRG,MS00638;1.04E-03,,,,
HSF4,MS00060;1.08E-03,,,,
ATF6,M00483;1.14E-03,,,,
PAX9,MS00128;1.16E-03,,,,
NFE2L2,MC00339;1.21E-03,,,,
SF1,M01132;1.25E-03,,,,
HMGN1,MC00502;1.27E-03,,,,
PKNOX1,MS00091;1.29E-03,,,,
Zbtb3,UP00031;1.30E-03,,,,
Esrrb,MC00512;1.35E-03,,,,
MLX,MS00266;1.38E-03,,,,
Crx,MC00357;1.38E-03,,,,
Nr5a2,MC00352;1.38E-03,,,,
TGIF2LX,MS00095;1.41E-03,,,,
Nkx1-1,M01334;1.41E-03,,,,
MESP1,MS00264;1.43E-03,,,,
REST,MC00174;1.56E-03,,,,
TBX2,MS00211;1.61E-03,MS00213;1.39E-02,,,
Mlx,MS00270;1.62E-03,,,,
Sfpi1,UP00085;1.66E-03,MC00180;2.49E-01,MC00395;2.49E-01,,
PBX3,MC00281;1.71E-03,,,,
IRF3,UP00086;1.75E-03,,,,
RXRB,MS00692;2.00E-03,,,,
Rarb,MS00700;2.08E-03,,,,
ESR1,MC00335;2.12E-03,,,,
SMAD2/3,MC00223;2.12E-03,,,,
MAFF,MS00326;2.16E-03,,,,
Ppara,MC00134;2.17E-03,,,,
HINFP,MA0131;2.30E-03,,,,
PGR,MC00170;2.48E-03,,,,
Obox3,M01466;2.49E-03,,,,
Meis2,MS00087;2.54E-03,MS00086;3.28E-01,,,
ZBTB6,M00085;2.83E-03,,,,
MYB,UP00092;2.97E-03,,,,
GATA4,M00632;3.00E-03,,,,
Osr2,UP00052;3.02E-03,,,,
NFATC1,MC00211;3.06E-03,,,,
Rxrb,MS00708;3.09E-03,,,,
TAL1,M00993;3.10E-03,MC00458;1.74E-01,,,
Ets1,MC00385;3.11E-03,,,,
RFX5,MS00169;3.17E-03,,,,
FOXO6,MS00386;3.18E-03,MS00384;2.54E-01,,,
BHLHB2,MS00247;3.24E-03,,,,
TEF,M01305;3.26E-03,MS00339;8.01E-01,M00672;8.79E-01,,
SRF,MC00355;3.33E-03,,,,
Irf5,UP00040;3.33E-03,,,,
NANOG,M01123;3.37E-03,M01247;3.86E-01,MC00440;6.79E-01,,
ELF3,MS00812;3.62E-03,,,,
ATF1,UP00020;3.62E-03,,,,
Obox2,M01364;3.79E-03,,,,
RFX2,MS00162;3.87E-03,MS00161;6.51E-02,,,
Nr1d2,MC00186;4.00E-03,,,,
ZNF75A,MS00468;4.11E-03,,,,
EHF,MS00778;4.59E-03,,,,
RARA,UP00048;4.64E-03,,,,
ID4,MS00261;4.77E-03,,,,
FOXO4,MS00383;4.94E-03,MS00381;5.60E-01,,,
SFPI1,MC00513;5.00E-03,,,,
HIF1A,MC00316;5.07E-03,,,,
HSF2,MS00059;5.07E-03,,,,
NEUROD2,MS00271;5.25E-03,,,,
MAFK,MS00330;5.26E-03,MS00331;1.92E-02,,,
Irf4,UP00018;5.44E-03,MC00190;4.17E-02,,,
Meis3,MS00089;5.45E-03,MS00088;7.16E-02,,,
Usf2,MC00169;5.48E-03,,,,
DMBX1,MS00433;5.64E-03,,,,
EPAS1,MC00224;5.69E-03,,,,
HSFY2,MS00061;6.02E-03,MS00062;8.31E-02,,,
HNF1B,M00646;6.26E-03,M01425;6.33E-01,MS00478;9.78E-01,,
Rxra,MC00471;6.30E-03,,,,
BHLHB3,MS00248;6.38E-03,,,,
Atoh1,MC00414;6.69E-03,MS00244;2.49E-02,,,
Jdp2,MS00325;6.73E-03,MS00324;6.72E-01,,,
NFIA,MS00820;6.77E-03,,,,
RFX4,UP00056;6.89E-03,,,,
Creb5,MS00313;6.91E-03,,,,
E4F1,M00694;6.95E-03,,,,
Obox1,M01450;7.02E-03,,,,
BHLHE41,MS00251;7.39E-03,,,,
FIGLA,MS00254;7.52E-03,,,,
STAT1,MC00348;7.97E-03,,,,
Mafk,UP00044;8.22E-03,,,,
Creb1,MC00163;8.52E-03,,,,
Gfi1b,MC00293;8.61E-03,,,,
Tp53,MS00717;8.79E-03,MS00718;5.10E-02,,,
MAF,M00983;8.89E-03,M00648;1.28E-02,,,
Rela,MC00135;9.07E-03,,,,
Sox6,MC00305;9.60E-03,,,,
T,MS00218;9.74E-03,,,,
Nkx2-9,UP00119;9.96E-03,,,,
JDP2,MS00320;1.01E-02,MS00319;6.28E-01,,,
HOXA1,MS00486;1.12E-02,,,,
BACH2,M00490;1.15E-02,,,,
USF1,MC00248;1.20E-02,,,,
TEAD1,MS00220;1.21E-02,MS00219;3.01E-01,,,
Esr1,MC00295;1.21E-02,,,,
MAFB,UP00045;1.23E-02,,,,
Ebf1,MC00358;1.25E-02,,,,
FOXH1,MC00304;1.27E-02,M00809;6.77E-01,,,
ZNF423,M00467;1.30E-02,,,,
NEUROD1,M01288;1.33E-02,,,,
JUN,MC00321;1.34E-02,,,,
Hsf1,MC00368;1.35E-02,,,,
Rhox11,UP00193;1.40E-02,MS00611;2.96E-02,,,
Nr3c1,MC00396;1.43E-02,,,,
Myb,MC00408;1.48E-02,,,,
Nr1h2,MC00448;1.62E-02,,,,
PBX1,UP00185;1.75E-02,,,,
Tead4,MC00157;1.77E-02,,,,
ELF5,MS00838;1.79E-02,,,,
ZBED1,MS00290;1.87E-02,,,,
MYOG,M00712;1.94E-02,,,,
BPTF,M00456;1.98E-02,,,,
RBPJ,M01112;2.02E-02,,,,
IRF7,MS00070;2.06E-02,,,,
Bhlhb2,MS00252;2.09E-02,,,,
NR2F2,M00155;2.12E-02,,,,
UBP1,M00644;2.13E-02,,,,
Fli1,MC00129;2.14E-02,,,,
NR2F1,MS00657;2.16E-02,MA0017;9.61E-02,,,
FOXK1,MS00371;2.16E-02,,,,
ESRRA,MS00829;2.17E-02,,,,
SPIC,MS00040;2.22E-02,,,,
ARID5B,M00454;2.26E-02,,,,
NKX3-1,UP00389;2.33E-02,MS00572;4.15E-02,,,
NFATC4,M01734;2.34E-02,,,,
FOXO3,MS00380;2.56E-02,MS00378;7.01E-01,,,
Lhx8,UP00184;2.60E-02,MS00548;1.75E-01,MS00549;2.66E-01,MS00550;6.92E-01,
Npas4,MC00370;2.62E-02,,,,
IRF4,MS00065;2.70E-02,MC00227;4.68E-01,,,
ZNF217,M01306;2.82E-02,,,,
GSC2,MS00463;2.84E-02,,,,
BATF3,MS00296;2.89E-02,,,,
ZNF435,MS00730;2.92E-02,,,,
ATF7,MS00294;2.94E-02,,,,
GLI3,M01596;3.17E-02,,,,
TBX15,MS00192;3.22E-02,,,,
RHOXF1,MS00609;3.23E-02,,,,
FOXG1,MS00361;3.27E-02,MS00360;9.76E-01,,,
Tcf3,MC00265;3.36E-02,,,,
Foxg1,MS00392;3.44E-02,MS00393;1.81E-01,,,
IRF2,MA0051;3.46E-02,,,,
Nkx3-1,MS00580;3.47E-02,MC00250;7.88E-01,,,
Stat5a,MC00205;3.47E-02,,,,
Hoxd12,UP00177;3.65E-02,,,,
SNAI2,MS00201;3.72E-02,,,,
TBR1,MS00191;3.73E-02,,,,
Runx1,MC00413;3.78E-02,,,,
FOXO1,MS00376;3.83E-02,MS00375;5.62E-01,,,
THRA,MS00709;3.90E-02,,,,
HOXA10,MS00480;3.91E-02,MS00481;2.96E-01,,,
Nr2f6,MS00669;3.92E-02,,,,
RORA,MS00685;4.08E-02,MS00686;2.06E-01,,,
GZF1,M01069;4.16E-02,,,,
RUNX1,MC00312;4.28E-02,M00082;6.82E-01,,,
Neurod1,MC00354;4.42E-02,,,,
Mybl1,UP00081;4.46E-02,,,,
Nr2e1,MS00668;4.48E-02,,,,
PPARA,M01282;4.49E-02,,,,
Tbx21,MC00356;4.51E-02,,,,
GFI1,M01067;4.71E-02,,,,
Gsc,UP00112;4.72E-02,,,,
PITX3,MS00596;4.78E-02,,,,
Foxk1,MS00398;4.91E-02,MS00399;3.19E-01,,,
PRDM1,MS00168;4.95E-02,,,,
ATF2::JUN,M00041;5.03E-02,,,,
TEAD3,MS00221;5.10E-02,MS00222;1.88E-01,,,
NKX3-2,MS00573;5.16E-02,,,,
HMX1,MS00473;5.20E-02,,,,
Foxa1,MC00104;5.25E-02,,,,
RORB,M01722;5.28E-02,,,,
ISL2,MS00528;5.29E-02,,,,
GSX2,MS00466;5.36E-02,M01326;6.04E-01,,,
Esrra,MS00641;5.44E-02,,,,
TBX19,MS00194;5.48E-02,,,,
IRF8,MS00072;5.88E-02,,,,
ZSCAN4,MS00490;5.93E-02,,,,
JUNB,MC00371;6.14E-02,,,,
NR4A1,MC00280;6.37E-02,,,,
OTX1,MS00582;6.54E-02,,,,
Nkx6-1,MS00581;6.60E-02,,,,
TBX20,MS00202;6.62E-02,,,,
SIX4,UP00199;6.89E-02,,,,
HOXA13,MS00485;7.01E-02,MS00484;6.24E-01,,,
Barhl1,MS00421;7.02E-02,MS00422;7.50E-01,,,
LBX2,MS00533;7.05E-02,MS00535;2.95E-01,,,
VSX1,MS00626;7.09E-02,,,,
BHLHA15,MS00245;7.12E-02,,,,
OTX2,MS00585;7.13E-02,,,,
Jund,MC00154;7.28E-02,,,,
RUNX3,MS00177;7.54E-02,,,,
Nkx2-4,UP00107;7.57E-02,,,,
HMX2,MS00474;7.77E-02,,,,
GSX1,MS00465;7.83E-02,,,,
Myod1,MC00369;7.95E-02,,,,
GRHL1,MS00556;7.95E-02,,,,
MAFA,M01709;7.99E-02,,,,
