,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
77069|ZNF627,0.2294263134407729,Homo sapiens,ZNF627,tf,293T,None,None,1,ZNF627
63376|ZSCAN5A,0.23119664412237526,Homo sapiens,ZSCAN5A,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN5A
77138|ZNF324B,0.2332322186297511,Homo sapiens,ZNF324B,tf,293T,None,None,0,ZNF324B
76888|TERT,0.23395223224982564,Homo sapiens,TERT,other,VA13,Fibroblast,Lung,1,TERT
77051|ZNF737,0.2342405638507497,Homo sapiens,ZNF737,tf,293T,None,None,0,ZNF737
38856|ATOH1,0.23588992276377346,Homo sapiens,ATOH1,tf,LoVo,None,Colon,1,ATOH1
77067|ZNF662,0.23706714562482414,Homo sapiens,ZNF662,tf,293T,None,None,1,ZNF662
77076|ZNF614,0.2374944383686519,Homo sapiens,ZNF614,tf,293T,None,None,1,ZNF614
62990|GLI4,0.2415000900720886,Homo sapiens,GLI4,,HEK293,Epithelium,Embryonic Kidney,1,GLI4
77092|ZNF555,0.2424758624404409,Homo sapiens,ZNF555,tf,293T,None,None,1,ZNF555
77082|ZNF573,0.24461006666004334,Homo sapiens,ZNF573,tf,293T,None,None,1,ZNF573
74120|OLFM2,0.24555066756081398,Homo sapiens,OLFM2,other,MCF-7,None,None,1,OLFM2
42889|ZNF581,0.247051958186765,Homo sapiens,ZNF581,predicted transcription factor,LoVo,None,Colon,0,ZNF581
38721|CREB3L4,0.24746674740129265,Homo sapiens,CREB3L4,tf,LoVo,None,Colon,1,CREB3L4
77153|ZNF25,0.2491073888634864,Homo sapiens,ZNF25,tf,293T,None,None,0,ZNF25
45978|ZNF217,0.2535644432404437,Homo sapiens,ZNF217,predicted transcription factor,MCF-7,Epithelium,Breast,1,ZNF217
63977|ZNF512,0.25506797164936257,Homo sapiens,ZNF512,,K562,Erythroblast,Bone Marrow,1,ZNF512
65082|ZNF778,0.2563368872612401,Homo sapiens,ZNF778,,HEK293,Epithelium,Embryonic Kidney,1,ZNF778
77054|ZNF716,0.25765561513708657,Homo sapiens,ZNF716,tf,293T,None,None,1,ZNF716
33035|AHR,0.25789911540341964,Homo sapiens,AHR,tf,MCF-7,Epithelium,Breast,1,AHR
65059|ZFP82,0.2588766627497944,Homo sapiens,ZFP82,,HEK293,Epithelium,Embryonic Kidney,0,ZFP82
38681|PHF20,0.2602983291021575,Homo sapiens,PHF20,cr,LoVo,None,Colon,0,PHF20
39577|BACH2,0.262660305971139,Homo sapiens,BACH2,tf,OCI-Ly7,B cell lymphoma,Blood,1,BACH2
77066|ZNF671,0.2639081673837069,Homo sapiens,ZNF671,tf,293T,None,None,1,ZNF671
49603|ZNF486,0.26574274823943234,Homo sapiens,ZNF486,not sure,None,Embryonic Stem Cell,Embryo,1,ZNF486
76568|UHRF2,0.2690788834775203,Homo sapiens,UHRF2,other,293T,None,None,1,UHRF2
76836|GCSAM,0.27066443104437304,Homo sapiens,GCSAM,other,HeLa,Epithelium,Cervix,1,GCSAM
62682|ZNF16,0.2709478629735748,Homo sapiens,ZNF16,,HEK293,Epithelium,Embryonic Kidney,1,ZNF16
77025|ZNF823,0.27142051227248354,Homo sapiens,ZNF823,tf,293T,None,None,1,ZNF823
76470|MBD3L2,0.2790051244907701,Homo sapiens,MBD3L2,other,None,None,None,0,MBD3L2
73091|RPA2,0.280494597649137,Homo sapiens,RPA2,other,HeLa,Epithelium,Cervix,0,RPA2
