,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
53303|FUS,3.719485937198209e-13,Homo sapiens,FUS,other,TSU-1621-MT,None,None,1,FUS
45607|SREBF2,3.815868458896184e-13,Homo sapiens,SREBF2,tf,GM12878,B Lymphocyte,Blood,1,SREBF2
64348|ZNF644,4.680462179821223e-13,Homo sapiens,ZNF644,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZNF644
64981|PATZ1,5.129704555915129e-13,Homo sapiens,PATZ1,tf,HEK293,Epithelium,Embryonic Kidney,1,PATZ1
49267|BMI1,5.356300378953887e-13,Homo sapiens,BMI1,cr,293T-Rex,None,None,1,BMI1
50161|PR,5.606931856044477e-13,Homo sapiens,PR,predicted transcription factor,None,None,Prostate,1,PR
63018|DEK,7.79215751773128e-13,Homo sapiens,DEK,predicted chromatin regulator,HeLa-S3,Epithelium,Cervix,1,DEK
63633|ZNF101,8.299335974528549e-13,Homo sapiens,ZNF101,,HEK293,Epithelium,Embryonic Kidney,1,ZNF101
63123|MBD1_isoform2,8.684418533326624e-13,Homo sapiens,MBD1_isoform2,,HepG2,Epithelium,Liver,1,MBD1_isoform2
46144|MEF2C,1.0355727109677202e-12,Homo sapiens,MEF2C,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,MEF2C
62762|PKNOX1,1.1856959315430495e-12,Homo sapiens,PKNOX1,tf,K562,Erythroblast,Bone Marrow,1,PKNOX1
49742|SSU72,1.2341390771492682e-12,Homo sapiens,SSU72,other,H1,Embryonic Stem Cell,Embryo,1,SSU72
63631|ZNF501,1.3335847532920312e-12,Homo sapiens,ZNF501,,HEK293,Epithelium,Embryonic Kidney,1,ZNF501
39577|BACH2,1.4662513483598528e-12,Homo sapiens,BACH2,tf,OCI-Ly7,B cell lymphoma,Blood,1,BACH2
64369|MYNN,1.541188924099846e-12,Homo sapiens,MYNN,tf,K562,Erythroblast,Bone Marrow,1,MYNN
63594|SOX13,1.7453518470926975e-12,Homo sapiens,SOX13,,HepG2,Epithelium,Liver,1,SOX13
45627|ESRRA,1.7715664911574801e-12,Homo sapiens,ESRRA,tf,GM12878,B Lymphocyte,Blood,1,ESRRA
46358|PBX3,1.847955703571356e-12,Homo sapiens,PBX3,tf,SK-N-SH,Neuroblastoma cell,Brain,1,PBX3
62874|DNMT3B,2.0105478644519893e-12,Homo sapiens,DNMT3B,cr,HepG2,Epithelium,Liver,1,DNMT3B
44026|AGO1,2.0305749028320785e-12,Homo sapiens,AGO1,other,PC-3,Epithelium,Prostate,1,AGO1
63522|TARDBP,2.5054972287787543e-12,Homo sapiens,TARDBP,,GM12878,B Lymphocyte,Blood,1,TARDBP
69220|SLC22A2,2.606350624079016e-12,Homo sapiens,SLC22A2,not sure,HBL1,B cell lymphoma,None,1,SLC22A2
65197|KLF15,2.7651335606458504e-12,Homo sapiens,KLF15,tf,HEK293,Epithelium,Embryonic Kidney,1,KLF15
63822|GTF2E2,3.1423886831021557e-12,Homo sapiens,GTF2E2,tf,K562,Erythroblast,Bone Marrow,1,GTF2E2
41625|MAFK,4.5031182702397574e-12,Homo sapiens,MAFK,tf,OCI-Ly7,B cell lymphoma,Blood,1,MAFK
63771|NR2F6,4.682226050022186e-12,Homo sapiens,NR2F6,tf,HepG2,Epithelium,Liver,1,NR2F6
69246|SIX2,4.976142603200872e-12,Homo sapiens,SIX2,tf,None,Cortex,Kidney,1,SIX2
62529|ZNF175,5.1235694535724055e-12,Homo sapiens,ZNF175,,K562,Erythroblast,Bone Marrow,1,ZNF175
64546|HNF1A,5.378843673718263e-12,Homo sapiens,HNF1A,tf,HepG2,Epithelium,Liver,1,HNF1A
65123|ZFP64,5.484405879714853e-12,Homo sapiens,ZFP64,,HEK293,Epithelium,Embryonic Kidney,1,ZFP64
2813|RXRG,5.870101089614086e-12,Homo sapiens,RXRG,tf,UPR9,Promyelocytic cell,Bone Marrow,1,RXRG
