,0,TF
MS00619|Uncx,0.07202780722227109,Uncx
UP00159|SIX2,0.07338173278940009,SIX2
MA0031|FOXD1,0.07502777716473744,FOXD1
UP00064|Sox18,0.07554113898246197,Sox18
MC00501|FOXP1,0.07638501146963729,FOXP1
MS00501|Zfp652,0.07701795083085407,Zfp652
MC00248|USF1,0.08109884528185907,USF1
MC00508|Batf,0.08133948427960758,Batf
M01435|Rhox6,0.08139352766171484,Rhox6
MS00493|HOXB5,0.08253698414728883,HOXB5
MS00582|OTX1,0.08313767289289022,OTX1
MS00543|LMX1A,0.083277026817538,LMX1A
MS00708|Rxrb,0.0841020276974002,Rxrb
MC00351|FOSL1,0.08458782600992043,FOSL1
M01445|Obox6,0.08952983108653174,Obox6
MS00611|Rhox11,0.08999324790347094,Rhox11
MS00465|GSX1,0.09169995628507568,GSX1
MS00653|NR2E1,0.09446690039139767,NR2E1
MS00487|HOXA2,0.09481873892212322,HOXA2
MA0130|ZNF354C,0.09559766938744495,ZNF354C
MS00092|PKNOX2,0.10090460623561197,PKNOX2
MS00261|ID4,0.1009200933705904,ID4
MS00620|VAX1,0.10268343344576782,VAX1
MS00290|ZBED1,0.1033530739314391,ZBED1
MS00829|ESRRA,0.10382085593559501,ESRRA
MS00072|IRF8,0.10628667804035373,IRF8
MS00425|CDX1,0.10928944461280957,CDX1
MA0365|RFX1,0.11069698347890773,RFX1
UP00243|Isx,0.11117984544709193,Isx
MS00528|ISL2,0.11440328325872663,ISL2
MC00321|JUN,0.1144147114450925,JUN
MC00204|Stat5b,0.11573770059065364,Stat5b
MS00446|EN1,0.11886686812371698,EN1
MA0040|Foxq1,0.1192199412854881,Foxq1
MS00808|TFEC,0.12362134129499304,TFEC
MS00406|Alx1,0.12422276466520915,Alx1
MS00452|ESX1,0.12429669829698944,ESX1
MS00573|NKX3-2,0.1244813743754894,NKX3-2
MS00519|Hoxd13,0.12553139858046608,Hoxd13
MC00205|Stat5a,0.1298721322787262,Stat5a
M01081|ZNF628,0.1301397964065987,ZNF628
UP00187|ALX4,0.1333518492181862,ALX4
MS00419|BSX,0.13444015209665616,BSX
MS00436|DPRX,0.1356958892929329,DPRX
MC00369|Myod1,0.13604785222313756,Myod1
UP00101|Sox12,0.13647601544565513,Sox12
MS00016|ETV2,0.13797947373558575,ETV2
UP00023|Sox30,0.1381734090602732,Sox30
M01127|ISL1,0.13881580251168915,ISL1
MC00356|Tbx21,0.145318708632071,Tbx21
