,0,TF
MS00252|Bhlhb2,8.335853410043698e-05,Bhlhb2
MS00217|TBX5,8.380530262734936e-05,TBX5
UP00011|IRF6,8.489385527218047e-05,IRF6
M00500|STAT6,8.862224819741881e-05,STAT6
MS00125|PAX6,9.39409036925767e-05,PAX6
MS00268|YY2,0.00010817625369094033,YY2
MS00380|FOXO3,0.00011047762384396331,FOXO3
MS00061|HSFY2,0.0001124918843665177,HSFY2
MS00188|MGA,0.00011840678252898785,MGA
MS00025|FEV,0.00012112635531983851,FEV
MA0073|RREB1,0.00012922381985097992,RREB1
MC00223|SMAD2/3,0.00015513997801722005,SMAD2/3
MS00423|ZNF524,0.00017009401193924647,ZNF524
M00433|Hmx3,0.00018191621211897694,Hmx3
MC00385|Ets1,0.00020429127068409601,Ets1
UP00184|Lhx8,0.00020850796640362162,Lhx8
M01288|NEUROD1,0.0002712345629555831,NEUROD1
M00456|BPTF,0.000276122094363766,BPTF
MS00376|FOXO1,0.0002882302279342621,FOXO1
M00483|ATF6,0.0002914501174857119,ATF6
MC00295|Esr1,0.00030053190162111006,Esr1
MC00335|ESR1,0.0003489817990313991,ESR1
M00179|ATF2,0.00035930554745939566,ATF2
MC00396|Nr3c1,0.00039295324979144103,Nr3c1
MS00684|RARG,0.0004343992012195757,RARG
MS00662|NR3C2,0.0004760554012981818,NR3C2
M01207|ETS2,0.0005109575525312846,ETS2
MS00709|THRA,0.0005428492139901255,THRA
MS00729|ZNF282,0.0005478318087660055,ZNF282
MS00778|EHF,0.0007498194912200118,EHF
MS00202|TBX20,0.00076892995778784,TBX20
MS00296|BATF3,0.000927470427025107,BATF3
MS00626|VSX1,0.0009953663773774042,VSX1
UP00192|SIX1,0.0010254632120526718,SIX1
MS00102|MYBL2,0.0010342924244642763,MYBL2
UP00193|Rhox11,0.0011702176003649725,Rhox11
M00155|NR2F2,0.001208699895361168,NR2F2
M01247|NANOG,0.0012092827083264436,NANOG
MS00653|NR2E1,0.0012997369081851919,NR2E1
MC00408|Myb,0.001595442436067235,Myb
M00222|TCF3,0.0016393694280050952,TCF3
MC00170|PGR,0.0016859595848035284,PGR
MC00280|NR4A1,0.001953357219783493,NR4A1
MS00251|BHLHE41,0.0020288268531291082,BHLHE41
MS00067|IRF5,0.0021124099186504404,IRF5
MS00072|IRF8,0.0023483647718283156,IRF8
MS00756|E2F7,0.0023742193328868456,E2F7
MS00194|TBX19,0.0025388108224526974,TBX19
MC00134|Ppara,0.0026923387005236958,Ppara
UP00148|Hdx,0.004022002747138889,Hdx
M00105|CUX1,0.004450253437870455,CUX1
M01596|GLI3,0.0044664155581887076,GLI3
MS00685|RORA,0.004584805323621303,RORA
MC00124|MAX,0.004686216717148377,MAX
MC00407|Myc,0.004792206468914074,Myc
MS00294|ATF7,0.004851949804010744,ATF7
UP00085|Sfpi1,0.005495952951914927,Sfpi1
MC00448|Nr1h2,0.0055584661519060856,Nr1h2
UP00086|IRF3,0.006289990262067602,IRF3
MS00179|SCRT1,0.006499916844371433,SCRT1
M01656|Trp63,0.0065308785556930475,Trp63
MS00436|DPRX,0.007253946619836826,DPRX
MS00539|LHX6,0.0075505640705927635,LHX6
MS00475|HMX3,0.008138996087590023,HMX3
MC00163|Creb1,0.008446393561017231,Creb1
MC00126|TCF12,0.009058959326888353,TCF12
UP00027|Osr1,0.009062845951183618,Osr1
MC00111|Bcl6,0.009172549959282744,Bcl6
MC00337|Ikzf3,0.009356217891820754,Ikzf3
MS00169|RFX5,0.009558472441967671,RFX5
MS00320|JDP2,0.0099487302006489,JDP2
MS00177|RUNX3,0.010016223556816046,RUNX3
MC00357|Crx,0.010208307928020096,Crx
MS00282|Srebf1,0.01049499077473252,Srebf1
MC00465|NR3C1,0.01147724503543178,NR3C1
MS00812|ELF3,0.011553643233934085,ELF3
MS00668|Nr2e1,0.011582046629286219,Nr2e1
MS00433|DMBX1,0.011621141080151273,DMBX1
M00648|MAF,0.011701908206819054,MAF
MS00253|CLOCK,0.011743997893262033,CLOCK
MS00325|Jdp2,0.011817343032799332,Jdp2
MC00169|Usf2,0.012866061134704494,Usf2
MS00065|IRF4,0.014840499263662573,IRF4
MS00243|Ascl2,0.016921301630149623,Ascl2
MS00392|Foxg1,0.017020689603260666,Foxg1
M00490|BACH2,0.01782603712171728,BACH2
MC00135|Rela,0.01990604494464368,Rela
MS00023|Elk3,0.021812153618735758,Elk3
MS00218|T,0.02334075444525219,T
MS00326|MAFF,0.023747745419704938,MAFF
MC00476|Rarg,0.023902863133640276,Rarg
UP00199|SIX4,0.025580965423145238,SIX4
UP00040|Irf5,0.028435250285579073,Irf5
M01305|TEF,0.030917750487548818,TEF
MS00338|NRL,0.031564453631951345,NRL
MC00344|Hnf4a,0.034754312213553046,Hnf4a
M00999|AIRE,0.035170920140702173,AIRE
MC00368|Hsf1,0.03609851298263022,Hsf1
M00646|HNF1B,0.03610699686441907,HNF1B
MS00609|RHOXF1,0.03713797756559886,RHOXF1
MA0103|ZEB1,0.03778513123611439,ZEB1
MS00266|MLX,0.03978452767585091,MLX
MS00468|ZNF75A,0.044094176939228936,ZNF75A
MC00334|SIX5,0.04667520960064988,SIX5
MS00083|MEIS2,0.048423315008176204,MEIS2
MS00045|GATA5,0.0492675695675013,GATA5
MC00512|Esrrb,0.05357061075646112,Esrrb
MA0365|RFX1,0.05382847024381818,RFX1
M00062|IRF1,0.055828192532749135,IRF1
MC00506|Spi1,0.058776868731485556,Spi1
MS00060|HSF4,0.06115593376226117,HSF4
M00706|GTF2I,0.06361562266103275,GTF2I
MC00356|Tbx21,0.0679779211306525,Tbx21
UP00052|Osr2,0.0696365495356189,Osr2
MS00846|ERF,0.0732858876596969,ERF
MC00339|NFE2L2,0.07395249419468482,NFE2L2
UP00243|Isx,0.07492381897189106,Isx
MA0051|IRF2,0.0755569027997162,IRF2
MS00070|IRF7,0.07667826566199663,IRF7
MS00219|TEAD1,0.07802886995671583,TEAD1
MS00556|GRHL1,0.08457650009882524,GRHL1
M00964|NR1I2,0.08583701531957394,NR1I2
M01466|Obox3,0.08834210135516203,Obox3
MC00193|RELA,0.09075939820897773,RELA
M01081|ZNF628,0.09163921464240826,ZNF628
MS00726|PRDM4,0.09199307365640409,PRDM4
MC00355|SRF,0.09264239610157077,SRF
MC00358|Ebf1,0.09415020764048809,Ebf1
MS00505|HOXC13,0.09467154269791497,HOXC13
MC00248|USF1,0.0954861656262211,USF1
UP00043|Bcl6b,0.10687932910184465,Bcl6b
MS00491|HOXB2,0.10897253235475232,HOXB2
MS00224|TEAD4,0.1091022621538212,TEAD4
M00133|POU3F1,0.10944706698087055,POU3F1
UP00009|Nr2f2,0.11102581578200886,Nr2f2
MC00104|Foxa1,0.12047442580968692,Foxa1
MS00168|PRDM1,0.12372373672112634,PRDM1
UP00112|Gsc,0.1267211351979671,Gsc
MS00343|FOXB1,0.1283303870750841,FOXB1
M00750|HMGA1,0.12846083494650037,HMGA1
MC00352|Nr5a2,0.12919351875384966,Nr5a2
MS00730|ZNF435,0.13054753746295303,ZNF435
MS00299|CEBPD,0.13275976426468425,CEBPD
UP00033|Zfp410,0.1371985251043431,Zfp410
MS00214|TBX4,0.13958531125362675,TBX4
M00088|IKZF1,0.1461968230759533,IKZF1
M01709|MAFA,0.14673368018194247,MAFA
MC00413|Runx1,0.155420370824303,Runx1
UP00048|RARA,0.15558062481472215,RARA
MA0101|REL,0.1558162366789512,REL
UP00159|SIX2,0.168523832585942,SIX2
M00526|NR6A1,0.168745995363301,NR6A1
MS00829|ESRRA,0.17040770342247732,ESRRA
MS00418|BARX1,0.17431505242722106,BARX1
UP00238|Nkx6-3,0.1825261428211752,Nkx6-3
UP00139|Nkx1-2,0.18853066050386014,Nkx1-2
M01262|TBX18,0.1920621610449392,TBX18
M01069|GZF1,0.1990971966288429,GZF1
MA0030|FOXF2,0.20082935097031263,FOXF2
UP00132|Evx2,0.20088297974791275,Evx2
UP00055|HBP1,0.2018986305937144,HBP1
MS00265|MLXIPL,0.2023391735660728,MLXIPL
MS00582|OTX1,0.20550473516842124,OTX1
MC00458|TAL1,0.20770139326836587,TAL1
MS00527|IRX5,0.21083694728799837,IRX5
M01734|NFATC4,0.21228671480907588,NFATC4
MC00122|Cebpa,0.21450718096120627,Cebpa
MS00489|HOXB13,0.21563686621046785,HOXB13
MS00053|TCF7L1,0.2157458740126422,TCF7L1
MS00455|EVX2,0.21904260693558952,EVX2
MS00438|DUXA,0.22116200575535883,DUXA
MS00016|ETV2,0.2217829400145078,ETV2
MS00421|Barhl1,0.22511465090379226,Barhl1
M00632|GATA4,0.22712517458178394,GATA4
MS00073|IRF9,0.23173192071199633,IRF9
UP00044|Mafk,0.23562795561539954,Mafk
MC00293|Gfi1b,0.2368262400776225,Gfi1b
UP00195|SIX3,0.2371627706596863,SIX3
