,0,TF
M00737|E2F1::TFDP2,0.17610357700155732,E2F1::TFDP2
MS00492|HOXB3,0.1782974219713796,HOXB3
MA0152|NFATC2,0.17961328607261232,NFATC2
UP00389|NKX3-1,0.18232606815296745,NKX3-1
M01148|DMRT3,0.1863343034313059,DMRT3
MC00304|FOXH1,0.18810996699598276,FOXH1
MS00197|TBX1,0.18944998332937318,TBX1
MS00505|HOXC13,0.19348019292437663,HOXC13
MS00624|VENTX,0.19542739409416035,VENTX
MC00120|GATA1,0.19820076550036897,GATA1
MC00265|Tcf3,0.198755981010147,Tcf3
UP00193|Rhox11,0.20097550735089145,Rhox11
UP00190|NKX2-3,0.2023049482695459,NKX2-3
UP00113|HOXC4,0.20504816684951815,HOXC4
MS00609|RHOXF1,0.20553633566834772,RHOXF1
M01425|HNF1B,0.20586068252689718,HNF1B
MC00394|MYC,0.20657016506096118,MYC
MS00255|HES5,0.2090916147395311,HES5
MS00463|GSC2,0.21017170699160115,GSC2
M01295|ATF5,0.210267968580492,ATF5
MS00559|MSX1,0.21186629518458525,MSX1
MS00556|GRHL1,0.2146891483143081,GRHL1
UP00107|Nkx2-4,0.2155427186764624,Nkx2-4
UP00166|BARHL1,0.21568893653391294,BARHL1
MA0442|SOX10,0.21940641534569713,SOX10
MC00105|Foxa2,0.2195078317484841,Foxa2
MC00309|TCF7L2,0.22203438675074522,TCF7L2
MS00669|Nr2f6,0.22245653304839966,Nr2f6
MS00739|E2F8,0.22538160346549688,E2F8
UP00187|ALX4,0.2259309160461272,ALX4
UP00033|Zfp410,0.22785849715391435,Zfp410
MS00428|DLX2,0.23150946199494984,DLX2
MA0108|TBP,0.23314607040992016,TBP
MS00067|IRF5,0.2364067728431016,IRF5
MC00170|PGR,0.23689245828742186,PGR
M01132|SF1,0.23699013055742368,SF1
MC00411|BATF,0.23744041466620627,BATF
MS00617|UNCX,0.24063704957389953,UNCX
MC00512|Esrrb,0.24388636506298622,Esrrb
MC00359|TP53,0.24960773035246678,TP53
MS00245|BHLHA15,0.26343098470563614,BHLHA15
MA0101|REL,0.2641188330763141,REL
MS00487|HOXA2,0.2641599612050239,HOXA2
M00495|BACH1,0.26462276968853077,BACH1
MC00154|Jund,0.273441022098467,Jund
MS00390|ZNF238,0.27557325179012665,ZNF238
MS00264|MESP1,0.27653728415897233,MESP1
MS00266|MLX,0.2769008929656728,MLX
MC00344|Hnf4a,0.2781424796941904,Hnf4a
MS00073|IRF9,0.2793669967555683,IRF9
MS00429|DLX3,0.2808610602901796,DLX3
MA0116|Zfp423,0.28212165027536545,Zfp423
UP00145|BARHL2,0.2837381766832587,BARHL2
MS00808|TFEC,0.28507989785918414,TFEC
MS00555|MIXL1,0.28764299291976825,MIXL1
MS00732|CPEB1,0.28941884037242865,CPEB1
MC00262|ARNT,0.2902946739554816,ARNT
MC00316|HIF1A,0.2907826511380748,HIF1A
MS00450|EN2,0.29552998475796666,EN2
M00155|NR2F2,0.2968246836520073,NR2F2
UP00259|HOXB6,0.2968521327555788,HOXB6
MS00269|MYF6,0.2994324102143321,MYF6
MS00300|CEBPE,0.30047574591085985,CEBPE
MS00665|NR4A2,0.30129674093186243,NR4A2
MC00471|Rxra,0.30362190815191237,Rxra
M01282|PPARA,0.30414931100246495,PPARA
UP00130|LHX3,0.30733932642902495,LHX3
MS00526|IRX2,0.31365504794106214,IRX2
MS00662|NR3C2,0.31665344281812163,NR3C2
MS00261|ID4,0.31942291822972196,ID4
MS00137|POU2F3,0.31987580975905583,POU2F3
UP00231|NKX2-2,0.3246033568251954,NKX2-2
MS00254|FIGLA,0.32747658962409304,FIGLA
M01722|RORB,0.32764148968058143,RORB
M01149|Dmrta1,0.32900300015201145,Dmrta1
UP00152|Arx,0.3306346294708722,Arx
UP00128|POU3F2,0.3320955889574994,POU3F2
M00041|ATF2::JUN,0.33440992758217314,ATF2::JUN
MS00837|HOXD12,0.33545679450104854,HOXD12
MS00491|HOXB2,0.3408897455490133,HOXB2
MC00231|MEF2C,0.34302641074779355,MEF2C
MS00528|ISL2,0.3497623874170218,ISL2
MA0130|ZNF354C,0.351262819147682,ZNF354C
MS00582|OTX1,0.35146514597323925,OTX1
MC00402|Hoxc9,0.3536102460284427,Hoxc9
MS00479|ZNF784,0.3547742515154274,ZNF784
M01483|Dbx1,0.35643447205158424,Dbx1
MC00416|Rbfox2,0.35651780476211603,Rbfox2
MS00484|HOXA13,0.35835435786196135,HOXA13
MC00468|AR,0.36441748161256005,AR
MC00362|Arntl,0.36793521134334145,Arntl
MS00201|SNAI2,0.36877149709302465,SNAI2
MS00475|HMX3,0.36878068395539565,HMX3
MC00355|SRF,0.36941285432301063,SRF
MC00465|NR3C1,0.3696319288169253,NR3C1
MS00571|NKX2-8,0.37271591574067225,NKX2-8
MS00265|MLXIPL,0.37424579880423164,MLXIPL
M01207|ETS2,0.3764554409533338,ETS2
MC00136|Hoxb4,0.37830440596505227,Hoxb4
MS00147|POU3F4,0.37981899507303224,POU3F4
MS00361|FOXG1,0.3819337210556366,FOXG1
MA0125|Nobox,0.38214880846328225,Nobox
UP00023|Sox30,0.38328313907509853,Sox30
MC00124|MAX,0.38585112679403044,MAX
MS00244|Atoh1,0.3881994197881568,Atoh1
MC00195|Myf5,0.3895915963447592,Myf5
