,0,TF
MS00337|NFIL3,0.010326030549073818,NFIL3
MS00361|FOXG1,0.010401785877294654,FOXG1
UP00138|Bsx,0.010816058504202806,Bsx
MS00023|Elk3,0.010839688553489006,Elk3
UP00139|Nkx1-2,0.010945144302342872,Nkx1-2
MC00394|MYC,0.011405351854415373,MYC
MS00512|Zfp740,0.011672285124053853,Zfp740
MS00684|RARG,0.011738170917746538,RARG
M00468|KLF12,0.01179426344540306,KLF12
UP00159|SIX2,0.012095946077629066,SIX2
M01734|NFATC4,0.012191426260888476,NFATC4
M00749|SREBF1,0.012428367376245942,SREBF1
MS00296|BATF3,0.01299525488478992,BATF3
UP00086|IRF3,0.013037476825430631,IRF3
MS00652|NR2E1,0.013099489418152439,NR2E1
MS00476|HNF1A,0.013378574457533666,HNF1A
MS00300|CEBPE,0.013421027859662272,CEBPE
M00526|NR6A1,0.013714657905834884,NR6A1
UP00199|SIX4,0.013890421308144952,SIX4
UP00092|MYB,0.014361678779296269,MYB
MS00320|JDP2,0.015550852586525239,JDP2
MC00461|Max,0.015712806306151426,Max
MS00463|GSC2,0.01586377225892194,GSC2
UP00192|SIX1,0.01618359582933431,SIX1
MS00317|HLF,0.016212857223117483,HLF
MS00248|BHLHB3,0.01636774886727941,BHLHB3
MC00359|TP53,0.016594224704796375,TP53
MC00335|ESR1,0.01665255937331779,ESR1
MS00506|HOXD11,0.01690906073806357,HOXD11
MC00151|SPI1,0.017201457650934764,SPI1
M00222|TCF3,0.01785615160093136,TCF3
UP00095|Zfp691,0.018210003961856503,Zfp691
M00979|PAX6,0.019892067210846954,PAX6
MS00480|HOXA10,0.020528826197833812,HOXA10
M01722|RORB,0.02116082293690003,RORB
MS00525|Hoxd9,0.021236455839443388,Hoxd9
MC00356|Tbx21,0.021339233901351222,Tbx21
MS00412|ZNF410,0.021389743816597764,ZNF410
UP00030|Sox11,0.021830867893193405,Sox11
MS00162|RFX2,0.022632987019880434,RFX2
MS00709|THRA,0.022844230195401806,THRA
MS00729|ZNF282,0.023075346638955826,ZNF282
UP00144|Hoxb4,0.023523385074705867,Hoxb4
MS00285|TCF4,0.02376221073935715,TCF4
MS00423|ZNF524,0.02379304244563389,ZNF524
M01656|Trp63,0.023890770573097807,Trp63
MS00366|FOXJ2,0.0240033164190376,FOXJ2
MC00513|SFPI1,0.024541713671439293,SFPI1
MS00318|Hlf,0.024848440447212867,Hlf
M01744|ZFP42,0.025504981035083075,ZFP42
UP00081|Mybl1,0.025913519912242253,Mybl1
MC00458|TAL1,0.026514725835874265,TAL1
MS00820|NFIA,0.026517877093886873,NFIA
MC00344|Hnf4a,0.026852515415910543,Hnf4a
MC00505|POLR2B,0.027201089352523668,POLR2B
MS00376|FOXO1,0.029491191664264872,FOXO1
MS00843|GLI2,0.02962789158470249,GLI2
M01147|DMRT2,0.029644546650503936,DMRT2
MS00836|HOXD12,0.029906983240465704,HOXD12
M01207|ETS2,0.03005893866610855,ETS2
MC00223|SMAD2/3,0.03025269061908627,SMAD2/3
UP00023|Sox30,0.03044375427100851,Sox30
MC00334|SIX5,0.030713787051600456,SIX5
UP00112|Gsc,0.030853250704535335,Gsc
MS00255|HES5,0.03086502128245845,HES5
MS00497|HOXC11,0.03127695084144531,HOXC11
MS00265|MLXIPL,0.03131267339692406,MLXIPL
UP00187|ALX4,0.03139313185283088,ALX4
M01081|ZNF628,0.03157218456742814,ZNF628
MS00313|Creb5,0.03164905306909067,Creb5
M00644|UBP1,0.03204700988000017,UBP1
MS00331|MAFK,0.03224936314179181,MAFK
MS00294|ATF7,0.032718069847604815,ATF7
MS00679|ONECUT2,0.03307409559954366,ONECUT2
MC00408|Myb,0.03331562893653066,Myb
M00678|ETV7,0.03363652623317636,ETV7
UP00148|Hdx,0.03378408965058545,Hdx
UP00249|NKX2-5,0.033964510180565934,NKX2-5
MC00312|RUNX1,0.03637076164663177,RUNX1
MS00667|ONECUT1,0.03814149226145035,ONECUT1
MS00595|PITX1,0.03848584340771654,PITX1
MS00160|PROX1,0.03887632720290841,PROX1
M00987|FOXP1,0.03916218931926281,FOXP1
UP00391|HOXA3,0.040670132391022594,HOXA3
M00621|CEBPD,0.04080473307667353,CEBPD
M01288|NEUROD1,0.04092105886721644,NEUROD1
MS00270|Mlx,0.0414198163473163,Mlx
MC00407|Myc,0.041832176094575554,Myc
MC00190|Irf4,0.04207205545202736,Irf4
MS00505|HOXC13,0.04281990372768156,HOXC13
MS00336|NFE2,0.04317874426707881,NFE2
MS00517|Hoxc10,0.04362622946122423,Hoxc10
MC00468|AR,0.043721942465129414,AR
M01733|MZF1,0.04515003742648086,MZF1
M01241|GTF2IRD1,0.04532172053853112,GTF2IRD1
UP00221|PHOX2A,0.045666404887346995,PHOX2A
M01305|TEF,0.04759003416632081,TEF
MS00503|HOXC12,0.047800660029203725,HOXC12
M01067|GFI1,0.048511761808080436,GFI1
UP00120|Lbx2,0.04881428939848466,Lbx2
MS00179|SCRT1,0.049223599752008095,SCRT1
MS00053|TCF7L1,0.05015792383504492,TCF7L1
MS00485|HOXA13,0.05143829387585805,HOXA13
UP00009|Nr2f2,0.05327850379034888,Nr2f2
UP00190|NKX2-3,0.05382045159730375,NKX2-3
MC00471|Rxra,0.053910288110182863,Rxra
MS00526|IRX2,0.054123239254045934,IRX2
MS00218|T,0.05505110750614645,T
MS00386|FOXO6,0.055220105437043136,FOXO6
MS00658|NR2F6,0.05559455271585135,NR2F6
