,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
47774|LDB1,0.0676854174557947,Homo sapiens,LDB1,not sure,None,Erythroid Progenitor Cell,Blood,1,LDB1
63133|PBX2,0.06874085493795823,Homo sapiens,PBX2,tf,K562,Erythroblast,Bone Marrow,1,PBX2
46121|PBX3,0.06904472754094257,Homo sapiens,PBX3,tf,GM12878,B Lymphocyte,Blood,1,PBX3
41411|ERCC3,0.06919705154941322,Homo sapiens,ERCC3,predicted chromatin regulator,HT1080,None,Connective Tissue,1,ERCC3
57111|EPO,0.07027057911430637,Homo sapiens,EPO,not sure,RL95-2,None,Uterus,1,EPO
64604|FEZF1,0.07104519349708215,Homo sapiens,FEZF1,,HEK293,Epithelium,Embryonic Kidney,1,FEZF1
77536|REL,0.07120090035249649,Homo sapiens,REL,tf,GM12878,Lymphoblastoid,None,1,REL
73339|MCM3,0.0718263488961872,Homo sapiens,MCM3,,None,None,None,1,MCM3
46111|NFIC,0.07324900566830289,Homo sapiens,NFIC,tf,GM12878,B Lymphocyte,Blood,1,NFIC
45929|SIRT6,0.07356805970791784,Homo sapiens,SIRT6,cr,K562,Erythroblast,Bone Marrow,1,SIRT6
71206|PIAS1,0.07420935415258145,Homo sapiens,PIAS1,other,LNCaP,Epithelium,Prostate,1,PIAS1
74651|BATF3,0.07550474000537623,Homo sapiens,BATF3,tf,GM12878,B Lymphocyte,Blood,1,BATF3
38591|E2F7,0.07632306283592656,Homo sapiens,E2F7,tf,IMR90,Fibroblast,Lung,1,E2F7
77264|DPF1,0.07714811709433521,Homo sapiens,DPF1,other,K562,Erythroblast,Bone Marrow,1,DPF1
35525|NCOR2,0.07714811709433521,Homo sapiens,NCOR2,cr,OCI-Ly1,B cell lymphoma,Bone Marrow,1,NCOR2
45934|CUX1,0.077313938192256,Homo sapiens,CUX1,tf,K562,Erythroblast,Bone Marrow,1,CUX1
69803|NR1H2,0.07748002989484744,Homo sapiens,NR1H2,tf,HT29,colorectal adenocarcinoma,None,1,NR1H2
49669|PROX1,0.07881853200379241,Homo sapiens,PROX1,tf,SW480,None,Colon,1,PROX1
49200|PDX1,0.07915587912575761,Homo sapiens,PDX1,tf,None,Embryonic Stem Cell,Embryo,1,PDX1
67317|SOX2,0.081202958496156,Homo sapiens,SOX2,tf,None,Neuronal Progenitor cell,None,1,SOX2
64374|ZNF740,0.08137533501254822,Homo sapiens,ZNF740,,K562,Erythroblast,Bone Marrow,1,ZNF740
63809|HLF,0.08172091585352842,Homo sapiens,HLF,,HepG2,Epithelium,Liver,1,HLF
1082|SMAD2/3,0.08172091585352842,Homo sapiens,SMAD2/3,tf,H9,Embryonic Stem Cell,Embryo,1,SMAD2/3
50700|GTF2I,0.08346543172825255,Homo sapiens,GTF2I,tf,None,Fibroblast,None,1,GTF2I
74120|OLFM2,0.08381766911068894,Homo sapiens,OLFM2,other,MCF-7,None,None,1,OLFM2
45747|PRDM1,0.08399420594643657,Homo sapiens,PRDM1,tf,HeLa-S3,Epithelium,Cervix,1,PRDM1
64786|ZNF687,0.08399420594643657,Homo sapiens,ZNF687,,MCF-7,Epithelium,Breast,1,ZNF687
36349|PTPN11,0.08488107992075694,Homo sapiens,PTPN11,other,A549,Epithelium,Lung,1,PTPN11
42774|NFYC,0.08523778862633058,Homo sapiens,NFYC,tf,LoVo,None,Colon,1,NFYC
42890|ZNF83,0.08721978576111944,Homo sapiens,ZNF83,tf,LoVo,None,Colon,1,ZNF83
73977|ZIM3,0.08905128102506843,Homo sapiens,ZIM3,,293T,None,None,1,ZIM3
