,0,TF
MS00486|HOXA1,0.0663251883332971,HOXA1
MC00158|E2f4,0.06646241850725913,E2f4
MS00528|ISL2,0.0666864084291763,ISL2
UP00185|PBX1,0.06687644904407847,PBX1
MS00160|PROX1,0.06766303369637415,PROX1
M01733|MZF1,0.0677057616092032,MZF1
MC00105|Foxa2,0.06814905954103141,Foxa2
M01312|NKX2-1,0.06864139897167824,NKX2-1
M01067|GFI1,0.06895103458490427,GFI1
MC00203|RFX3,0.06993693483630399,RFX3
M01714|KLF15,0.07017162806242032,KLF15
UP00148|Hdx,0.07056222136884462,Hdx
MS00190|SCRT2,0.07115788809851539,SCRT2
MS00469|Gbx2,0.07146125699204858,Gbx2
MS00468|ZNF75A,0.07372217261126057,ZNF75A
MC00514|Cbfa2t2,0.07443456029524881,Cbfa2t2
MS00346|ZIC3,0.07518023567254543,ZIC3
MC00378|POU5F1,0.07605340388288521,POU5F1
MS00807|MSC,0.07627821744196044,MSC
MA0031|FOXD1,0.07644221464249398,FOXD1
MS00521|Hoxd3,0.0769011821018891,Hoxd3
MC00388|Tal1,0.07742666052404998,Tal1
MS00479|ZNF784,0.07752281143202655,ZNF784
UP00021|Zfp281,0.07808073084089975,Zfp281
MC00532|Mycn,0.07811604866556,Mycn
MS00214|TBX4,0.07871696718271833,TBX4
MC00252|Rara,0.07879342643417496,Rara
MC00385|Ets1,0.07881988355986874,Ets1
MS00577|NKX6-2,0.07929614222085875,NKX6-2
MS00040|SPIC,0.08009862454256463,SPIC
MS00035|GLIS2,0.08035214128919839,GLIS2
MC00269|SOX2,0.0812084316315386,SOX2
MS00756|E2F7,0.08147634876257884,E2F7
MS00463|GSC2,0.08150493896343185,GSC2
MS00170|Rfx2,0.08218605622383822,Rfx2
UP00024|Glis2,0.08283484301792508,Glis2
UP00087|Tcfap2c,0.08302053884719901,Tcfap2c
MS00680|RARG,0.08388194547009088,RARG
MS00135|KLF14,0.08598364310040212,KLF14
MC00135|Rela,0.0860140120863255,Rela
MC00362|Arntl,0.08798647028082947,Arntl
MC00316|HIF1A,0.0880963316523791,HIF1A
MS00580|Nkx3-1,0.08812531474334075,Nkx3-1
MS00771|SOX8,0.08833157181634015,SOX8
MS00169|RFX5,0.08890006454161918,RFX5
M00332|FOXN1,0.09117004199241333,FOXN1
MS00161|RFX2,0.09210008715535883,RFX2
MS00436|DPRX,0.0922139983244639,DPRX
MC00334|SIX5,0.09288462286604574,SIX5
MC00226|Nanog,0.09329576418809932,Nanog
MS00070|IRF7,0.09344325315729211,IRF7
MS00089|Meis3,0.09378025478469969,Meis3
M00115|CNTN2::CREB1,0.09409472302531197,CNTN2::CREB1
M00289|FOXI1,0.09466320155923695,FOXI1
MS00393|Foxg1,0.09525044873399126,Foxg1
MS00730|ZNF435,0.09530556295398405,ZNF435
M00632|GATA4,0.09555552761236134,GATA4
MS00450|EN2,0.09570922787877537,EN2
UP00043|Bcl6b,0.0965452030739641,Bcl6b
MS00217|TBX5,0.0979665715401284,TBX5
MC00183|Snai1,0.09842410059086448,Snai1
MS00419|BSX,0.10011978801634393,BSX
M01037|GLI1,0.10056294606375712,GLI1
MS00076|MEF2D,0.10155605801390202,MEF2D
MA0073|RREB1,0.1020601714119334,RREB1
MS00357|ZIC4,0.10274319003455565,ZIC4
MC00512|Esrrb,0.1032626014377969,Esrrb
M01147|DMRT2,0.10407594210285828,DMRT2
M01109|ZNF589,0.10445467435924047,ZNF589
UP00117|Hoxd11,0.10481526039640997,Hoxd11
M00624|DBP,0.10618918332642462,DBP
MS00464|GSC,0.1069708405346831,GSC
UP00066|HNF4A,0.10732191242609565,HNF4A
UP00019|ZBTB12,0.10749245245422397,ZBTB12
MC00204|Stat5b,0.10776396435731068,Stat5b
M00526|NR6A1,0.1091240243572766,NR6A1
MS00304|CREB3L1,0.11011956354256566,CREB3L1
M00486|PAX2,0.11012889752474196,PAX2
