,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
77057|ZNF701,0.17705318942717685,Homo sapiens,ZNF701,tf,293T,None,None,1,ZNF701
51549|ZFP42,0.1780687708826002,Homo sapiens,ZFP42,tf,HUES64,Embryonic Stem Cell,Embryo,1,ZFP42
76548|CHAT,0.1783069770392906,Homo sapiens,CHAT,other,SH-SY5Y,Neuron,None,1,CHAT
76457|USP7,0.17898743697614133,Homo sapiens,USP7,tf,MDA-MB-231,Epithelium,Mammary Gland,1,USP7
62732|ZNF366,0.1818993912943742,Homo sapiens,ZNF366,,HEK293,Epithelium,Embryonic Kidney,1,ZNF366
77115|ZNF45,0.18214267358981018,Homo sapiens,ZNF45,other,293T,None,None,0,ZNF45
77114|ZNF460,0.18336349605533553,Homo sapiens,ZNF460,tf,293T,None,None,1,ZNF460
42720|HOXA4,0.1860876264134731,Homo sapiens,HOXA4,tf,LoVo,None,Colon,1,HOXA4
38849|MEIS2,0.18614317360338734,Homo sapiens,MEIS2,tf,LoVo,None,Colon,0,MEIS2
77164|ZNF189,0.1879607093416258,Homo sapiens,ZNF189,other,293T,None,None,1,ZNF189
73930|ZNF708,0.1902778936972137,Homo sapiens,ZNF708,,293T,None,None,1,ZNF708
58829|CD59,0.19150602093010766,Homo sapiens,CD59,other,Raji,B Lymphocyte,Blood,0,CD59
56544|WWTR1,0.19179663017168286,Homo sapiens,WWTR1,other,HuCCT1,None,None,0,WWTR1
35296|ORC1,0.19252639872174232,Homo sapiens,ORC1,other,HeLa-S3,Epithelium,Cervix,1,ORC1
38827|FOXG1,0.19389371603279587,Homo sapiens,FOXG1,tf,LoVo,None,Colon,1,FOXG1
77065|ZNF674,0.1944777667646394,Homo sapiens,ZNF674,tf,293T,None,None,1,ZNF674
42906|KMT2B,0.1952490198011682,Homo sapiens,KMT2B,cr,HCT-116,None,Colon,1,KMT2B
54631|NCAPG2,0.19573760295845133,Homo sapiens,NCAPG2,predicted chromatin regulator,MCF-7,Epithelium,Breast,1,NCAPG2
38638|ZFHX3,0.19628066721943876,Homo sapiens,ZFHX3,tf,LoVo,None,Colon,0,ZFHX3
51333|ASH2L,0.19644844037552112,Homo sapiens,ASH2L,cr,VCaP,Epithelium,Prostate,1,ASH2L
50437|MLLT3,0.19740188152568083,Homo sapiens,MLLT3,not sure,HeLa,Epithelium,Cervix,0,MLLT3
52716|DYRK1A,0.1974117148806505,Homo sapiens,DYRK1A,not sure,T98G,None,Brain,0,DYRK1A
