,0,TF
MC00439|TP63,8.888387067028118e-07,TP63
MS00401|ZNF306,1.0064680864231307e-06,ZNF306
MS00490|ZSCAN4,1.0736205289013565e-06,ZSCAN4
M00139|AHR,1.221930736195312e-06,AHR
M00490|BACH2,1.2954534058806983e-06,BACH2
M00141|IKZF1,1.3838276475667138e-06,IKZF1
MS00258|HEY1,1.3848365312124483e-06,HEY1
MC00458|TAL1,1.4523054235289477e-06,TAL1
MC00206|ELK1,1.4929364266578764e-06,ELK1
MC00163|Creb1,1.559297980431863e-06,Creb1
MC00371|JUNB,1.617700721904252e-06,JUNB
M00712|MYOG,1.6589557191862383e-06,MYOG
M01241|GTF2IRD1,1.780882638564374e-06,GTF2IRD1
UP00031|Zbtb3,1.818100754049932e-06,Zbtb3
MA0073|RREB1,1.8951565662147547e-06,RREB1
MC00130|Pparg,1.916333483937821e-06,Pparg
MS00087|Meis2,1.9227989418607984e-06,Meis2
MS00380|FOXO3,1.9460890364880756e-06,FOXO3
M00495|BACH1,2.116423689069383e-06,BACH1
MS00248|BHLHB3,2.2617506179807477e-06,BHLHB3
MS00110|NFKB1,2.3523858076606654e-06,NFKB1
M00979|PAX6,2.5470319592187623e-06,PAX6
M01207|ETS2,2.5780887021981653e-06,ETS2
MS00252|Bhlhb2,2.6583309237250632e-06,Bhlhb2
MS00323|ZBTB7C,2.759881592745994e-06,ZBTB7C
MC00121|Cebpb,3.0339018029608685e-06,Cebpb
MS00834|ELF4,3.164593076831625e-06,ELF4
MS00371|FOXK1,3.1827015162681376e-06,FOXK1
MS00704|Rarg,3.2219677191872613e-06,Rarg
MS00265|MLXIPL,3.308926434141916e-06,MLXIPL
MS00247|BHLHB2,3.3948918545108987e-06,BHLHB2
MC00157|Tead4,3.7473688801459384e-06,Tead4
MS00194|TBX19,3.776840484049862e-06,TBX19
MS00325|Jdp2,3.860188111971157e-06,Jdp2
MC00471|Rxra,4.1915442207748745e-06,Rxra
MC00289|HSF1,4.2951437894460985e-06,HSF1
UP00092|MYB,4.311809469356161e-06,MYB
MC00372|Yy1,4.945287031889546e-06,Yy1
UP00018|Irf4,5.49936322795878e-06,Irf4
MC00334|SIX5,5.806827315989845e-06,SIX5
MS00846|ERF,5.858994728841128e-06,ERF
UP00086|IRF3,5.8752924689859985e-06,IRF3
MS00266|MLX,6.286007515434981e-06,MLX
M00222|TCF3,7.003231988666317e-06,TCF3
MC00126|TCF12,7.159995424880376e-06,TCF12
MS00016|ETV2,8.040328722777247e-06,ETV2
UP00009|Nr2f2,8.152256823089831e-06,Nr2f2
MC00468|AR,8.3621354239208e-06,AR
MS00040|SPIC,9.02642147441364e-06,SPIC
MS00218|T,1.1363532753757159e-05,T
MS00320|JDP2,1.1821924389774569e-05,JDP2
MS00326|MAFF,1.3007847204906822e-05,MAFF
MC00344|Hnf4a,1.304214100262887e-05,Hnf4a
MS00168|PRDM1,1.3618797828755356e-05,PRDM1
M01112|RBPJ,1.5152071253387181e-05,RBPJ
MS00338|NRL,1.6348364000533576e-05,NRL
MS00211|TBX2,1.640861014209904e-05,TBX2
MS00171|Rfx2,1.6429533796248073e-05,Rfx2
MS00251|BHLHE41,1.7318440626135482e-05,BHLHE41
UP00035|HIC1,1.770540653249901e-05,HIC1
MS00533|LBX2,1.7768686906228688e-05,LBX2
UP00056|RFX4,1.7960826504586736e-05,RFX4
MS00333|Mafb,1.8880014178684575e-05,Mafb
MS00268|YY2,2.0479787944704365e-05,YY2
MS00270|Mlx,2.099534860529306e-05,Mlx
MS00253|CLOCK,2.2453485265175336e-05,CLOCK
MS00729|ZNF282,2.2779249705985754e-05,ZNF282
MS00708|Rxrb,2.297477963897233e-05,Rxrb
MS00114|NFIB,2.5804145229075692e-05,NFIB
MS00327|MAFG,2.9365934248395972e-05,MAFG
MC00512|Esrrb,3.0493865990828896e-05,Esrrb
MS00188|MGA,3.0633232528993296e-05,MGA
MS00271|NEUROD2,3.2702129322730374e-05,NEUROD2
MS00398|Foxk1,3.532421176666344e-05,Foxk1
M00706|GTF2I,4.5223634987118846e-05,GTF2I
MC00369|Myod1,4.539732608176012e-05,Myod1
UP00066|HNF4A,4.947542199068389e-05,HNF4A
MC00358|Ebf1,4.94903884518556e-05,Ebf1
M01288|NEUROD1,5.056931141989792e-05,NEUROD1
MS00282|Srebf1,5.384306163241985e-05,Srebf1
MC00305|Sox6,5.59363584186711e-05,Sox6
