,0,TF
MC00316|HIF1A,0.010297050833836188,HIF1A
MS00356|FOXD2,0.010762500752809663,FOXD2
UP00152|Arx,0.010858931684784884,Arx
MA0131|HINFP,0.011026020178983102,HINFP
M01002|DEAF1,0.011032149517715304,DEAF1
MC00257|Pax5,0.011398931282149317,Pax5
MS00338|NRL,0.011449364736962496,NRL
M00706|GTF2I,0.01173051796928802,GTF2I
M00647|NR1H3,0.011763944248929653,NR1H3
MC00178|Nkx2-5,0.012304154561785342,Nkx2-5
UP00412|Etv5,0.01268961561925909,Etv5
UP00159|SIX2,0.012709853863236227,SIX2
MS00266|MLX,0.012878957624534886,MLX
MS00573|NKX3-2,0.012934498837881354,NKX3-2
MC00334|SIX5,0.013037912679562719,SIX5
MS00162|RFX2,0.013184313234971523,RFX2
UP00080|Gata5,0.013224190398148636,Gata5
MS00780|SOX9,0.013427841576262077,SOX9
UP00231|NKX2-2,0.013582864998454559,NKX2-2
M01694|Yy2,0.013599399905410679,Yy2
M00809|FOXH1,0.014003150271506015,FOXH1
MS00498|HOXC11,0.014257203864601166,HOXC11
M01037|GLI1,0.014363594021101983,GLI1
MS00168|PRDM1,0.014577701135681942,PRDM1
MS00214|TBX4,0.014810887523849068,TBX4
MS00469|Gbx2,0.0150443474178947,Gbx2
MS00848|ERG,0.015306778945313798,ERG
UP00194|IRX4,0.015433693383387681,IRX4
UP00120|Lbx2,0.015637762331051755,Lbx2
MC00262|ARNT,0.015735473444882513,ARNT
MS00255|HES5,0.015739729613164194,HES5
M01010|HMGA1,0.016356502571269176,HMGA1
UP00423|Gm5454,0.016381082693124074,Gm5454
UP00009|Nr2f2,0.01653017529636106,Nr2f2
UP00033|Zfp410,0.01670002215547157,Zfp410
MC00141|Stat1,0.0167022386400143,Stat1
MS00467|Gbx1,0.016725828433973324,Gbx1
MS00586|Otx1,0.017289847163877086,Otx1
UP00094|Zfp128,0.017323557236545325,Zfp128
MC00280|NR4A1,0.017355205540871547,NR4A1
M01733|MZF1,0.017865648668563487,MZF1
M00495|BACH1,0.01835759467503018,BACH1
M00327|PAX3,0.018404576660428672,PAX3
MS00300|CEBPE,0.01860820717941996,CEBPE
UP00030|Sox11,0.018926485725137457,Sox11
MS00019|ETV5,0.01895903887385379,ETV5
MS00418|BARX1,0.019110903900045707,BARX1
MA0030|FOXF2,0.019430551953934387,FOXF2
M01009|HES1,0.019433624764627323,HES1
MS00507|HOXD11,0.01959373455412344,HOXD11
MC00413|Runx1,0.019655583546106,Runx1
MS00531|ISX,0.019706719104211536,ISX
M01312|NKX2-1,0.01978335996247399,NKX2-1
