,0,TF
MA0073|RREB1,6.843932744471425e-06,RREB1
MC00357|Crx,7.047072994767833e-06,Crx
MC00289|HSF1,7.103694790061826e-06,HSF1
MS00383|FOXO4,7.38981924010141e-06,FOXO4
MC00130|Pparg,7.829738929882064e-06,Pparg
UP00159|SIX2,8.126371223296269e-06,SIX2
MS00326|MAFF,8.463133642408068e-06,MAFF
M01734|NFATC4,8.896518941811566e-06,NFATC4
MC00337|Ikzf3,8.904248053119139e-06,Ikzf3
UP00193|Rhox11,9.089614179853594e-06,Rhox11
MS00490|ZSCAN4,9.748750870676826e-06,ZSCAN4
MS00016|ETV2,9.961595930067964e-06,ETV2
MS00316|Dbp,1.0297504447283729e-05,Dbp
MS00514|Hoxa11,1.1073468198239661e-05,Hoxa11
MS00072|IRF8,1.1179002738230408e-05,IRF8
M00467|ZNF423,1.4288691141310518e-05,ZNF423
MS00217|TBX5,1.4770318280994069e-05,TBX5
MA0116|Zfp423,1.646701306896943e-05,Zfp423
MS00318|Hlf,1.734190594693904e-05,Hlf
MS00527|IRX5,1.783865895026484e-05,IRX5
MS00289|TFEB,1.8099005038712693e-05,TFEB
MS00291|Tcf21,2.1275242373204527e-05,Tcf21
M00133|POU3F1,2.3261126503327327e-05,POU3F1
UP00113|HOXC4,2.656893105349821e-05,HOXC4
MS00057|HIC2,2.9673975409730425e-05,HIC2
M01656|Trp63,3.166718865462164e-05,Trp63
UP00177|Hoxd12,3.243106652211986e-05,Hoxd12
MS00320|JDP2,3.665081947959738e-05,JDP2
MS00525|Hoxd9,3.903772239872658e-05,Hoxd9
MC00141|Stat1,4.13871864235342e-05,Stat1
MC00304|FOXH1,5.005750668769417e-05,FOXH1
MS00264|MESP1,5.40952566794842e-05,MESP1
MS00317|HLF,6.119444836469391e-05,HLF
M00115|CNTN2::CREB1,6.12933858921452e-05,CNTN2::CREB1
M00999|AIRE,6.21580440720561e-05,AIRE
MS00055|HOMEZ,6.421539237821357e-05,HOMEZ
M00072|TFCP2,6.654450673661088e-05,TFCP2
MS00114|NFIB,6.777654273667187e-05,NFIB
MC00370|Npas4,6.777770789581625e-05,Npas4
MS00325|Jdp2,8.84667944989851e-05,Jdp2
MC00293|Gfi1b,8.877865668730349e-05,Gfi1b
MS00337|NFIL3,9.138407218787409e-05,NFIL3
MC00121|Cebpb,9.70269060610621e-05,Cebpb
MS00526|IRX2,9.713247849521152e-05,IRX2
MS00423|ZNF524,0.0001049695634976543,ZNF524
MS00398|Foxk1,0.0001049725126871213,Foxk1
M01288|NEUROD1,0.00011085684163523156,NEUROD1
MS00313|Creb5,0.00011527966482459942,Creb5
MS00265|MLXIPL,0.00011782715095482104,MLXIPL
M00490|BACH2,0.00012258292356310478,BACH2
MS00073|IRF9,0.00013399713941572686,IRF9
MS00294|ATF7,0.00014141488258852055,ATF7
UP00148|Hdx,0.00015348451512457847,Hdx
M00621|CEBPD,0.00015915199584402875,CEBPD
UP00009|Nr2f2,0.00018109027012449703,Nr2f2
MC00192|ZNF263,0.00020036873997522972,ZNF263
UP00030|Sox11,0.00023268697126060364,Sox11
MS00169|RFX5,0.0002439485912458628,RFX5
MS00475|HMX3,0.0002587458519813321,HMX3
UP00199|SIX4,0.00028657387415364713,SIX4
UP00196|HOXA4,0.0003239311666032822,HOXA4
MS00417|BARX1,0.0003909112453346224,BARX1
MS00808|TFEC,0.000402919816152743,TFEC
UP00034|Sox7,0.00043813782816836235,Sox7
M01596|GLI3,0.0005207697469769393,GLI3
MS00480|HOXA10,0.000545001672088017,HOXA10
M01112|RBPJ,0.0005608336046006386,RBPJ
MS00433|DMBX1,0.000596890269097997,DMBX1
M01425|HNF1B,0.0006754640569956733,HNF1B
MC00129|Fli1,0.0008203524859820568,Fli1
MS00493|HOXB5,0.0008442794518329436,HOXB5
MC00512|Esrrb,0.0008449013204198768,Esrrb
MS00339|TEF,0.0009846270887039089,TEF
UP00117|Hoxd11,0.0011107415680492849,Hoxd11
MC00448|Nr1h2,0.0012455065828935765,Nr1h2
MS00836|HOXD12,0.0012516239667577352,HOXD12
UP00112|Gsc,0.0012581090501235727,Gsc
MC00352|Nr5a2,0.0012841624862758748,Nr5a2
MC00281|PBX3,0.0012980769542187808,PBX3
MS00556|GRHL1,0.0013303272676017826,GRHL1
MS00506|HOXD11,0.0013411131568405702,HOXD11
UP00137|Hoxb3,0.0013985387256497158,Hoxb3
MS00343|FOXB1,0.0014732063780913988,FOXB1
MS00668|Nr2e1,0.0015331385401411155,Nr2e1
MS00300|CEBPE,0.0015405964890993244,CEBPE
MS00476|HNF1A,0.0016380298812873472,HNF1A
MS00371|FOXK1,0.0016984761209067267,FOXK1
UP00096|SOX13,0.0017789665891832084,SOX13
MC00476|Rarg,0.0018266604170081265,Rarg
MS00295|Atf4,0.001851642362382157,Atf4
UP00389|NKX3-1,0.0018906913979072023,NKX3-1
MA0365|RFX1,0.0019289112745273663,RFX1
M01247|NANOG,0.0020426249680960532,NANOG
MS00202|TBX20,0.0020659281796185027,TBX20
MS00441|EMX1,0.002277615643175111,EMX1
M01149|Dmrta1,0.002384839988054906,Dmrta1
MA0081|SPIB,0.002392894012681935,SPIB
UP00144|Hoxb4,0.002507809419084232,Hoxb4
MS00713|THRB,0.002545391470358477,THRB
MS00602|PRRX1,0.0026074088976995678,PRRX1
M01300|HMGA2,0.0026852112048854843,HMGA2
MA0108|TBP,0.0026959394957805018,TBP
MS00419|BSX,0.0027363957043994324,BSX
UP00075|Sox15,0.002822815125999449,Sox15
M01728|NR2F6,0.002968927808312908,NR2F6
MS00750|SOX15,0.002981507920636939,SOX15
MS00465|GSX1,0.003118933058981779,GSX1
UP00187|ALX4,0.003123757448203056,ALX4
MS00270|Mlx,0.0031259477825806947,Mlx
M00526|NR6A1,0.003187619778245572,NR6A1
UP00138|Bsx,0.0032358009176583365,Bsx
MS00088|Meis3,0.0033939960993835208,Meis3
M00750|HMGA1,0.0034850562140204596,HMGA1
MS00302|CEBPG,0.0037746731303889606,CEBPG
MS00466|GSX2,0.0039004219228897614,GSX2
MS00491|HOXB2,0.004048090754706301,HOXB2
MS00045|GATA5,0.004089131191285961,GATA5
