,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
54386|DKK1,0.29134564667641283,Homo sapiens,DKK1,not sure,DLD-1,Epithelium,Colon,0,DKK1
76573|CENPC,0.2914904348479653,Homo sapiens,CENPC,other,HuRef,Lymphoblastoid,None,1,CENPC
77038|ZNF785,0.2921455413940742,Homo sapiens,ZNF785,tf,293T,None,None,0,ZNF785
73936|ZNF641,0.2926032999736932,Homo sapiens,ZNF641,,293T,None,None,0,ZNF641
73969|ZNF214,0.2936495920016293,Homo sapiens,ZNF214,,293T,None,None,0,ZNF214
77091|ZNF557,0.2939186751092123,Homo sapiens,ZNF557,tf,293T,None,None,1,ZNF557
65141|ZNF320,0.2946758201564759,Homo sapiens,ZNF320,,HEK293,Epithelium,Embryonic Kidney,1,ZNF320
77018|ZNF93,0.2998794765520947,Homo sapiens,ZNF93,tf,293T,None,None,1,ZNF93
77078|ZNF611,0.30363606439317115,Homo sapiens,ZNF611,tf,293T,None,None,1,ZNF611
76470|MBD3L2,0.3042572920289125,Homo sapiens,MBD3L2,other,None,None,None,0,MBD3L2
39924|ICE2,0.30967502005903697,Homo sapiens,ICE2,other,HCT-116,None,Colon,1,ICE2
42866|RLF,0.30974441129661057,Homo sapiens,RLF,not sure,LoVo,None,Colon,0,RLF
2972|ATF7IP,0.3113872855447643,Homo sapiens,ATF7IP,cr,WM262,Melanocyte,Skin,1,ATF7IP
77178|ZNF114,0.31182781856966235,Homo sapiens,ZNF114,tf,293T,None,None,0,ZNF114
45799|PPARGC1A,0.31894262826155245,Homo sapiens,PPARGC1A,tf,HepG2,Epithelium,Liver,1,PPARGC1A
77169|ZNF169,0.3227453756139528,Homo sapiens,ZNF169,tf,293T,None,None,1,ZNF169
73967|ZNF225,0.3242909212773052,Homo sapiens,ZNF225,other,293T,None,None,1,ZNF225
65196|ZNF586,0.3274236232956905,Homo sapiens,ZNF586,,HEK293,Epithelium,Embryonic Kidney,1,ZNF586
38708|HOXA2,0.3331373398864537,Homo sapiens,HOXA2,tf,LoVo,None,Colon,0,HOXA2
63514|PYGO2,0.3340178297829049,Homo sapiens,PYGO2,,K562,Erythroblast,Bone Marrow,1,PYGO2
42868|SNAPC4,0.3349842933434671,Homo sapiens,SNAPC4,not sure,LoVo,None,Colon,0,SNAPC4
77363|ZNF516,0.3359996934241162,Homo sapiens,ZNF516,tf,MCF-7,None,Breast,1,ZNF516
41723|TFAM,0.3361448504638052,Homo sapiens,TFAM,tf,HeLa,Epithelium,Cervix,1,TFAM
63015|TSHZ1,0.3389049712194898,Homo sapiens,TSHZ1,tf,HEK293,Epithelium,Embryonic Kidney,1,TSHZ1
77147|ZNF283,0.344613568889082,Homo sapiens,ZNF283,other,293T,None,None,1,ZNF283
63935|YBX3,0.34567103484607303,Homo sapiens,YBX3,tf,K562,Erythroblast,Bone Marrow,1,YBX3
65165|ZNF449,0.3466372226132107,Homo sapiens,ZNF449,,HEK293,Epithelium,Embryonic Kidney,1,ZNF449
64705|YBX1,0.3467586117050251,Homo sapiens,YBX1,tf,MCF-7,Epithelium,Breast,1,YBX1
65194|ZNF331,0.3495295474519217,Homo sapiens,ZNF331,,HEK293,Epithelium,Embryonic Kidney,1,ZNF331
73930|ZNF708,0.3507299763643139,Homo sapiens,ZNF708,,293T,None,None,1,ZNF708
77026|ZNF81,0.3517366039615676,Homo sapiens,ZNF81,tf,293T,None,None,1,ZNF81
38747|TOX4,0.3522422754159555,Homo sapiens,TOX4,tf,LoVo,None,Colon,0,TOX4
77366|TIAM1,0.35252355411221203,Homo sapiens,TIAM1,other,SW480,Epithelium,Colon,1,TIAM1
77080|ZNF587,0.3537070277634558,Homo sapiens,ZNF587,tf,293T,None,None,1,ZNF587
42850|GRHL1,0.3558345402992483,Homo sapiens,GRHL1,predicted transcription factor,LoVo,None,Colon,1,GRHL1
38644|HSF4,0.3568220859659261,Homo sapiens,HSF4,tf,LoVo,None,Colon,0,HSF4
67832|EBNA3C,0.3601175289477516,Homo sapiens,EBNA3C,other,None,Lymphoblast,None,0,EBNA3C
65100|ZNF669,0.3686194222336489,Homo sapiens,ZNF669,,HEK293,Epithelium,Embryonic Kidney,1,ZNF669
58061|ZNF165,0.3691507993473743,Homo sapiens,ZNF165,tf,WHIM12,Epithelium,Breast,0,ZNF165
64714|ZNF800,0.36996096245144056,Homo sapiens,ZNF800,,HEK293,Epithelium,Embryonic Kidney,1,ZNF800
77069|ZNF627,0.3738333840996638,Homo sapiens,ZNF627,tf,293T,None,None,1,ZNF627
49604|ZNF486,0.3752978383663677,Homo sapiens,ZNF486,not sure,None,Embryonic Stem Cell,Embryo,1,ZNF486
38709|GLIS3,0.3760949458639586,Homo sapiens,GLIS3,tf,LoVo,None,Colon,0,GLIS3
42872|THAP4,0.3765628620866498,Homo sapiens,THAP4,tf,LoVo,None,Colon,0,THAP4
