,0,TF
UP00130|LHX3,0.007357714314182269,LHX3
UP00166|BARHL1,0.007413984703877034,BARHL1
M00490|BACH2,0.007533685995533165,BACH2
MC00193|RELA,0.007694536988332061,RELA
MS00472|HMBOX1,0.007915090032651576,HMBOX1
MS00708|Rxrb,0.008004946398021585,Rxrb
MS00433|DMBX1,0.00825266147304786,DMBX1
MS00194|TBX19,0.008257710678948416,TBX19
MS00388|Foxc1,0.0085403154618256,Foxc1
MS00573|NKX3-2,0.008615520266515806,NKX3-2
M01399|Hlx,0.008650954806281135,Hlx
MS00271|NEUROD2,0.008672164064371914,NEUROD2
UP00078|ARID3A,0.008991550476433605,ARID3A
M00809|FOXH1,0.009360122099217136,FOXH1
MC00126|TCF12,0.009856343094584129,TCF12
M00706|GTF2I,0.00986691087362593,GTF2I
MS00498|HOXC11,0.009983317053454096,HOXC11
MS00685|RORA,0.009993264346603609,RORA
MS00578|NOTO,0.010000495818457241,NOTO
UP00206|Hoxb7,0.010081827362590945,Hoxb7
MS00317|HLF,0.010167464850895447,HLF
MS00463|GSC2,0.010541094847056018,GSC2
MS00442|EMX1,0.011389914185074953,EMX1
UP00263|Hoxb8,0.011481666856712442,Hoxb8
MS00040|SPIC,0.011586563260667275,SPIC
MC00337|Ikzf3,0.011732534161974504,Ikzf3
MS00299|CEBPD,0.011755917774410946,CEBPD
MS00717|Tp53,0.011764448674007374,Tp53
UP00095|Zfp691,0.01176951178998073,Zfp691
MC00311|FOXA1,0.012534094868252504,FOXA1
M01435|Rhox6,0.01276782342410485,Rhox6
MS00294|ATF7,0.012772887882491297,ATF7
UP00175|Lhx9,0.012879495732554293,Lhx9
UP00168|Hoxd8,0.013067067275135342,Hoxd8
MS00837|HOXD12,0.013269077151785283,HOXD12
MS00393|Foxg1,0.013386339427150737,Foxg1
MS00055|HOMEZ,0.013771534512682435,HOMEZ
MC00141|Stat1,0.013930545869379996,Stat1
MC00356|Tbx21,0.014336193339097572,Tbx21
MS00507|HOXD11,0.014543024654770939,HOXD11
MC00508|Batf,0.014736661886973463,Batf
M01148|DMRT3,0.014850001179193004,DMRT3
M00241|NKX2-5,0.015984071298703276,NKX2-5
MS00266|MLX,0.016170241417595824,MLX
MS00430|DLX4,0.0163186247326927,DLX4
UP00152|Arx,0.017435236374667245,Arx
MC00453|STAT5A,0.01872994728476486,STAT5A
MS00609|RHOXF1,0.019047796853319154,RHOXF1
M00467|ZNF423,0.01940255487893667,ZNF423
MS00464|GSC,0.0194238239565898,GSC
UP00150|IRX6,0.019866128626015146,IRX6
MS00520|Hoxd13,0.01996345867828749,Hoxd13
UP00262|Lhx1,0.020156361203057176,Lhx1
MS00628|Vsx1,0.02024774447097932,Vsx1
M00456|BPTF,0.020266618765843514,BPTF
MS00296|BATF3,0.021534351821298134,BATF3
MS00480|HOXA10,0.021625164835659457,HOXA10
UP00252|HOXC5,0.021842976130813884,HOXC5
UP00238|Nkx6-3,0.02216523952072882,Nkx6-3
MS00614|SHOX,0.022259829498522173,SHOX
MS00160|PROX1,0.022483730576004432,PROX1
UP00129|Pou3f1,0.022726217945921966,Pou3f1
UP00170|Isl2,0.02334385833708594,Isl2
MS00419|BSX,0.023437832819815235,BSX
M00220|SREBF1,0.02392305310024328,SREBF1
UP00145|BARHL2,0.02408160323078739,BARHL2
MS00367|FOXJ3,0.024181490782000607,FOXJ3
MC00122|Cebpa,0.024184749418096063,Cebpa
MS00439|Dlx1,0.024592853313376867,Dlx1
MS00564|Msx3,0.02463481411704846,Msx3
UP00158|POU1F1,0.026152506891051162,POU1F1
MS00621|VAX2,0.0266910141902724,VAX2
MS00503|HOXC12,0.026746429272476356,HOXC12
MS00539|LHX6,0.026864782858958557,LHX6
MS00605|RAXL1,0.027885496682190886,RAXL1
MS00756|E2F7,0.027948775625505864,E2F7
MS00429|DLX3,0.02915952342882979,DLX3
M01483|Dbx1,0.029198564706147317,Dbx1
MS00470|HESX1,0.029505038972146423,HESX1
UP00389|NKX3-1,0.029983921360781228,NKX3-1
MS00615|Shox2,0.029986979964046062,Shox2
M00155|NR2F2,0.030755861081897817,NR2F2
MS00318|Hlf,0.03113804145828088,Hlf
MS00494|HOXC10,0.031929519067911465,HOXC10
MS00771|SOX8,0.03221195454027307,SOX8
M00750|HMGA1,0.03309529209843812,HMGA1
M01150|Dmrta2,0.03364300563198662,Dmrta2
UP00248|Pax7,0.034472781063073665,Pax7
MS00553|MEOX2,0.034892825097345426,MEOX2
MS00531|ISX,0.034896937335396054,ISX
UP00117|Hoxd11,0.03537108050294947,Hoxd11
M01004|IKZF2,0.03570692615892017,IKZF2
MS00559|MSX1,0.03584286287488324,MSX1
MC00272|CEBPB,0.03729764079632282,CEBPB
MC00357|Crx,0.037353741358157354,Crx
MS00417|BARX1,0.03748066086156361,BARX1
M01728|NR2F6,0.03770431191970916,NR2F6
M00420|MEIS1::HOXA9,0.0391006938752034,MEIS1::HOXA9
MS00730|ZNF435,0.03918116614495169,ZNF435
M00405|MEF2A,0.03923086047730595,MEF2A
MC00474|BCL11A,0.03966460283435944,BCL11A
MC00368|Hsf1,0.03994368507276738,Hsf1
MS00479|ZNF784,0.04039159059006057,ZNF784
M00632|GATA4,0.040868777524801024,GATA4
UP00120|Lbx2,0.041329770374885576,Lbx2
MA0108|TBP,0.04143197024297164,TBP
MS00045|GATA5,0.041744137671451215,GATA5
MS00432|DLX6,0.041792835776416355,DLX6
MC00369|Myod1,0.04240811801564062,Myod1
MS00525|Hoxd9,0.044054632003185455,Hoxd9
UP00237|Otp,0.04431935248755001,Otp
MC00205|Stat5a,0.04436360343948914,Stat5a
MS00219|TEAD1,0.045702846895458234,TEAD1
MC00456|JUND,0.04630601732930729,JUND
MC00455|Cdx2,0.047847565915877535,Cdx2
MS00070|IRF7,0.048124410677085665,IRF7
MS00603|PRRX2,0.048529946419056925,PRRX2
MC00129|Fli1,0.04899914907413528,Fli1
MS00595|PITX1,0.0494680606126172,PITX1
MA0161|NFIC,0.049911081779460506,NFIC
MS00561|MSX2,0.05053171380729013,MSX2
MC00287|POU2F2,0.051952690384421615,POU2F2
MS00515|Hoxa11,0.052105028027307404,Hoxa11
MS00571|NKX2-8,0.05283285158273535,NKX2-8
UP00132|Evx2,0.05321379628660969,Evx2
MS00475|HMX3,0.0562870549561263,HMX3
MS00732|CPEB1,0.05664124704712677,CPEB1
MC00305|Sox6,0.05843370914658909,Sox6
MS00620|VAX1,0.0591423326184876,VAX1
MS00780|SOX9,0.060644917629872466,SOX9
