,0,TF
MS00638|ESRRG,7.198764407315985e-05,ESRRG
UP00184|Lhx8,7.357567243656932e-05,Lhx8
MS00300|CEBPE,8.005451624666433e-05,CEBPE
MS00433|DMBX1,0.00010008189018236302,DMBX1
MC00467|RXRA,0.00010348405949275095,RXRA
UP00085|Sfpi1,0.00010543062383224522,Sfpi1
M01733|MZF1,0.00016107952246525593,MZF1
MS00264|MESP1,0.00016893045418631814,MESP1
MC00356|Tbx21,0.00017061334960045288,Tbx21
UP00048|RARA,0.00020266067461708378,RARA
M00500|STAT6,0.0002081254912262508,STAT6
M00646|HNF1B,0.00021193372418278923,HNF1B
MC00388|Tal1,0.0002230633657290609,Tal1
MS00556|GRHL1,0.00027572736654357606,GRHL1
M01069|GZF1,0.00031824134855088204,GZF1
MC00305|Sox6,0.00032487628590670796,Sox6
MA0051|IRF2,0.0003658181535392014,IRF2
M01312|NKX2-1,0.0003736524400077043,NKX2-1
M00133|POU3F1,0.0004638070172899222,POU3F1
MS00325|Jdp2,0.0005184389019118907,Jdp2
MS00525|Hoxd9,0.0007164902721476067,Hoxd9
M00456|BPTF,0.0007316853389155059,BPTF
M00433|Hmx3,0.000771551240516176,Hmx3
MS00169|RFX5,0.0007965850898499873,RFX5
MS00376|FOXO1,0.0008116822550287917,FOXO1
MS00371|FOXK1,0.000821373329781537,FOXK1
MC00126|TCF12,0.0008788771004326152,TCF12
MC00281|PBX3,0.0009521371367269361,PBX3
M01067|GFI1,0.0009682478731712256,GFI1
MC00134|Ppara,0.0010224669543921906,Ppara
UP00231|NKX2-2,0.0010597249906783828,NKX2-2
UP00112|Gsc,0.0011597931604687857,Gsc
MS00214|TBX4,0.0012192390435877775,TBX4
MS00398|Foxk1,0.0012363377935813403,Foxk1
MS00320|JDP2,0.00130285190768682,JDP2
M01288|NEUROD1,0.0014790474314170425,NEUROD1
M01123|NANOG,0.001526843088002382,NANOG
M00088|IKZF1,0.0015277536666687284,IKZF1
MS00708|Rxrb,0.0016087585351400443,Rxrb
UP00199|SIX4,0.001618928491479204,SIX4
MC00129|Fli1,0.0018298771844306365,Fli1
MS00168|PRDM1,0.0020108698248721196,PRDM1
UP00177|Hoxd12,0.002352202021376068,Hoxd12
MC00136|Hoxb4,0.0025085009062437874,Hoxb4
MS00188|MGA,0.0028343770811991315,MGA
M00105|CUX1,0.0028439609513189524,CUX1
UP00033|Zfp410,0.0030387485129666557,Zfp410
M00220|SREBF1,0.003048770307766327,SREBF1
MS00475|HMX3,0.003247320839460644,HMX3
MS00685|RORA,0.003286642563682079,RORA
MS00114|NFIB,0.003885448740014673,NFIB
MS00392|Foxg1,0.003941454558110335,Foxg1
MS00302|CEBPG,0.004545216473027955,CEBPG
M01112|RBPJ,0.00491313976465576,RBPJ
MA0017|NR2F1,0.005098535410041309,NR2F1
MS00313|Creb5,0.005454045383897775,Creb5
MS00040|SPIC,0.005513635006421423,SPIC
MS00243|Ascl2,0.0057057262193855735,Ascl2
MS00836|HOXD12,0.0062836845937966615,HOXD12
MS00271|NEUROD2,0.006612594641173911,NEUROD2
MC00357|Crx,0.006817862887480539,Crx
MS00490|ZSCAN4,0.006855308950513955,ZSCAN4
MS00692|RXRB,0.007167758751981303,RXRB
M00678|ETV7,0.00748313398480569,ETV7
M01132|SF1,0.007566240685189628,SF1
UP00159|SIX2,0.007720778999347349,SIX2
UP00138|Bsx,0.007946326887801315,Bsx
M01262|TBX18,0.008706314245474453,TBX18
MC00186|Nr1d2,0.00876480807685278,Nr1d2
M01656|Trp63,0.008871587005282637,Trp63
MC00293|Gfi1b,0.010403944707794545,Gfi1b
UP00148|Hdx,0.01071420233565518,Hdx
MC00512|Esrrb,0.012485864941440423,Esrrb
MS00526|IRX2,0.01331806813414417,IRX2
M01596|GLI3,0.014330801124806693,GLI3
MS00070|IRF7,0.014880456223897585,IRF7
MS00726|PRDM4,0.016245964822525244,PRDM4
MS00326|MAFF,0.016610808838162534,MAFF
M00041|ATF2::JUN,0.016791462636141626,ATF2::JUN
MS00571|NKX2-8,0.018084415858743666,NKX2-8
MS00609|RHOXF1,0.018848897986813277,RHOXF1
MS00514|Hoxa11,0.019344304823359852,Hoxa11
MC00348|STAT1,0.019362945825752653,STAT1
MC00355|SRF,0.01961409632189515,SRF
M01195|TBX22,0.021561045574049496,TBX22
MC00272|CEBPB,0.021668162871428226,CEBPB
MS00479|ZNF784,0.021924499027518723,ZNF784
MC00265|Tcf3,0.02226428409000963,Tcf3
MC00465|NR3C1,0.022269420804789292,NR3C1
MS00468|ZNF75A,0.02255772748489968,ZNF75A
MC00304|FOXH1,0.022577246269677928,FOXH1
MC00135|Rela,0.023863263883565036,Rela
MS00343|FOXB1,0.024386512316579182,FOXB1
MA0130|ZNF354C,0.025672066724670175,ZNF354C
MS00662|NR3C2,0.026685503873494835,NR3C2
MS00669|Nr2f6,0.029067599744158512,Nr2f6
MS00177|RUNX3,0.02907021398139611,RUNX3
MS00626|VSX1,0.03007687202117918,VSX1
MS00582|OTX1,0.032283121860296415,OTX1
UP00132|Evx2,0.03337265730597338,Evx2
MC00193|RELA,0.03594612484935177,RELA
MS00421|Barhl1,0.03596734656565798,Barhl1
MC00330|FOS,0.03610795824553804,FOS
MC00358|Ebf1,0.03827945644802283,Ebf1
MC00396|Nr3c1,0.03989285300099126,Nr3c1
MS00088|Meis3,0.042034115970504375,Meis3
MS00291|Tcf21,0.043063195525659514,Tcf21
MC00151|SPI1,0.04374699538160734,SPI1
MS00729|ZNF282,0.04496456338164622,ZNF282
MS00299|CEBPD,0.05004744833111392,CEBPD
MC00352|Nr5a2,0.05183708180002067,Nr5a2
MS00464|GSC,0.0535515414434967,GSC
MS00261|ID4,0.05475375448446447,ID4
MC00339|NFE2L2,0.058507014248163715,NFE2L2
MS00380|FOXO3,0.060050485814305235,FOXO3
UP00388|SIX6,0.06178940623580174,SIX6
MC00273|CEBPA,0.061858738193499165,CEBPA
UP00117|Hoxd11,0.06318344432437514,Hoxd11
MC00121|Cebpb,0.06379621245643637,Cebpb
MS00493|HOXB5,0.06504241025064382,HOXB5
M00526|NR6A1,0.06719739031952172,NR6A1
M01709|MAFA,0.06956956461032464,MAFA
MS00489|HOXB13,0.06975473576839866,HOXB13
MS00190|SCRT2,0.07053180768886132,SCRT2
UP00195|SIX3,0.07123188658139692,SIX3
MC00321|JUN,0.0752622950999785,JUN
MC00413|Runx1,0.07800243391465236,Runx1
MS00060|HSF4,0.08331094378110643,HSF4
M01466|Obox3,0.08948156519079424,Obox3
MS00480|HOXA10,0.10106679675890574,HOXA10
MS00316|Dbp,0.10184926674719844,Dbp
MS00337|NFIL3,0.10522538590580238,NFIL3
MC00280|NR4A1,0.10718557184176376,NR4A1
UP00045|MAFB,0.12721703619259475,MAFB
MS00585|OTX2,0.12733031244740117,OTX2
MS00282|Srebf1,0.13613552961249578,Srebf1
MC00458|TAL1,0.13807879249777816,TAL1
MC00341|Olig2,0.14869361283418323,Olig2
MS00730|ZNF435,0.1670441487108616,ZNF435
MS00414|BARHL2,0.17312767798081413,BARHL2
MA0442|SOX10,0.1792355326287422,SOX10
M00999|AIRE,0.18134423856172194,AIRE
MA0365|RFX1,0.1867647729581202,RFX1
M00964|NR1I2,0.2059167391016455,NR1I2
MS00317|HLF,0.20689029791698424,HLF
MC00351|FOSL1,0.2139136597918084,FOSL1
MA0081|SPIB,0.21482618627810685,SPIB
MS00449|EN1,0.21542653579767318,EN1
UP00055|HBP1,0.21576193105335842,HBP1
M01282|PPARA,0.21604275903136871,PPARA
MC00368|Hsf1,0.2185787321734266,Hsf1
MS00463|GSC2,0.22054287243555776,GSC2
MS00254|FIGLA,0.22271517525770587,FIGLA
M01081|ZNF628,0.22729365788614742,ZNF628
MC00471|Rxra,0.2316720807265912,Rxra
MS00315|DBP,0.25612473000626057,DBP
MS00497|HOXC11,0.25732266678816734,HOXC11
MS00511|HOXD13,0.25940922251601567,HOXD13
UP00190|NKX2-3,0.2613634363357669,NKX2-3
UP00161|Hmbox1,0.26220931226404376,Hmbox1
MC00347|STAT4,0.26858103915373766,STAT4
MS00718|Tp53,0.2686829730606552,Tp53
MS00829|ESRRA,0.27027117183538363,ESRRA
MC00141|Stat1,0.27051636980408716,Stat1
MS00394|Foxj3,0.2964459715252212,Foxj3
MS00586|Otx1,0.29760333719764154,Otx1
MS00011|BCL6B,0.29890967053838113,BCL6B
MA0030|FOXF2,0.30583376194722967,FOXF2
MS00505|HOXC13,0.3179797169659632,HOXC13
M00495|BACH1,0.32020849597932355,BACH1
M01364|Obox2,0.32487730864049524,Obox2
MS00503|HOXC12,0.3261904849488805,HOXC12
MC00511|Rxrg,0.32898633720515474,Rxrg
MC00506|Spi1,0.3505812694368007,Spi1
MS00361|FOXG1,0.3515100585181832,FOXG1
MS00179|SCRT1,0.351727574019462,SCRT1
MS00244|Atoh1,0.3671262238765739,Atoh1
