,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
65041|DNMT1,0.0003063720785590822,Homo sapiens,DNMT1,cr,K562,Erythroblast,Bone Marrow,1
52167|TP53,0.0003070326673200739,Homo sapiens,TP53,predicted transcription factor,GM00011,Fibroblast,Fetal Skin,1
63904|ZNF438,0.0003096882986566755,Homo sapiens,ZNF438,,HEK293,Epithelium,Embryonic Kidney,1
37580|FAIRE,0.0003096882986566755,Homo sapiens,FAIRE,other,None,Epithelium,Mammary Gland,1
40225|BRD4,0.00031035553775084283,Homo sapiens,BRD4,cr,H2171,Epithelium,Lung,1
9506|FOXK1,0.00031102411423767896,Homo sapiens,FOXK1,tf,HeLa,Epithelium,Cervix,1
55389|SPI1,0.00031102411423767896,Homo sapiens,SPI1,predicted transcription factor,786-O,Epithelium,Kidney,1
56247|BIRA,0.00031236528919857513,Homo sapiens,BIRA,not sure,CClp1,None,None,1
64217|HES2,0.00031303789258723503,Homo sapiens,HES2,tf,A549,Epithelium,Lung,1
35216|HSF1,0.00031303789258723503,Homo sapiens,HSF1,tf,M0-91,Leukemia Cell,None,0
48765|EZH2,0.0003137118431977737,Homo sapiens,EZH2,cr,None,Multiple myeloma,None,1
63365|ZNF318,0.00031438714349750745,Homo sapiens,ZNF318,,K562,Erythroblast,Bone Marrow,1
8448|TCF7L2,0.00031506379595776777,Homo sapiens,TCF7L2,tf,U937,None,Pleura,1
70222|TRIM28,0.0003157418030539084,Homo sapiens,TRIM28,cr,WIBR3,Embryonic Stem Cell,Embryo,1
55554|PAX5,0.00031846742744541626,Homo sapiens,PAX5,tf,None,B Lymphocyte,None,0
52549|SOX10,0.00031846742744541626,Homo sapiens,SOX10,tf,501-Mel,Melanoma Cell,None,1
76297|YY1,0.00031846742744541626,Homo sapiens,YY1,tf,LCL,Lymphoblastoid,Blood,1
46112|ATF2,0.00032052599130835403,Homo sapiens,ATF2,predicted transcription factor,GM12878,B Lymphocyte,Blood,1
58056|NR3C1,0.00032052599130835403,Homo sapiens,NR3C1,tf,U2OS,None,Bone,1
62660|KAT8,0.00032052599130835403,Homo sapiens,KAT8,cr,K562,Erythroblast,Bone Marrow,1
49697|DEK,0.00032052599130835403,Homo sapiens,DEK,predicted chromatin regulator,U937,None,Pleura,1
36712|CDX2,0.0003212149250886932,Homo sapiens,CDX2,tf,COLO-320,Epithelium,Colon,1
1223|C17orf49,0.0003225969264530984,Homo sapiens,C17orf49,cr,HeLa,Epithelium,Cervix,1
47867|REST,0.0003225969264530984,Homo sapiens,REST,tf,Jurkat,T Lymphocyte,Blood,1
64044|CTCF,0.0003225969264530984,Homo sapiens,CTCF,tf,None,None,Stomach,1
49744|BRD4,0.00032328999907299625,Homo sapiens,BRD4,cr,None,Fibroblast,None,0
63014|TSHZ1,0.00032468030080841517,Homo sapiens,TSHZ1,tf,HEK293,Epithelium,Embryonic Kidney,1
64546|HNF1A,0.00032677618263421074,Homo sapiens,HNF1A,tf,HepG2,Epithelium,Liver,1
67539|BRD4,0.0003288846405228915,Homo sapiens,BRD4,cr,HCT-116,Colon cancer cell,Colon,1
58303|BCL6,0.0003302972998408293,Homo sapiens,BCL6,predicted transcription factor,None,B Lymphocyte,Tonsil,1
72971|AR,0.0003310057434007217,Homo sapiens,AR,tf,None,None,Prostate,1
35231|HSF1,0.0003310057434007217,Homo sapiens,HSF1,tf,M0-91,Leukemia Cell,None,1
74354|OTX2,0.0003310057434007217,Homo sapiens,OTX2,tf,D-341,None,None,1
63917|FOSL2,0.0003331395605291883,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1
48301|REST,0.0003338536703139487,Homo sapiens,REST,tf,GM12878,B Lymphocyte,Blood,1
4970|RELA,0.0003338536703139487,Homo sapiens,RELA,tf,GM12878,B Lymphocyte,Blood,1
42947|HNF4A,0.00033528616150636705,Homo sapiens,HNF4A,tf,LoVo,None,Colon,1
64930|NR3C1,0.00033528616150636705,Homo sapiens,NR3C1,tf,A549,Epithelium,Lung,1
45825|TCF7L2,0.00033600454809864307,Homo sapiens,TCF7L2,tf,HepG2,Epithelium,Liver,1
71015|MYC,0.00033600454809864307,Homo sapiens,MYC,tf,None,Hematopoietic stem and progenitor cell,Bone Marrow,1
64118|HES2,0.0003374456162682936,Homo sapiens,HES2,tf,A549,Epithelium,Lung,1
36820|RXRA,0.0003374456162682936,Homo sapiens,RXRA,tf,MCF-7,Epithelium,Breast,1
62628|FOSL2,0.00033889242845765573,Homo sapiens,FOSL2,tf,A549,Epithelium,Lung,1
