,0,TF
MS00174|RUNX2,3.387989300856462e-22,RUNX2
MS00141|POU3F2,0.3636015645978441,POU3F2
MC00312|RUNX1,0.3644592936253428,RUNX1
MS00667|ONECUT1,0.36818673659489054,ONECUT1
UP00075|Sox15,0.3686074492846724,Sox15
MS00516|Hoxa2,0.37108896584383505,Hoxa2
M00294|Foxf1a,0.3752821895204794,Foxf1a
MS00602|PRRX1,0.37537255755240695,PRRX1
MS00148|POU4F1,0.37590970875216445,POU4F1
MC00248|USF1,0.3772940933089804,USF1
MS00403|ALX3,0.377909682308206,ALX3
MS00201|SNAI2,0.37847444312229184,SNAI2
MS00492|HOXB3,0.3809276626551818,HOXB3
MS00559|MSX1,0.3843568482533532,MSX1
MS00467|Gbx1,0.38503310700173166,Gbx1
UP00129|Pou3f1,0.38623100332183075,Pou3f1
MS00585|OTX2,0.3862631914074697,OTX2
MS00454|EVX1,0.3864913032695814,EVX1
MS00619|Uncx,0.38684515090120614,Uncx
MS00459|GBX1,0.38758980034763013,GBX1
MS00458|En2,0.3876943556699854,En2
M01450|Obox1,0.39185921151859465,Obox1
UP00237|Otp,0.3937764349602718,Otp
MS00350|FOXC1,0.3945850030372623,FOXC1
UP00212|LHX5,0.3946021735792549,LHX5
MS00536|LHX2,0.39735824259795066,LHX2
MS00443|EMX2,0.39756225459980227,EMX2
M00088|IKZF1,0.4010261276960842,IKZF1
UP00037|Zfp105,0.40718004321380863,Zfp105
MS00730|ZNF435,0.4097695228105299,ZNF435
MC00258|Pax7,0.4150535089805,Pax7
MS00266|MLX,0.41671554273212763,MLX
MS00424|CART1,0.4169957032023436,CART1
MS00450|EN2,0.4178308748235894,EN2
M01147|DMRT2,0.4184136320796452,DMRT2
MS00039|SPIB,0.42234517438331987,SPIB
MC00370|Npas4,0.42254477897972054,Npas4
M01150|Dmrta2,0.4249948999712284,Dmrta2
UP00114|Homez,0.4341191725209488,Homez
UP00214|HOXB5,0.43564472888745465,HOXB5
UP00168|Hoxd8,0.4416184356038948,Hoxd8
MS00595|PITX1,0.4421750811952453,PITX1
UP00391|HOXA3,0.4445480941513862,HOXA3
UP00215|Vax1,0.45071324917848576,Vax1
UP00107|Nkx2-4,0.4558967622723965,Nkx2-4
MS00620|VAX1,0.4560806691771937,VAX1
MS00040|SPIC,0.4569776288972386,SPIC
MS00086|Meis2,0.46083780281628406,Meis2
UP00249|NKX2-5,0.46200104600308967,NKX2-5
MS00668|Nr2e1,0.46293568917670624,Nr2e1
MC00388|Tal1,0.4648735457666884,Tal1
UP00130|LHX3,0.467410304970024,LHX3
UP00078|ARID3A,0.4825344471182078,ARID3A
MS00084|MEIS3,0.4840528375998633,MEIS3
MS00627|VSX2,0.4937046200684643,VSX2
MA0125|Nobox,0.4951451952206689,Nobox
MS00136|POU2F3,0.4955738413099261,POU2F3
M01069|GZF1,0.4972667616476023,GZF1
M01151|Dmrtc2,0.5185103476456205,Dmrtc2
MS00129|POU1F1,0.5225289329656627,POU1F1
MS00296|BATF3,0.5244842480167637,BATF3
MC00356|Tbx21,0.5250403042144298,Tbx21
UP00252|HOXC5,0.525715822789363,HOXC5
MS00149|POU4F2,0.5307307304384736,POU4F2
MC00269|SOX2,0.5326755335529582,SOX2
MS00106|NFAT5,0.5332869314574091,NFAT5
UP00211|Pou3f3,0.5341868910403593,Pou3f3
M01596|GLI3,0.5393935365908851,GLI3
MS00573|NKX3-2,0.5425453542669401,NKX3-2
UP00260|Hoxc6,0.543310488159038,Hoxc6
MC00326|Gata3,0.5490104977277321,Gata3
MC00162|LMO2,0.5530346021677345,LMO2
MS00075|MEF2B,0.556131371492387,MEF2B
MC00474|BCL11A,0.5571303870194755,BCL11A
MS00580|Nkx3-1,0.5622390460972787,Nkx3-1
MS00060|HSF4,0.5623140341298059,HSF4
MA0130|ZNF354C,0.5708563952479024,ZNF354C
UP00034|Sox7,0.5732636202618219,Sox7
MS00487|HOXA2,0.5763203153150407,HOXA2
MS00755|SOX21,0.5850745542351838,SOX21
MC00358|Ebf1,0.5854039948297094,Ebf1
MC00416|Rbfox2,0.5855391103503587,Rbfox2
MC00414|Atoh1,0.5893978899494208,Atoh1
MS00794|Sox10,0.5896419252155152,Sox10
M01081|ZNF628,0.5932423096249675,ZNF628
MS00616|UNCX,0.5964443643764763,UNCX
MS00797|Sox17,0.600765651398265,Sox17
MS00280|OLIG3,0.6018395046757102,OLIG3
MS00249|BHLHE22,0.6048898880994389,BHLHE22
UP00113|HOXC4,0.6057544694592405,HOXC4
MS00465|GSX1,0.6072035894628236,GSX1
MC00111|Bcl6,0.6149793865476979,Bcl6
M01445|Obox6,0.6192651397638357,Obox6
MS00728|ZNF232,0.6217013312194348,ZNF232
MS00429|DLX3,0.6230406009168352,DLX3
MS00427|DLX1,0.6275412174957844,DLX1
MC00321|JUN,0.6287570775784319,JUN
UP00139|Nkx1-2,0.6288410082011586,Nkx1-2
UP00182|HOXA6,0.6345951899567739,HOXA6
MS00152|POU5F1P1,0.6395729840588205,POU5F1P1
UP00189|HOXA5,0.642799901771492,HOXA5
MS00282|Srebf1,0.648148777632453,Srebf1
MS00439|Dlx1,0.6495088781468157,Dlx1
MC00514|Cbfa2t2,0.6518220195271336,Cbfa2t2
MS00053|TCF7L1,0.6531880510304688,TCF7L1
MS00563|Meox2,0.6547424480978938,Meox2
MS00621|VAX2,0.6547540011555397,VAX2
MS00378|FOXO3,0.65619271675933,FOXO3
MS00408|Alx4,0.6680953516277652,Alx4
MS00766|SOX4,0.6681487109321198,SOX4
MC00117|GATA6,0.6698839752578296,GATA6
MS00270|Mlx,0.6783783400303202,Mlx
MC00204|Stat5b,0.6787788577618552,Stat5b
UP00080|Gata5,0.6840445938622246,Gata5
M00678|ETV7,0.6921209008348652,ETV7
MC00327|Gata1,0.6941752065027051,Gata1
MC00141|Stat1,0.694579656838907,Stat1
MS00430|DLX4,0.6959913904614449,DLX4
MS00221|TEAD3,0.6973374510618531,TEAD3
UP00019|ZBTB12,0.698030415901433,ZBTB12
UP00064|Sox18,0.6996800766623514,Sox18
M01146|DMRT1,0.7044439676911463,DMRT1
UP00262|Lhx1,0.7065180710378127,Lhx1
MS00731|ZNF713,0.7070272633565703,ZNF713
MC00324|Gata4,0.7071966916802421,Gata4
MC00154|Jund,0.7084254502026388,Jund
MC00402|Hoxc9,0.7132236434914905,Hoxc9
MA0365|RFX1,0.7172785523751848,RFX1
MC00411|BATF,0.7201947034638748,BATF
MC00471|Rxra,0.7320700426427875,Rxra
MS00218|T,0.742845696981713,T
UP00004|Sox14,0.7534158144347884,Sox14
MS00438|DUXA,0.7559058588459617,DUXA
UP00388|SIX6,0.7623023087112291,SIX6
UP00012|Bbx,0.7633924307582961,Bbx
MS00412|ZNF410,0.7642725052374579,ZNF410
MC00504|Scx,0.765198588491388,Scx
MC00126|TCF12,0.7659558952039819,TCF12
MC00105|Foxa2,0.7699952522510352,Foxa2
MC00505|POLR2B,0.7721203242624168,POLR2B
MS00041|Spic,0.7732130647593021,Spic
MS00220|TEAD1,0.7763438715252469,TEAD1
MC00311|FOXA1,0.7813726017024768,FOXA1
MC00453|STAT5A,0.7859793812874177,STAT5A
MS00432|DLX6,0.7879613979663472,DLX6
MS00690|ONECUT3,0.7949154088707825,ONECUT3
MS00190|SCRT2,0.7961331211283051,SCRT2
MS00261|ID4,0.8048162984034217,ID4
MS00542|LHX9,0.8053650279929101,LHX9
MS00634|CUX2,0.8065131808403243,CUX2
MC00120|GATA1,0.8072508567211606,GATA1
MA0152|NFATC2,0.8079738821102274,NFATC2
UP00071|Sox21,0.8093196632741249,Sox21
UP00101|Sox12,0.8133812294961638,Sox12
MS00134|POU2F2,0.8142805387706631,POU2F2
MS00807|MSC,0.8157312394278751,MSC
MC00455|Cdx2,0.8188073784017456,Cdx2
MC00347|STAT4,0.8196444184158772,STAT4
MC00371|JUNB,0.819919476905614,JUNB
MS00726|PRDM4,0.8266670331434375,PRDM4
MS00371|FOXK1,0.8273768581504073,FOXK1
MC00349|Jun,0.8284325404360218,Jun
MC00134|Ppara,0.8303928447624922,Ppara
MS00624|VENTX,0.8306129940824805,VENTX
MC00211|NFATC1,0.8328554252780225,NFATC1
MS00076|MEF2D,0.835373469818714,MEF2D
MS00564|Msx3,0.8367434168997466,Msx3
MC00276|EOMES,0.8377847081399568,EOMES
MS00399|Foxk1,0.8415018000431203,Foxk1
MS00191|TBR1,0.8430401653976218,TBR1
MS00605|RAXL1,0.8433368071443983,RAXL1
M01300|HMGA2,0.8484963436457591,HMGA2
MS00276|OLIG1,0.8499340846341106,OLIG1
MC00303|Sox2,0.8504850205520484,Sox2
MC00157|Tead4,0.8541330396232635,Tead4
MS00336|NFE2,0.8581130732545557,NFE2
MS00829|ESRRA,0.859203544774555,ESRRA
MS00059|HSF2,0.8658233432278114,HSF2
MS00287|TFAP4,0.8673388168595169,TFAP4
MC00146|Smad2/3,0.8698254050112288,Smad2/3
M00749|SREBF1,0.8721014829783553,SREBF1
MS00578|NOTO,0.8722266167274098,NOTO
MS00561|MSX2,0.8779876283039008,MSX2
MC00233|Pou5f1,0.8807246127565056,Pou5f1
MC00512|Esrrb,0.8831087346690818,Esrrb
UP00147|Nkx2-6,0.8860622392821655,Nkx2-6
MS00628|Vsx1,0.8874065733291348,Vsx1
MS00436|DPRX,0.8875458037557595,DPRX
MC00118|GATA2,0.8992767844185828,GATA2
UP00096|SOX13,0.9026662409103448,SOX13
MC00226|Nanog,0.9039452893068238,Nanog
UP00069|Sox1,0.9039558761236106,Sox1
M01230|ZNF333,0.9050325874060969,ZNF333
MS00603|PRRX2,0.9062787363219462,PRRX2
MS00179|SCRT1,0.9094214318142605,SCRT1
MC00520|MEIS1,0.9104889426085352,MEIS1
MC00508|Batf,0.9105112634837541,Batf
MS00750|SOX15,0.9130698667492615,SOX15
MS00531|ISX,0.9135671114093719,ISX
MS00277|OLIG2,0.9141210502965611,OLIG2
M01399|Hlx,0.9229007031648002,Hlx
MC00507|Meis1,0.9253346327275034,Meis1
MC00456|JUND,0.9277177988393007,JUND
MS00096|TGIF2,0.9287883320956889,TGIF2
MS00613|SHOX2,0.9305562368764392,SHOX2
UP00155|Hmx2,0.93198563929954,Hmx2
MC00351|FOSL1,0.9325978886200005,FOSL1
M01694|Yy2,0.9344484146369795,Yy2
MC00309|TCF7L2,0.9385297873515691,TCF7L2
MS00788|SRY,0.938776918235225,SRY
MS00653|NR2E1,0.9394512583205608,NR2E1
MC00378|POU5F1,0.9396631713943371,POU5F1
M01262|TBX18,0.9419273111057592,TBX18
MC00352|Nr5a2,0.943198785116902,Nr5a2
MC00186|Nr1d2,0.9437253759364095,Nr1d2
MS00245|BHLHA15,0.9437891607247929,BHLHA15
MS00490|ZSCAN4,0.948501454370119,ZSCAN4
MA0164|NR2E3,0.9493167743574489,NR2E3
MC00513|SFPI1,0.9495802653251432,SFPI1
MS00083|MEIS2,0.9558620348044368,MEIS2
MS00665|NR4A2,0.9570368079449975,NR4A2
MS00641|Esrra,0.9581981219501827,Esrra
MS00615|Shox2,0.9594758351042835,Shox2
MC00260|Pax3,0.9606876285156002,Pax3
M01132|SF1,0.9616176892155709,SF1
M01295|ATF5,0.9622861712004802,ATF5
MS00604|Prrx2,0.9623854647848923,Prrx2
M00632|GATA4,0.9635361608322572,GATA4
MC00506|Spi1,0.9638025391721095,Spi1
MC00104|Foxa1,0.9638119847908049,Foxa1
MC00452|STAT5B,0.9643817618282727,STAT5B
M01734|NFATC4,0.9652243909700841,NFATC4
MC00165|Pdx1,0.9654316602033557,Pdx1
MC00205|Stat5a,0.967548271013226,Stat5a
M01127|ISL1,0.9687523381829659,ISL1
MC00195|Myf5,0.9695923035263551,Myf5
MC00325|Gata2,0.96987364156317,Gata2
M00420|MEIS1::HOXA9,0.9708577197351692,MEIS1::HOXA9
MS00501|Zfp652,0.971930350578019,Zfp652
MS00295|Atf4,0.971949898381483,Atf4
MS00771|SOX8,0.9720700073770251,SOX8
MS00657|NR2F1,0.9732009709065284,NR2F1
MS00250|BHLHE23,0.9748866660838356,BHLHE23
UP00045|MAFB,0.9750490477824858,MAFB
UP00051|Sox8,0.9755811453580442,Sox8
MS00269|MYF6,0.976951188984704,MYF6
MC00151|SPI1,0.9773560742047979,SPI1
UP00044|Mafk,0.9775903903761242,Mafk
MS00390|ZNF238,0.9777100835512816,ZNF238
MC00231|MEF2C,0.9831480278317246,MEF2C
MS00658|NR2F6,0.9835889545745182,NR2F6
MC00119|GATA3,0.9848203575653159,GATA3
MS00095|TGIF2LX,0.9853587065369536,TGIF2LX
MS00614|SHOX,0.98624502440187,SHOX
M01195|TBX22,0.9877481757243404,TBX22
UP00033|Zfp410,0.9878078104557918,Zfp410
MS00092|PKNOX2,0.9894313833980003,PKNOX2
UP00023|Sox30,0.9896527137984797,Sox30
MS00811|RARB,0.9906954218748228,RARB
MS00571|NKX2-8,0.9915301381380371,NKX2-8
MS00091|PKNOX1,0.9915952850386822,PKNOX1
M01306|ZNF217,0.9941125577383099,ZNF217
M00712|MYOG,0.9944207606356599,MYOG
MS00753|SOX18,0.9945171021538811,SOX18
MS00272|NEUROG2,0.994540761994679,NEUROG2
MS00224|TEAD4,0.9946339003787427,TEAD4
MS00051|LEF1,0.9951327742510185,LEF1
MC00330|FOS,0.9952250490307151,FOS
MS00094|TGIF1,0.9956113246729161,TGIF1
MS00054|Tcf7,0.9960647366083157,Tcf7
MC00329|Srf,0.9967444456671396,Srf
MS00708|Rxrb,0.9978876021522801,Rxrb
UP00055|HBP1,0.9979554425470982,HBP1
MS00192|TBX15,0.9980752002186839,TBX15
MS00093|Pknox2,0.9982127670042057,Pknox2
MS00197|TBX1,0.9983014379421662,TBX1
MC00280|NR4A1,0.998742581202216,NR4A1
M01268|NR1H4,0.9987799319301869,NR1H4
UP00170|Isl2,0.9988886569336967,Isl2
MS00669|Nr2f6,0.9990504897240094,Nr2f6
MS00254|FIGLA,0.9993592442103434,FIGLA
M01722|RORB,0.999436929916801,RORB
M01733|MZF1,0.9995718213940293,MZF1
MS00820|NFIA,0.9997754215647476,NFIA
MC00354|Neurod1,0.9999422145575787,Neurod1
MC00524|Nr1d1,0.9999828497777454,Nr1d1
MS00692|RXRB,0.999985125494588,RXRB
MA0103|ZEB1,0.9999955767593249,ZEB1
MS00748|SOX14,0.9999968770143902,SOX14
M01709|MAFA,0.9999978536077403,MAFA
MC00178|Nkx2-5,0.9999995672011903,Nkx2-5
M01282|PPARA,0.9999998803014308,PPARA
