,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
49266|SCML2,0.00000000000000000000000000000000000000012856746040245717129629227856682734512765238132275454557673494608254666482607322062171658655740797820681459813284483812255780188236673701865216712376658555959939584020257431310926136973096334879378214,Homo sapiens,SCML2,tf,293T-Rex,None,None,1,SCML2
38724|GMEB2,0.00000000000000000000000000000000000000040770706842291488706626214884636288082083865723785476059762445499707042646314996391960953574744045102512234773445506633216434646656126847380315401815078386392961705468972250952342105047866719376621623,Homo sapiens,GMEB2,tf,LoVo,None,Colon,1,GMEB2
1878|RBL2,0.0000000000000000000000000000000000000006649103613425506046212644264514296691992035454713689058214736301187200561821771458178712035907569269475757613313508442001026921684470580196348099565645599963200652462323356816568015674636678986022979,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL2
51103|CHD8,0.00000000000000000000000000000000000000071525052786387597707788274595990148857822474489752882060005145495218655644052171467759578449106609777970894877342422531884165020029414206277436668846869286997606574646238974783838804371175362561221988,Homo sapiens,CHD8,cr,None,Neural Stem Cell,None,1,CHD8
70927|SUPT5H,0.00000000000000000000000000000000000000076151827980929311125710811587700627363736078476796091413689862097044796398595776275011666362275766915528591298405323355777690390466410144628980167284593051390124599541825567920221796379514131857128745,Homo sapiens,SUPT5H,tf,BJAB,B Lymphocyte,None,1,SUPT5H
45767|HCFC1,0.00000000000000000000000000000000000000084041988245562612693724181648560438364300672726163952314537067930402447784564520102004026527144517720144929328604042875394584387365970122506124861913827979519736401138430008793299026445348738240025243,Homo sapiens,HCFC1,tf,HeLa-S3,Epithelium,Cervix,1,HCFC1
36230|TTF2,0.00000000000000000000000000000000000000097954666920666092304680166508387553739096763832603689231509920983427080090077166257484025081809694396619995304998163246931182768165799426503492160655393023507331089094619742450585237533128827219083864,Homo sapiens,TTF2,tf,HEK293,Epithelium,Embryonic Kidney,1,TTF2
49021|CPSF3L,0.0000000000000000000000000000000000000027156519189048191358515553587478997308928882506088665697637457302185951047311637419348315419348606258657719662766459260304659213707456671883908350718635898296223610047094015920682588684505023783822483,Homo sapiens,CPSF3L,other,HeLa,Epithelium,Cervix,1,CPSF3L
36226|DCP1A,0.000000000000000000000000000000000000003480600968559280701679989660511392454780189709632222058339251697201993572672494417515127630598193457830877729398564206781236381145781254242962958633226368626258227934790399541640987726272346161534106,Homo sapiens,DCP1A,tf,HEK293,Epithelium,Embryonic Kidney,1,DCP1A
73713|AFF1,0.0000000000000000000000000000000000000054600598910183549208871847219469772089391696294974028342609251987516122916419721189687974729541315514931110630742163341581329760082409950845126909179904334621704703546897824361413161717142485386241993,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1,AFF1
