,0,TF
UP00117|Hoxd11,7.817138893355883e-10,Hoxd11
MS00114|NFIB,8.557275577956389e-10,NFIB
MC00468|AR,1.0677736875043907e-09,AR
MS00326|MAFF,1.5937649706000673e-09,MAFF
MS00214|TBX4,2.5517888440402344e-09,TBX4
MC00368|Hsf1,3.153642431362396e-09,Hsf1
MS00282|Srebf1,4.2786630206876224e-09,Srebf1
MS00729|ZNF282,6.403281014217462e-09,ZNF282
MC00385|Ets1,7.487923140492047e-09,Ets1
MS00169|RFX5,9.69951701781564e-09,RFX5
M00220|SREBF1,1.778800990061859e-08,SREBF1
M01466|Obox3,1.9794579475012978e-08,Obox3
MC00339|NFE2L2,2.3996393380580666e-08,NFE2L2
MA0161|NFIC,2.5489356521966182e-08,NFIC
MS00463|GSC2,2.680504302166741e-08,GSC2
MS00694|RXRG,2.684155639984565e-08,RXRG
M01288|NEUROD1,2.7091026795076902e-08,NEUROD1
MS00386|FOXO6,4.9307844044295155e-08,FOXO6
M00159|CEBPA,5.077893389015223e-08,CEBPA
MS00392|Foxg1,5.234206560655123e-08,Foxg1
MS00475|HMX3,5.988273575871915e-08,HMX3
UP00048|RARA,6.976046549340727e-08,RARA
MC00193|RELA,7.487158020740157e-08,RELA
UP00095|Zfp691,7.908142574227325e-08,Zfp691
MS00756|E2F7,2.2471400236449584e-07,E2F7
UP00199|SIX4,2.467561403728449e-07,SIX4
MS00218|T,2.682419498394802e-07,T
M00155|NR2F2,5.747343769100812e-07,NR2F2
MC00370|Npas4,8.93063898087172e-07,Npas4
M00648|MAF,9.534237897358716e-07,MAF
MC00512|Esrrb,1.4223191821992908e-06,Esrrb
M01247|NANOG,3.916099297908538e-06,NANOG
MS00414|BARHL2,3.974889295569681e-06,BARHL2
MC00334|SIX5,4.475632314579424e-06,SIX5
MS00376|FOXO1,5.430305088512713e-06,FOXO1
MC00293|Gfi1b,5.840671724061571e-06,Gfi1b
MC00134|Ppara,6.152521658427388e-06,Ppara
MS00060|HSF4,7.163410440100419e-06,HSF4
M00133|POU3F1,1.0508209793872512e-05,POU3F1
MC00312|RUNX1,1.1040861505517751e-05,RUNX1
UP00043|Bcl6b,1.2245186437669196e-05,Bcl6b
MS00070|IRF7,1.4571111685248506e-05,IRF7
M00041|ATF2::JUN,1.5622929374227062e-05,ATF2::JUN
M01306|ZNF217,1.8380560372771094e-05,ZNF217
M01081|ZNF628,1.9519889311897402e-05,ZNF628
MC00163|Creb1,2.5542573972791144e-05,Creb1
MS00596|PITX3,2.583500917742018e-05,PITX3
M01112|RBPJ,2.6300199215719383e-05,RBPJ
M01364|Obox2,2.7977639894339078e-05,Obox2
UP00148|Hdx,2.8236903745462342e-05,Hdx
M01450|Obox1,2.8504620379332802e-05,Obox1
MS00296|BATF3,2.8618285507577903e-05,BATF3
MS00485|HOXA13,3.333418613964563e-05,HOXA13
MC00135|Rela,3.565990072311789e-05,Rela
MC00355|SRF,3.67665211457434e-05,SRF
M00467|ZNF423,5.3856124839630245e-05,ZNF423
MS00503|HOXC12,5.832462505727769e-05,HOXC12
M01069|GZF1,5.913219880852044e-05,GZF1
MS00812|ELF3,6.794057987640676e-05,ELF3
M01733|MZF1,8.230165634393867e-05,MZF1
UP00231|NKX2-2,8.726247116634778e-05,NKX2-2
MS00271|NEUROD2,0.00010461732243117382,NEUROD2
MS00479|ZNF784,0.00011328755388341753,ZNF784
MC00304|FOXH1,0.00011516664326727768,FOXH1
M00646|HNF1B,0.00011973415324242865,HNF1B
MS00338|NRL,0.00012202622387766542,NRL
MS00829|ESRRA,0.0001360925099555628,ESRRA
UP00125|PITX2,0.00014068086901394356,PITX2
MS00088|Meis3,0.000149970668442933,Meis3
M00141|IKZF1,0.00016394947004461124,IKZF1
MS00685|RORA,0.0001779844294610593,RORA
MA0017|NR2F1,0.00018558355608900873,NR2F1
MS00243|Ascl2,0.0002026219648532473,Ascl2
MS00380|FOXO3,0.00022643963616319847,FOXO3
MS00313|Creb5,0.00022891808734619193,Creb5
UP00190|NKX2-3,0.00023339239966096428,NKX2-3
MS00586|Otx1,0.0002569315103124621,Otx1
MS00221|TEAD3,0.00032919239159475886,TEAD3
MS00361|FOXG1,0.00032981432657038423,FOXG1
M00750|HMGA1,0.00040280124036799774,HMGA1
MS00836|HOXD12,0.00041048892370475925,HOXD12
MC00272|CEBPB,0.0005233187357429169,CEBPB
MC00111|Bcl6,0.0005419653471977631,Bcl6
MC00413|Runx1,0.0006026214331127961,Runx1
MS00708|Rxrb,0.0007365346348825566,Rxrb
MS00192|TBX15,0.0007524390483781417,TBX15
UP00019|ZBTB12,0.0007707612495265833,ZBTB12
MS00571|NKX2-8,0.0007783511219744821,NKX2-8
MS00511|HOXD13,0.0008635766290533282,HOXD13
MA0051|IRF2,0.000904470432075417,IRF2
MS00436|DPRX,0.0009309314678498785,DPRX
MS00040|SPIC,0.0009510363511548694,SPIC
MS00371|FOXK1,0.0011161080482712772,FOXK1
MC00136|Hoxb4,0.0012109459927460724,Hoxb4
UP00185|PBX1,0.0012393736574177097,PBX1
M01596|GLI3,0.0014747395690212972,GLI3
M01445|Obox6,0.0015412172482652821,Obox6
MC00305|Sox6,0.0020264269910378998,Sox6
