,0,TF
MA0103|ZEB1,0.12821997550214545,ZEB1
MC00129|Fli1,0.1285698907394117,Fli1
MC00348|STAT1,0.13387485654702055,STAT1
MC00471|Rxra,0.13401802733938267,Rxra
MS00282|Srebf1,0.13505245687623493,Srebf1
M00992|FOXP3,0.13534603321294242,FOXP3
MS00084|MEIS3,0.13837848392270038,MEIS3
MS00325|Jdp2,0.1455022825599904,Jdp2
MS00361|FOXG1,0.15047432845434758,FOXG1
MC00524|Nr1d1,0.1507142633469608,Nr1d1
MC00309|TCF7L2,0.15127974621733206,TCF7L2
MS00525|Hoxd9,0.15423737833473375,Hoxd9
M01262|TBX18,0.15470191491512358,TBX18
MC00111|Bcl6,0.1571675433064908,Bcl6
MS00834|ELF4,0.15911266073047725,ELF4
MC00364|NFYA,0.15962743696738355,NFYA
MS00573|NKX3-2,0.16216213135867263,NKX3-2
MS00011|BCL6B,0.1643839736379055,BCL6B
MS00060|HSF4,0.1656801393332429,HSF4
M00105|CUX1,0.16752626391542721,CUX1
MS00343|FOXB1,0.16795237538808078,FOXB1
M00495|BACH1,0.16809083397271124,BACH1
MS00219|TEAD1,0.1685037258680005,TEAD1
MC00512|Esrrb,0.17017328581192545,Esrrb
M01069|GZF1,0.17529089648429522,GZF1
MS00054|Tcf7,0.1875223337685956,Tcf7
MS00222|TEAD3,0.18949190638913468,TEAD3
UP00048|RARA,0.1956265849555748,RARA
MA0108|TBP,0.19758085327374703,TBP
UP00027|Osr1,0.19961799272735095,Osr1
MS00812|ELF3,0.20049713829457588,ELF3
MS00652|NR2E1,0.2129944932810175,NR2E1
MS00718|Tp53,0.2158641861743626,Tp53
MS00372|FOXL1,0.21798819826201757,FOXL1
MS00846|ERF,0.2179963548758705,ERF
MS00596|PITX3,0.21853729576371453,PITX3
MS00169|RFX5,0.22272348327179706,RFX5
MC00280|NR4A1,0.23661848946148875,NR4A1
UP00081|Mybl1,0.23950060203414753,Mybl1
MS00021|ETV6,0.251394373396136,ETV6
MS00556|GRHL1,0.25231002205198055,GRHL1
MS00388|Foxc1,0.2651463808840299,Foxc1
UP00192|SIX1,0.2659128996977573,SIX1
MS00362|FOXI1,0.2692887789623662,FOXI1
MS00641|Esrra,0.2727085107577735,Esrra
MC00456|JUND,0.27276282638797145,JUND
MS00665|NR4A2,0.2835658790201119,NR4A2
MS00829|ESRRA,0.286186142365102,ESRRA
MC00349|Jun,0.28855834442808775,Jun
M01268|NR1H4,0.2980379199215563,NR1H4
MS00070|IRF7,0.2990550511137268,IRF7
MC00191|Nfya,0.30172173349868664,Nfya
UP00212|LHX5,0.30478982696030177,LHX5
MS00780|SOX9,0.3092724294001332,SOX9
MC00204|Stat5b,0.31165409069722083,Stat5b
UP00045|MAFB,0.313508890594249,MAFB
UP00130|LHX3,0.3138249278316576,LHX3
MS00087|Meis2,0.3181972698697926,Meis2
MS00394|Foxj3,0.3257261013072652,Foxj3
MS00287|TFAP4,0.326253883758303,TFAP4
MC00506|Spi1,0.3347827767134337,Spi1
MC00180|Sfpi1,0.3347827767134337,Sfpi1
MC00368|Hsf1,0.33480632845177993,Hsf1
MS00294|ATF7,0.3389735407037153,ATF7
M00133|POU3F1,0.3443798483553749,POU3F1
MS00313|Creb5,0.34587083440428745,Creb5
MS00609|RHOXF1,0.3480898882812933,RHOXF1
