,0,TF
MC00518|Tfcp2,3.581503136491454e-13,Tfcp2
UP00197|HOXC9,0.2556015205416828,HOXC9
M01112|RBPJ,0.25583608932268986,RBPJ
MS00606|RAX,0.25709142736556484,RAX
M01004|IKZF2,0.2616821081545431,IKZF2
MC00465|NR3C1,0.26316274542608864,NR3C1
MS00708|Rxrb,0.2638094991284825,Rxrb
MC00233|Pou5f1,0.26400080423691275,Pou5f1
MS00539|LHX6,0.2643928403740233,LHX6
MS00468|ZNF75A,0.2650017384354019,ZNF75A
MS00665|NR4A2,0.2651128771395557,NR4A2
M01479|POU6F1,0.2667786153670572,POU6F1
M01075|ZBTB16,0.2712398523507309,ZBTB16
UP00043|Bcl6b,0.271873676332951,Bcl6b
MS00463|GSC2,0.2721911059992819,GSC2
MS00454|EVX1,0.2723995368903169,EVX1
MC00368|Hsf1,0.27263990694439105,Hsf1
MS00652|NR2E1,0.27281786256312285,NR2E1
MS00613|SHOX2,0.2763017198982556,SHOX2
MC00119|GATA3,0.2778957143394677,GATA3
MS00197|TBX1,0.27877743271227884,TBX1
MS00559|MSX1,0.2798716186039757,MSX1
MC00217|FOXA2,0.2826453065211621,FOXA2
MS00753|SOX18,0.28532705585831253,SOX18
MS00769|SOX7,0.28605655049372347,SOX7
MC00513|SFPI1,0.28655689351379043,SFPI1
MC00293|Gfi1b,0.290879915017096,Gfi1b
MS00220|TEAD1,0.2936292866140352,TEAD1
UP00150|IRX6,0.29380174025511807,IRX6
MS00593|PHOX2B,0.2940695919587806,PHOX2B
MS00192|TBX15,0.2944473147899026,TBX15
MS00145|POU3F4,0.2948968688858927,POU3F4
MS00425|CDX1,0.29530426091604695,CDX1
UP00138|Bsx,0.29827617247227767,Bsx
MS00616|UNCX,0.2984636327980202,UNCX
MS00614|SHOX,0.2987287170055674,SHOX
MA0130|ZNF354C,0.3005912661321751,ZNF354C
MS00144|POU3F3,0.3024536687510877,POU3F3
M00416|ALX1,0.30533384736829466,ALX1
UP00243|Isx,0.3069101376824461,Isx
MS00578|NOTO,0.3097958063273833,NOTO
MS00498|HOXC11,0.3098976748638803,HOXC11
UP00169|LMX1B,0.3201769270975012,LMX1B
MC00269|SOX2,0.3232388776861388,SOX2
MC00309|TCF7L2,0.32656132490773837,TCF7L2
MC00358|Ebf1,0.3267565581557681,Ebf1
M01306|ZNF217,0.3291905508650359,ZNF217
UP00014|Sox17,0.33029498716382755,Sox17
MS00033|SPDEF,0.3313734213815605,SPDEF
MC00505|POLR2B,0.33177282576555706,POLR2B
UP00182|HOXA6,0.3344492202933306,HOXA6
M01146|DMRT1,0.33748159465384314,DMRT1
MS00075|MEF2B,0.3385007567565648,MEF2B
MS00169|RFX5,0.34043521918603353,RFX5
MC00471|Rxra,0.34150900167306397,Rxra
MS00179|SCRT1,0.34408883366917625,SCRT1
MC00508|Batf,0.34603560598453564,Batf
MS00517|Hoxc10,0.3468003265542939,Hoxc10
M01081|ZNF628,0.350857174643788,ZNF628
MS00269|MYF6,0.3563876330681595,MYF6
UP00212|LHX5,0.3608293141034652,LHX5
MS00130|POU1F1,0.3644918176107894,POU1F1
MS00756|E2F7,0.3657044437169172,E2F7
MC00178|Nkx2-5,0.3692591355248097,Nkx2-5
MS00455|EVX2,0.370663777479158,EVX2
UP00237|Otp,0.3710324726929639,Otp
MS00531|ISX,0.3713606430780016,ISX
MS00465|GSX1,0.3744910496226096,GSX1
MC00146|Smad2/3,0.37560723759750303,Smad2/3
M01282|PPARA,0.38005746606829277,PPARA
MS00429|DLX3,0.3801250189268213,DLX3
MC00369|Myod1,0.3827241579121991,Myod1
MS00686|RORA,0.38348863681383305,RORA
M00999|AIRE,0.3854275184229793,AIRE
MS00820|NFIA,0.39472846440858056,NFIA
M01466|Obox3,0.3994362746096702,Obox3
UP00241|HOXD3,0.4040637851274306,HOXD3
MS00418|BARX1,0.4054531620805493,BARX1
MS00627|VSX2,0.405557616260842,VSX2
UP00114|Homez,0.41066946555438455,Homez
MS00249|BHLHE22,0.4159877028551816,BHLHE22
MS00700|Rarb,0.4165022359090802,Rarb
MC00226|Nanog,0.4202577784998198,Nanog
M00672|TEF,0.423585951774493,TEF
MC00276|EOMES,0.42450423137540294,EOMES
M01151|Dmrtc2,0.42457610424196324,Dmrtc2
MS00059|HSF2,0.42727117848971596,HSF2
UP00262|Lhx1,0.43117775222231103,Lhx1
MS00431|DLX5,0.43175850763109547,DLX5
UP00236|IRX2,0.4340056396414822,IRX2
MS00596|PITX3,0.4348457963832323,PITX3
MC00455|Cdx2,0.4362722187941783,Cdx2
MS00628|Vsx1,0.4450023196612234,Vsx1
MS00604|Prrx2,0.4460758178605473,Prrx2
UP00037|Zfp105,0.45094662807861796,Zfp105
UP00012|Bbx,0.4524652303552723,Bbx
UP00218|Dbx2,0.4527999765603098,Dbx2
MC00120|GATA1,0.453172578266682,GATA1
MS00316|Dbp,0.4594876142294556,Dbp
UP00185|PBX1,0.4607292868341677,PBX1
MS00502|HOXC12,0.4696467107782242,HOXC12
MS00470|HESX1,0.47119515455229866,HESX1
MS00621|VAX2,0.48044606571283344,VAX2
MS00573|NKX3-2,0.482980843834654,NKX3-2
MS00318|Hlf,0.4860806036659111,Hlf
UP00189|HOXA5,0.4869533907058474,HOXA5
UP00238|Nkx6-3,0.4895293655055474,Nkx6-3
MS00245|BHLHA15,0.4928485570791614,BHLHA15
MC00258|Pax7,0.49313666806629364,Pax7
MS00620|VAX1,0.4935248521665042,VAX1
MS00092|PKNOX2,0.49380872126987585,PKNOX2
MA0040|Foxq1,0.5049197141254773,Foxq1
UP00168|Hoxd8,0.5064102867691906,Hoxd8
M01728|NR2F6,0.5077355262172865,NR2F6
MS00615|Shox2,0.509639447863162,Shox2
MS00388|Foxc1,0.5207091168272333,Foxc1
MC00327|Gata1,0.5252245970428066,Gata1
UP00166|BARHL1,0.5308270283095948,BARHL1
MC00154|Jund,0.5316250213615172,Jund
UP00023|Sox30,0.5332992797856764,Sox30
MS00577|NKX6-2,0.5364208167878276,NKX6-2
MC00329|Srf,0.5456451160705931,Srf
MS00190|SCRT2,0.5474960703762135,SCRT2
MS00563|Meox2,0.5487495393394524,Meox2
MS00541|LHX9,0.5563494582704325,LHX9
UP00177|Hoxd12,0.5597826092988886,Hoxd12
MS00070|IRF7,0.5598678400705391,IRF7
MC00388|Tal1,0.5609650716974125,Tal1
MS00053|TCF7L1,0.5623848637220468,TCF7L1
UP00064|Sox18,0.5639196227665473,Sox18
MS00837|HOXD12,0.5698080890250241,HOXD12
MC00325|Gata2,0.5710308570718348,Gata2
MS00148|POU4F1,0.571259487791654,POU4F1
MS00152|POU5F1P1,0.5769977535118058,POU5F1P1
M00640|HOXA4,0.5778925667856603,HOXA4
MS00536|LHX2,0.5784081189837117,LHX2
MS00360|FOXG1,0.5835487979256596,FOXG1
MC00136|Hoxb4,0.5838249377760819,Hoxb4
MS00427|DLX1,0.5840298984934251,DLX1
MS00811|RARB,0.5842653413717412,RARB
MS00095|TGIF2LX,0.5906012493655591,TGIF2LX
UP00129|Pou3f1,0.5938599579171275,Pou3f1
MS00295|Atf4,0.5945750722462426,Atf4
MS00641|Esrra,0.6054339061451726,Esrra
MC00195|Myf5,0.6066561184946633,Myf5
MS00554|MEOX2,0.606825371678268,MEOX2
MS00271|NEUROD2,0.608595016062065,NEUROD2
MC00287|POU2F2,0.6091240708990007,POU2F2
MA0108|TBP,0.6095266546396263,TBP
M01399|Hlx,0.6122028179018751,Hlx
MC00514|Cbfa2t2,0.6190480253328784,Cbfa2t2
MS00324|Jdp2,0.6213745698567756,Jdp2
MS00412|ZNF410,0.6233759079549769,ZNF410
MS00394|Foxj3,0.624185828123399,Foxj3
MS00440|Dlx2,0.6274328174469186,Dlx2
MS00136|POU2F3,0.632100136847574,POU2F3
MS00287|TFAP4,0.6333484512920107,TFAP4
MS00076|MEF2D,0.6346571011161111,MEF2D
MC00122|Cebpa,0.6358529166767642,Cebpa
UP00223|Irx3,0.6373480895771375,Irx3
MC00507|Meis1,0.6375313923322214,Meis1
MS00585|OTX2,0.6382865109463974,OTX2
MS00794|Sox10,0.6416533921769971,Sox10
M00062|IRF1,0.6425777434994158,IRF1
M01300|HMGA2,0.6442002811016929,HMGA2
MC00162|LMO2,0.6460622944011465,LMO2
MC00324|Gata4,0.6465243143059073,Gata4
UP00211|Pou3f3,0.662629819486046,Pou3f3
MS00060|HSF4,0.6693789598931583,HSF4
MS00557|MNX1,0.6712298636129279,MNX1
MS00460|GBX2,0.6717578374815425,GBX2
MC00111|Bcl6,0.6784263092612625,Bcl6
UP00147|Nkx2-6,0.6824998323863127,Nkx2-6
MS00492|HOXB3,0.6842055412420311,HOXB3
MS00555|MIXL1,0.6882906120019944,MIXL1
MS00424|CART1,0.6974741168689356,CART1
M00294|Foxf1a,0.7004547087402531,Foxf1a
MS00439|Dlx1,0.702364224468212,Dlx1
UP00117|Hoxd11,0.7030597569029189,Hoxd11
MS00106|NFAT5,0.7099078165067669,NFAT5
UP00045|MAFB,0.7099249574514812,MAFB
MS00513|HOXD8,0.7145087047793566,HOXD8
MS00313|Creb5,0.7197689041155519,Creb5
UP00082|Zfp187,0.7225575782761351,Zfp187
MS00485|HOXA13,0.7227181174800471,HOXA13
MS00126|PAX7,0.7252972576755297,PAX7
MS00551|MEOX1,0.7255184725461549,MEOX1
MC00474|BCL11A,0.7321003003401845,BCL11A
UP00078|ARID3A,0.7345506281392186,ARID3A
UP00263|Hoxb8,0.7452055500586684,Hoxb8
MS00692|RXRB,0.7453374678224463,RXRB
MC00326|Gata3,0.7482592110067591,Gata3
M01694|Yy2,0.7487649213864735,Yy2
MS00045|GATA5,0.7616997733970798,GATA5
M01722|RORB,0.7666767929833335,RORB
MC00117|GATA6,0.7672694659873992,GATA6
MC00157|Tead4,0.7689129760924659,Tead4
MS00466|GSX2,0.7698205549591076,GSX2
UP00125|PITX2,0.7723497043072934,PITX2
UP00107|Nkx2-4,0.7729486871867295,Nkx2-4
UP00170|Isl2,0.7733592985193655,Isl2
MS00771|SOX8,0.7766054998536187,SOX8
MS00521|Hoxd3,0.7773936202823932,Hoxd3
MC00341|Olig2,0.7813460460797155,Olig2
MS00337|NFIL3,0.79424352728107,NFIL3
MS00588|PDX1,0.7991310077987192,PDX1
MS00467|Gbx1,0.7997517051029557,Gbx1
M01148|DMRT3,0.8006118188600879,DMRT3
UP00206|Hoxb7,0.8047009354346562,Hoxb7
MS00168|PRDM1,0.8069066541387259,PRDM1
MS00091|PKNOX1,0.8072049322751655,PKNOX1
MS00093|Pknox2,0.8122595426392818,Pknox2
MS00390|ZNF238,0.8153223203086466,ZNF238
MS00441|EMX1,0.8185991882327774,EMX1
MS00450|EN2,0.8357277040567201,EN2
MS00094|TGIF1,0.8366849840261903,TGIF1
MS00276|OLIG1,0.8377423635396767,OLIG1
UP00091|SOX5,0.8391828035786388,SOX5
MC00165|Pdx1,0.8420923760959642,Pdx1
MS00543|LMX1A,0.8449362911936881,LMX1A
MC00389|CDX2,0.8457407013671254,CDX2
UP00194|IRX4,0.846719016930602,IRX4
MS00459|GBX1,0.8517035713738251,GBX1
MS00561|MSX2,0.8578794412084975,MSX2
MS00516|Hoxa2,0.8675444629943514,Hoxa2
UP00069|Sox1,0.8713186090295606,Sox1
MS00277|OLIG2,0.8728281150630817,OLIG2
MS00458|En2,0.8734450252958471,En2
MS00469|Gbx2,0.879890644672257,Gbx2
MS00581|Nkx6-1,0.8811661010774872,Nkx6-1
MC00504|Scx,0.8815566162793176,Scx
M00526|NR6A1,0.8877632610269539,NR6A1
MS00595|PITX1,0.8879639954743099,PITX1
UP00034|Sox7,0.8922056726279891,Sox7
MS00055|HOMEZ,0.8995795298378275,HOMEZ
UP00137|Hoxb3,0.9004174660500915,Hoxb3
MS00444|EMX2,0.9016374653269049,EMX2
MS00732|CPEB1,0.9024874063611277,CPEB1
MC00354|Neurod1,0.9025238679835619,Neurod1
UP00242|HOXC8,0.9036089592663447,HOXC8
MS00564|Msx3,0.9052552596203477,Msx3
MS00491|HOXB2,0.9075087636893379,HOXB2
MS00452|ESX1,0.9080058054315746,ESX1
MS00280|OLIG3,0.9121285566849134,OLIG3
MS00149|POU4F2,0.912623052791474,POU4F2
MS00486|HOXA1,0.9130483709440886,HOXA1
MC00118|GATA2,0.9218520553581433,GATA2
MC00260|Pax3,0.9253681030988854,Pax3
UP00051|Sox8,0.9264174990387704,Sox8
MC00402|Hoxc9,0.9280316246096972,Hoxc9
MA0103|ZEB1,0.9323189142434554,ZEB1
MC00303|Sox2,0.9335020278399572,Sox2
MS00547|Lhx4,0.9380583364189417,Lhx4
MS00487|HOXA2,0.9392900326774357,HOXA2
UP00071|Sox21,0.9408078927348971,Sox21
MS00250|BHLHE23,0.9408893827686701,BHLHE23
MA0125|Nobox,0.9422329472512198,Nobox
MC00348|STAT1,0.9467327448934781,STAT1
MS00575|NKX6-1,0.9470748961793336,NKX6-1
MS00317|HLF,0.949532800531864,HLF
M01069|GZF1,0.9536306545109562,GZF1
M01150|Dmrta2,0.9537933167858977,Dmrta2
M01149|Dmrta1,0.957016679810094,Dmrta1
UP00151|BARX2,0.9602368076761016,BARX2
MS00667|ONECUT1,0.9602872756960061,ONECUT1
MC00452|STAT5B,0.9663487288020458,STAT5B
MC00272|CEBPB,0.9678298699523503,CEBPB
UP00075|Sox15,0.96810255170434,Sox15
MS00151|POU4F3,0.9688817923566152,POU4F3
MS00669|Nr2f6,0.9696226153725925,Nr2f6
MC00121|Cebpb,0.9700851016077392,Cebpb
M01262|TBX18,0.9711467260173067,TBX18
M01147|DMRT2,0.9727305595114333,DMRT2
UP00101|Sox12,0.9796992562337515,Sox12
M00041|ATF2::JUN,0.9804706032288268,ATF2::JUN
MC00347|STAT4,0.9809716766538433,STAT4
UP00004|Sox14,0.9822607728558287,Sox14
MC00453|STAT5A,0.9835826279851881,STAT5A
UP00259|HOXB6,0.9851584479128849,HOXB6
MS00300|CEBPE,0.985990046047175,CEBPE
MS00690|ONECUT3,0.9867412306075081,ONECUT3
MS00299|CEBPD,0.9913129960812289,CEBPD
MC00204|Stat5b,0.9919743266238242,Stat5b
MS00366|FOXJ2,0.9949215923769372,FOXJ2
MS00748|SOX14,0.995301989116966,SOX14
UP00055|HBP1,0.9959202042080249,HBP1
MC00205|Stat5a,0.9961925675276179,Stat5a
UP00044|Mafk,0.9977764045099419,Mafk
MS00191|TBR1,0.9980511276856656,TBR1
MS00634|CUX2,0.9996140932361088,CUX2
MS00679|ONECUT2,0.999653100781265,ONECUT2
