,0,TF
MS00405|ARX,0.057005557555406795,ARX
UP00194|IRX4,0.05732453759138879,IRX4
UP00223|Irx3,0.057496244908733174,Irx3
MS00517|Hoxc10,0.05771619008680469,Hoxc10
MC00154|Jund,0.057719482166745516,Jund
MC00227|IRF4,0.058250413534985966,IRF4
MS00766|SOX4,0.058378316185879,SOX4
MC00151|SPI1,0.06035326948767339,SPI1
UP00158|POU1F1,0.06052922446468035,POU1F1
MS00442|EMX1,0.060601785817730396,EMX1
MS00404|ALX4,0.06136670581440485,ALX4
MS00380|FOXO3,0.06250000975737713,FOXO3
MS00510|HOXD13,0.06404673828049563,HOXD13
MS00812|ELF3,0.06478002937762194,ELF3
MS00054|Tcf7,0.06683432998928514,Tcf7
M01004|IKZF2,0.06828668537713112,IKZF2
MS00092|PKNOX2,0.06873228386543419,PKNOX2
MS00591|PHOX2A,0.069681782545343,PHOX2A
M01399|Hlx,0.06995925811145481,Hlx
MC00411|BATF,0.07055024277324848,BATF
MS00514|Hoxa11,0.07220103825103372,Hoxa11
MC00524|Nr1d1,0.07254619498295257,Nr1d1
MC00358|Ebf1,0.07430461266735831,Ebf1
MC00455|Cdx2,0.07482522040792643,Cdx2
MC00122|Cebpa,0.07601416587574783,Cebpa
MC00111|Bcl6,0.07706562300417356,Bcl6
M00105|CUX1,0.07820924671294549,CUX1
MS00572|NKX3-1,0.0782436277702266,NKX3-1
MS00807|MSC,0.08008366403551971,MSC
M01435|Rhox6,0.08022997780098536,Rhox6
MS00086|Meis2,0.0811260549502778,Meis2
MS00366|FOXJ2,0.08178489583603173,FOXJ2
MS00472|HMBOX1,0.08251889394096619,HMBOX1
MS00138|POU3F1,0.08253896072480814,POU3F1
MS00219|TEAD1,0.08307052148338451,TEAD1
MS00025|FEV,0.08411329264074376,FEV
MS00093|Pknox2,0.08481313113228037,Pknox2
MC00408|Myb,0.08617877079528721,Myb
MS00141|POU3F2,0.09047217803564543,POU3F2
MC00329|Srf,0.09110438945953514,Srf
UP00169|LMX1B,0.09260672893667772,LMX1B
M01453|ALX1,0.09310919743049942,ALX1
UP00231|NKX2-2,0.09337204617238876,NKX2-2
MS00553|MEOX2,0.09344335356011887,MEOX2
MS00602|PRRX1,0.09373434899645178,PRRX1
MS00728|ZNF232,0.09374437651402227,ZNF232
MS00403|ALX3,0.09601687684881675,ALX3
MC00341|Olig2,0.09823297059610456,Olig2
UP00238|Nkx6-3,0.10065651117703679,Nkx6-3
MS00387|FOXP3,0.10098799307234403,FOXP3
MC00506|Spi1,0.10098860809739178,Spi1
MS00055|HOMEZ,0.10111906531359033,HOMEZ
MS00094|TGIF1,0.10316527832974236,TGIF1
MS00571|NKX2-8,0.10365679907378544,NKX2-8
MC00396|Nr3c1,0.10630215025545081,Nr3c1
MC00258|Pax7,0.10984449684147776,Pax7
MS00732|CPEB1,0.1100849950925339,CPEB1
MS00771|SOX8,0.11420522525713299,SOX8
MC00371|JUNB,0.11552237624796345,JUNB
MS00619|Uncx,0.11618121531028015,Uncx
UP00252|HOXC5,0.11720373150477567,HOXC5
MC00330|FOS,0.1174247313085608,FOS
UP00130|LHX3,0.1179440268537584,LHX3
M00999|AIRE,0.12171202176436641,AIRE
UP00263|Hoxb8,0.12202762082812144,Hoxb8
MC00520|MEIS1,0.12421759976003809,MEIS1
UP00091|SOX5,0.12502732366551766,SOX5
M00405|MEF2A,0.12577201589209017,MEF2A
MS00084|MEIS3,0.12598520334624325,MEIS3
MS00444|EMX2,0.12687327328272732,EMX2
M01148|DMRT3,0.12743104809222222,DMRT3
MS00836|HOXD12,0.12769419543145658,HOXD12
MC00513|SFPI1,0.1288198641900273,SFPI1
MS00134|POU2F2,0.12887374343261487,POU2F2
MC00452|STAT5B,0.13043802971457658,STAT5B
MS00412|ZNF410,0.13220400765094678,ZNF410
MS00838|ELF5,0.1369327462768593,ELF5
MS00149|POU4F2,0.1415492074454029,POU4F2
M00465|POU6F1,0.14169273683012526,POU6F1
M01069|GZF1,0.14241260298025826,GZF1
MS00148|POU4F1,0.14309101682273334,POU4F1
MS00597|PROP1,0.14378411439642466,PROP1
MC00465|NR3C1,0.14418594320368153,NR3C1
MC00303|Sox2,0.1456115689653763,Sox2
MS00593|PHOX2B,0.14628772557026765,PHOX2B
MS00088|Meis3,0.14661121309282904,Meis3
UP00213|HOXA9,0.14741372910804848,HOXA9
MC00134|Ppara,0.1478906330923894,Ppara
M00433|Hmx3,0.15103952697576506,Hmx3
MC00368|Hsf1,0.15131602837271316,Hsf1
MS00337|NFIL3,0.15195523185243875,NFIL3
MS00577|NKX6-2,0.15302045860753455,NKX6-2
M01445|Obox6,0.1543961887191485,Obox6
M01150|Dmrta2,0.15645994161897078,Dmrta2
M01694|Yy2,0.15852048950372027,Yy2
M01067|GFI1,0.16054897892768058,GFI1
MS00563|Meox2,0.1611450971538373,Meox2
MS00313|Creb5,0.1622954970449163,Creb5
MS00730|ZNF435,0.16244597673718328,ZNF435
MS00151|POU4F3,0.1626758941173221,POU4F3
M00495|BACH1,0.16289754410930515,BACH1
MS00261|ID4,0.16507785591936816,ID4
MS00476|HNF1A,0.16601856021562522,HNF1A
UP00019|ZBTB12,0.1679332531096135,ZBTB12
MS00657|NR2F1,0.16943950945594444,NR2F1
M00750|HMGA1,0.17217528368652646,HMGA1
MS00581|Nkx6-1,0.1734358405084218,Nkx6-1
UP00243|Isx,0.17377252717033226,Isx
UP00175|Lhx9,0.17437832716437066,Lhx9
MS00218|T,0.1767840876766961,T
MC00141|Stat1,0.17720730830408493,Stat1
MS00326|MAFF,0.17742786711665343,MAFF
MS00083|MEIS2,0.18026066675687447,MEIS2
MS00022|Elf5,0.18126181015081444,Elf5
MS00490|ZSCAN4,0.18145326981536528,ZSCAN4
UP00069|Sox1,0.1818461602025571,Sox1
MS00797|Sox17,0.18883015999817676,Sox17
MS00748|SOX14,0.189188321131612,SOX14
UP00078|ARID3A,0.18952992944126007,ARID3A
MS00626|VSX1,0.1901877391989432,VSX1
UP00168|Hoxd8,0.19077479519085694,Hoxd8
MS00539|LHX6,0.19163523946039093,LHX6
MC00334|SIX5,0.1929976082325823,SIX5
MS00566|NKX2-3,0.19319666720069348,NKX2-3
UP00388|SIX6,0.1966689462808059,SIX6
MS00557|MNX1,0.19681317893018374,MNX1
UP00391|HOXA3,0.199993964014514,HOXA3
MS00424|CART1,0.2001955283193283,CART1
MS00425|CDX1,0.20054018195730602,CDX1
M01483|Dbx1,0.20208580047847027,Dbx1
MS00072|IRF8,0.2024365320940952,IRF8
