Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
VDR,M00444;2.65E-01,M00961;4.33E-01,MC00412;6.01E-01,,
IKZF2,M01004;2.67E-01,,,,
SP2,M01783;2.68E-01,,,,
DLX6,MS00432;2.70E-01,,,,
HIF1A,MC00316;2.71E-01,,,,
EGR3,MS00567;2.72E-01,,,,
HINFP1,MS00079;2.72E-01,MS00090;2.76E-01,,,
DBP,MS00315;2.73E-01,M00624;8.46E-01,,,
Zscan10,M01742;2.73E-01,,,,
JDP2,MS00319;2.73E-01,MS00320;7.74E-01,,,
NR2F6,M01728;2.75E-01,MS00658;2.87E-01,,,
Obox5,M01480;2.78E-01,,,,
Rarb,MS00700;2.79E-01,,,,
Vsx1,MS00628;2.79E-01,,,,
Rfx2,MS00171;2.80E-01,MS00170;9.83E-01,,,
HOXB9,UP00207;2.81E-01,,,,
RFX2,MS00162;2.82E-01,MS00161;9.99E-01,,,
PRRX2,MS00603;2.82E-01,,,,
ONECUT2,MS00679;2.82E-01,,,,
HNF4A,MC00432;2.89E-01,UP00066;3.82E-01,,,
POLR2B,MC00505;2.90E-01,,,,
ETS1,MC00278;2.90E-01,MS00851;9.50E-01,,,
TEAD2,M00695;2.91E-01,,,,
CDX1,MS00425;2.91E-01,,,,
Ctcf,MC00187;2.93E-01,,,,
ZEB1,MA0103;2.97E-01,,,,
SRY,MS00788;2.98E-01,MS00787;4.84E-01,MA0084;6.39E-01,,
ZFP42,M01744;3.00E-01,,,,
Mxi1,MC00373;3.01E-01,,,,
PBX1,UP00185;3.02E-01,,,,
PKNOX1,MS00091;3.02E-01,,,,
Gfi1b,MC00293;3.03E-01,,,,
HEY1,MS00258;3.04E-01,,,,
FOXC1,MS00351;3.04E-01,MS00349;5.99E-01,MS00350;7.67E-01,,
Snai1,MC00183;3.04E-01,,,,
PLAGL1,UP00088;3.06E-01,,,,
Mycn,MC00532;3.08E-01,,,,
CTCF,MC00128;3.08E-01,,,,
Hoxd13,MS00520;3.11E-01,MS00519;3.28E-01,,,
GLIS2,MS00035;3.12E-01,,,,
Jdp2,MS00324;3.12E-01,MS00325;5.42E-01,,,
TP63,MC00439;3.13E-01,,,,
HEY2,MS00260;3.13E-01,,,,
RHOXF1,MS00609;3.14E-01,,,,
Gmeb1,UP00084;3.16E-01,,,,
Pax3,MC00260;3.17E-01,,,,
GSC2,MS00463;3.20E-01,,,,
POU6F1,M01479;3.21E-01,M00465;4.81E-01,,,
RXRA,MC00467;3.21E-01,,,,
UBP1,M00644;3.23E-01,,,,
Rxrg,MC00511;3.24E-01,,,,
TFAP2C,MC00374;3.26E-01,,,,
Runx1,MC00413;3.27E-01,,,,
Shox2,MS00615;3.28E-01,,,,
SREBF2,M01177;3.29E-01,MS00281;6.74E-01,,,
HOXC5,UP00252;3.30E-01,,,,
WT1,M01118;3.30E-01,,,,
HOXA13,MS00485;3.31E-01,MS00484;4.97E-01,,,
TBX22,M01195;3.31E-01,,,,
DLX5,MS00431;3.32E-01,,,,
Hoxc9,MC00402;3.33E-01,,,,
NEUROG2,MS00272;3.33E-01,,,,
RAXL1,MS00605;3.36E-01,,,,
E2F3,UP00003;3.38E-01,MS00734;6.98E-01,,,
Max,MC00461;3.40E-01,,,,
Sfpi1,MC00395;3.41E-01,MC00180;3.41E-01,UP00085;9.06E-01,,
Spi1,MC00506;3.41E-01,,,,
HLF,MS00317;3.43E-01,,,,
SOX10,MS00744;3.44E-01,MA0442;3.87E-01,MS00740;6.43E-01,,
NR2F1,MS00657;3.46E-01,MA0017;4.93E-01,,,
PAX4,M00378;3.48E-01,M00373;5.95E-01,MS00121;7.96E-01,,
Creb5,MS00313;3.48E-01,,,,
RARB,MS00811;3.48E-01,,,,
DLX3,MS00429;3.49E-01,,,,
HES5,MS00255;3.50E-01,,,,
BPTF,M00456;3.52E-01,,,,
PITX1,MS00595;3.52E-01,,,,
TP53,MC00359;3.52E-01,,,,
ESRRG,MS00638;3.53E-01,,,,
Zbtb3,UP00031;3.55E-01,,,,
PAX7,MS00126;3.57E-01,,,,
E2f4,MC00158;3.57E-01,,,,
SOX15,MS00750;3.58E-01,,,,
BARHL1,UP00166;3.62E-01,,,,
KLF12,M00468;3.63E-01,,,,
Rfx1,MC00144;3.64E-01,,,,
SOX7,MS00769;3.66E-01,MS00770;8.06E-01,,,
DMRT1,M01146;3.66E-01,,,,
MYC,MC00394;3.66E-01,,,,
NEUROD2,MS00271;3.68E-01,,,,
NR1H3,M00647;3.70E-01,,,,
MEF2A,MC00232;3.72E-01,M00405;4.73E-01,,,
Dlx1,MS00439;3.72E-01,,,,
HOXC12,MS00503;3.74E-01,MS00502;6.23E-01,,,
MEOX2,MS00552;3.75E-01,MS00554;6.32E-01,MS00553;8.97E-01,,
Nr2e1,MS00668;3.75E-01,,,,
HINFP,MA0131;3.76E-01,,,,
NR2E3,M01650;3.76E-01,MA0164;4.93E-01,,,
BHLHA15,MS00245;3.77E-01,,,,
