,0,TF
MC00461|Max,0.3682169404041582,Max
MC00506|Spi1,0.36905616511877776,Spi1
MC00395|Sfpi1,0.36905616511877776,Sfpi1
MA0101|REL,0.36995625540167637,REL
MS00744|SOX10,0.37163621460297513,SOX10
MS00317|HLF,0.3720809370025851,HLF
UP00166|BARHL1,0.37282658344010483,BARHL1
MS00657|NR2F1,0.3735352683013613,NR2F1
M00378|PAX4,0.3764640320608473,PAX4
MS00811|RARB,0.37714724420782514,RARB
MS00313|Creb5,0.37734545745646314,Creb5
MS00429|DLX3,0.3790126436010079,DLX3
MC00359|TP53,0.37967048696027633,TP53
MS00255|HES5,0.381640637421383,HES5
M00456|BPTF,0.38239306386569094,BPTF
MS00595|PITX1,0.3837064359684433,PITX1
UP00243|Isx,0.3849783108803771,Isx
MS00092|PKNOX2,0.3857451029866567,PKNOX2
MS00638|ESRRG,0.3858411610512578,ESRRG
UP00031|Zbtb3,0.38760505565319964,Zbtb3
MC00158|E2f4,0.38947641555432083,E2f4
MS00148|POU4F1,0.3897345421617014,POU4F1
MS00524|Hoxd9,0.38988073128279044,Hoxd9
MS00126|PAX7,0.3900288522310605,PAX7
MS00124|KLF13,0.3903296159908425,KLF13
MS00750|SOX15,0.3918869913016162,SOX15
M00468|KLF12,0.39663022489192845,KLF12
MC00144|Rfx1,0.4003112991694876,Rfx1
MS00596|PITX3,0.4024542864266153,PITX3
MS00769|SOX7,0.40291272560394814,SOX7
M01146|DMRT1,0.4029515957366392,DMRT1
MC00394|MYC,0.4034171706563976,MYC
UP00197|HOXC9,0.4056118680957098,HOXC9
MS00271|NEUROD2,0.4056444915920512,NEUROD2
MS00552|MEOX2,0.40599290261899723,MEOX2
MC00344|Hnf4a,0.4078671447894304,Hnf4a
M00647|NR1H3,0.40800546545830874,NR1H3
MS00138|POU3F1,0.4092213753221645,POU3F1
MC00232|MEF2A,0.41202263067603884,MEF2A
MS00439|Dlx1,0.4121894628395769,Dlx1
MA0125|Nobox,0.41226318177496857,Nobox
MS00668|Nr2e1,0.41352380993070303,Nr2e1
MS00503|HOXC12,0.4139378595466384,HOXC12
MS00390|ZNF238,0.4162457399116988,ZNF238
MS00245|BHLHA15,0.41760105345108745,BHLHA15
MA0131|HINFP,0.4181980520366497,HINFP
M01650|NR2E3,0.4183100301956856,NR2E3
MC00193|RELA,0.41855449693537417,RELA
MC00501|FOXP1,0.4206095041920467,FOXP1
MC00339|NFE2L2,0.42099406677495055,NFE2L2
UP00259|HOXB6,0.42180140078401074,HOXB6
MS00521|Hoxd3,0.4232772748711493,Hoxd3
M01104|Ovol2,0.4236278936892365,Ovol2
MS00517|Hoxc10,0.4259364717393559,Hoxc10
MS00694|RXRG,0.4337557047822974,RXRG
MC00418|ZBTB33,0.4337746140909087,ZBTB33
MS00048|GCM1,0.4343882009950887,GCM1
MC00448|Nr1h2,0.43591611653793894,Nr1h2
MS00566|NKX2-3,0.43602847135180467,NKX2-3
MA0031|FOXD1,0.4369453754609056,FOXD1
MS00458|En2,0.439811274283463,En2
MS00083|MEIS2,0.44108075245127776,MEIS2
UP00045|MAFB,0.4414597800108715,MAFB
MS00472|HMBOX1,0.4460298496323184,HMBOX1
MS00094|TGIF1,0.45032044405182936,TGIF1
MS00288|TFE3,0.45076699742914383,TFE3
MS00381|FOXO4,0.4511984228148693,FOXO4
MS00624|VENTX,0.4513367017203067,VENTX
MC00217|FOXA2,0.4524130808880261,FOXA2
MS00440|Dlx2,0.45256387081983884,Dlx2
MC00250|Nkx3-1,0.45576986276359976,Nkx3-1
MC00151|SPI1,0.45669049550151586,SPI1
M00694|E4F1,0.4577635168243067,E4F1
MC00170|PGR,0.45853592436625723,PGR
MC00332|PAX5,0.45913679549193953,PAX5
MC00165|Pdx1,0.4620286341049532,Pdx1
MS00721|GMEB2,0.46641272302045766,GMEB2
MS00201|SNAI2,0.46680839558110054,SNAI2
MS00589|PDX1,0.4673492400016266,PDX1
MS00073|IRF9,0.4675920226517879,IRF9
M01295|ATF5,0.4678351753223262,ATF5
MC00524|Nr1d1,0.4679404582250364,Nr1d1
UP00151|BARX2,0.4695216600062121,BARX2
MS00516|Hoxa2,0.46981117659512317,Hoxa2
UP00041|Foxj1,0.4709065347331707,Foxj1
M01009|HES1,0.47282564568674157,HES1
MC00160|ETV3,0.47411135516752134,ETV3
M00736|E2F1::TFDP1,0.474390814151066,E2F1::TFDP1
UP00024|Glis2,0.4757242761223889,Glis2
MS00149|POU4F2,0.4757368435748356,POU4F2
MA0108|TBP,0.4843835926439437,TBP
MS00532|Irx3,0.48736178893974347,Irx3
MS00256|HES7,0.48957397569431027,HES7
MS00076|MEF2D,0.49043114853617487,MEF2D
MS00651|NR2C2,0.49079396840593126,NR2C2
UP00112|Gsc,0.4912574643595533,Gsc
MC00427|ETV1,0.49140542117573105,ETV1
MC00125|Rest,0.4923321359668261,Rest
MS00054|Tcf7,0.49477774351033244,Tcf7
UP00181|BARX1,0.495568167459397,BARX1
MS00762|SOX2,0.4972741936511036,SOX2
MC00163|Creb1,0.5059085739574206,Creb1
UP00195|SIX3,0.5068092851596,SIX3
MC00257|Pax5,0.5069760010860449,Pax5
MS00254|FIGLA,0.5096327130837861,FIGLA
MS00277|OLIG2,0.5109924276990107,OLIG2
MC00132|TP73,0.511693679399974,TP73
MS00141|POU3F2,0.5117929950354875,POU3F2
MS00533|LBX2,0.514058010675776,LBX2
MS00487|HOXA2,0.5147476241957213,HOXA2
MC00407|Myc,0.51705725626529,Myc
M01229|GTF2IRD1,0.5171216908192127,GTF2IRD1
M00062|IRF1,0.5207702580977761,IRF1
MC00182|E2F1,0.5208372987521892,E2F1
MC00396|Nr3c1,0.521079880953718,Nr3c1
MC00411|BATF,0.5211379341009975,BATF
MC00299|BRCA1,0.5217014527578532,BRCA1
UP00009|Nr2f2,0.5230702572111705,Nr2f2
UP00105|POU3F4,0.5249821127092522,POU3F4
MS00359|FOXD3,0.5274215063633512,FOXD3
UP00242|HOXC8,0.5303532394858818,HOXC8
M01150|Dmrta2,0.5391552186787456,Dmrta2
MS00479|ZNF784,0.5392342837566668,ZNF784
UP00087|Tcfap2c,0.5404167259964476,Tcfap2c
M00809|FOXH1,0.5406670494878043,FOXH1
MS00093|Pknox2,0.5412055480793294,Pknox2
MS00559|MSX1,0.5414774560170161,MSX1
UP00260|Hoxc6,0.5435647216935491,Hoxc6
MS00492|HOXB3,0.5437872272824978,HOXB3
M00640|HOXA4,0.5439970589793777,HOXA4
MS00041|Spic,0.5459374110090247,Spic
M00717|PAX8,0.5460475900428746,PAX8
MS00785|SOX9,0.550313262212135,SOX9
UP00388|SIX6,0.5526664753259922,SIX6
MS00531|ISX,0.5530530345948567,ISX
UP00001|E2F2,0.5532386835848921,E2F2
MS00401|ZNF306,0.5571094444170498,ZNF306
MC00262|ARNT,0.5589271111354811,ARNT
UP00038|Spdef,0.5591270139784283,Spdef
M00139|AHR,0.5596265834109798,AHR
MS00739|E2F8,0.5596952714845038,E2F8
MC00104|Foxa1,0.5597197497708344,Foxa1
UP00121|Hoxd10,0.559928826669936,Hoxd10
MS00846|ERF,0.5608754213742178,ERF
MS00276|OLIG1,0.5611557449290387,OLIG1
MS00455|EVX2,0.5672936664972033,EVX2
M00621|CEBPD,0.5685553326953179,CEBPD
MS00061|HSFY2,0.5690887140767005,HSFY2
MC00342|YY1,0.569833992542367,YY1
MS00486|HOXA1,0.5703817593829716,HOXA1
UP00019|ZBTB12,0.5722938192659066,ZBTB12
MS00208|TBX21,0.5733539294451324,TBX21
MC00328|Zfx,0.5771971710780873,Zfx
MC00120|GATA1,0.5821079874100965,GATA1
MS00072|IRF8,0.5844954281963031,IRF8
MS00372|FOXL1,0.585938885028622,FOXL1
UP00094|Zfp128,0.5905805261992869,Zfp128
MC00141|Stat1,0.5925360022634906,Stat1
MC00117|GATA6,0.5938828352379746,GATA6
MS00131|POU2F1,0.5942192972586848,POU2F1
UP00028|Tcfap2e,0.596122332209392,Tcfap2e
MC00178|Nkx2-5,0.599406599805756,Nkx2-5
MS00427|DLX1,0.6026041583338462,DLX1
MS00088|Meis3,0.6065085141867574,Meis3
UP00261|LHX4,0.6073037210254847,LHX4
M01207|ETS2,0.6100689970237441,ETS2
MC00287|POU2F2,0.6124438393537286,POU2F2
MS00469|Gbx2,0.6133510008203263,Gbx2
MS00118|PAX2,0.6148561683934324,PAX2
MS00202|TBX20,0.615312239863806,TBX20
MS00291|Tcf21,0.6180262269928607,Tcf21
MS00097|MYBL1,0.6186988985942318,MYBL1
MS00354|FOXC2,0.622554944686846,FOXC2
MC00362|Arntl,0.6238016559402155,Arntl
MC00272|CEBPB,0.6243373691254543,CEBPB
MS00493|HOXB5,0.6246008043220347,HOXB5
MS00652|NR2E1,0.625649949388034,NR2E1
MS00709|THRA,0.6282441409443733,THRA
MS00019|ETV5,0.6316536398779349,ETV5
MC00335|ESR1,0.6318693438858088,ESR1
MS00040|SPIC,0.6328687416287169,SPIC
MC00348|STAT1,0.6359790654706866,STAT1
MC00295|Esr1,0.6367197025424408,Esr1
MS00111|NFKB2,0.6378118749358846,NFKB2
M01123|NANOG,0.6384519101774282,NANOG
MS00021|ETV6,0.6395229772030762,ETV6
MS00459|GBX1,0.6404028527370496,GBX1
UP00043|Bcl6b,0.641131335554613,Bcl6b
MC00416|Rbfox2,0.6416287271380643,Rbfox2
MS00614|SHOX,0.6426708011447677,SHOX
MS00613|SHOX2,0.6444341407753236,SHOX2
M00332|FOXN1,0.6488171785423544,FOXN1
UP00139|Nkx1-2,0.6489160931312448,Nkx1-2
MC00221|Tbx3,0.6491913184987879,Tbx3
M00518|PPARG::RXRA,0.6502227507603717,PPARG::RXRA
MS00627|VSX2,0.6527417515944869,VSX2
MS00023|Elk3,0.6531663358804057,Elk3
UP00129|Pou3f1,0.6535047212666962,Pou3f1
MS00065|IRF4,0.653590901727416,IRF4
MS00160|PROX1,0.6558872629830357,PROX1
MC00203|RFX3,0.6561541229254322,RFX3
M00420|MEIS1::HOXA9,0.6603121695880859,MEIS1::HOXA9
MS00575|NKX6-1,0.6639081290160896,NKX6-1
MS00362|FOXI1,0.6643410112361672,FOXI1
MS00177|RUNX3,0.6644448020418269,RUNX3
MC00248|USF1,0.6653287381928736,USF1
MS00085|MEIS3,0.6661125035748021,MEIS3
MS00128|PAX9,0.6683394171277599,PAX9
MS00387|FOXP3,0.6690211100578465,FOXP3
MS00016|ETV2,0.6693421303765104,ETV2
UP00145|BARHL2,0.6705023225675244,BARHL2
MS00136|POU2F3,0.6706869873447809,POU2F3
MS00848|ERG,0.6730823162269897,ERG
UP00250|IRX5,0.6739130640893712,IRX5
MS00491|HOXB2,0.677597291137085,HOXB2
MS00075|MEF2B,0.6794582974806715,MEF2B
UP00155|Hmx2,0.6815484145015289,Hmx2
MS00342|XBP1,0.6855265231175607,XBP1
MS00665|NR4A2,0.6868622921599472,NR4A2
MC00204|Stat5b,0.68704027144185,Stat5b
MS00442|EMX1,0.689351090977783,EMX1
MS00604|Prrx2,0.6898386911004251,Prrx2
M01399|Hlx,0.6909095858340423,Hlx
UP00189|HOXA5,0.691733486438384,HOXA5
M00341|GABPB1,0.6919410716156329,GABPB1
MS00356|FOXD2,0.692038825597181,FOXD2
MS00051|LEF1,0.6932503490032198,LEF1
MS00541|LHX9,0.6936460258960018,LHX9
MC00389|CDX2,0.6953477036553313,CDX2
MS00537|LHX2,0.6955015727669152,LHX2
UP00218|Dbx2,0.7019630580044541,Dbx2
MC00333|ESR2,0.702747530524588,ESR2
M00241|NKX2-5,0.7069282681599462,NKX2-5
M01147|DMRT2,0.7085639501296088,DMRT2
MC00352|Nr5a2,0.7103226590154696,Nr5a2
UP00117|Hoxd11,0.7105444471790259,Hoxd11
M00115|CNTN2::CREB1,0.7110641127930035,CNTN2::CREB1
MC00122|Cebpa,0.7123795733823712,Cebpa
MS00838|ELF5,0.712843605106544,ELF5
UP00193|Rhox11,0.7153086313944661,Rhox11
MS00753|SOX18,0.7165352735468121,SOX18
MC00121|Cebpb,0.717191148981838,Cebpb
MS00191|TBR1,0.7204851198837124,TBR1
MS00436|DPRX,0.7208874151821669,DPRX
MC00205|Stat5a,0.722181749767342,Stat5a
M01248|NR0B1,0.7247703389843467,NR0B1
MS00402|ALX3,0.7263702752378215,ALX3
M00294|Foxf1a,0.7269229663049217,Foxf1a
M00483|ATF6,0.7272046349523947,ATF6
MC00303|Sox2,0.7320028753460684,Sox2
MC00233|Pou5f1,0.7339367531373855,Pou5f1
M01722|RORB,0.7340615371265586,RORB
MS00465|GSX1,0.7341196859048343,GSX1
