Gene,Protein,category_PDL_Time18,category_PDL_Time25,category_PDL_Time32,category_PDL_Time33,category_PDL_Time37,category_PDL_Time46,category_PDL_Time50,category_PDLPval_Time,category_PDLlocalFDR_Time,category_PDLPval_Category,category_PDLlocalFDR_Category,category_hTERT_Time18,category_hTERT_Time25,category_hTERT_Time32,category_hTERT_Time33,category_hTERT_Time37,category_hTERT_Time46,category_hTERT_Time50,category_hTERTPval_Time,category_hTERTlocalFDR_Time,category_hTERTPval_Category,category_hTERTlocalFDR_Category
C6orf136,sp|Q5SQH8-4|CF136-HUMAN,-0.389825,-0.233117,-0.0764093,-0.0540225,0.0355247,0.237006,0.326553,0.0446873463441956,0.0668823276480811,0.275246570744649,0.312490597000297,-0.169454,-0.186403,-0.203353,-0.205774,-0.215459,,,0.845326538247535,0.951159976715133,,
ATAT1,sp|Q5SQI0|ATAT-HUMAN,-0.138822,-0.0978238,-0.0568258,-0.0509689,-0.0275414,0.0251704,0.0485978,0.303556227287037,0.366709284922543,0.0192913640755045,0.0269973695766015,,-0.0717893,0.0714762,0.0919427,0.173809,0.358007,0.439873,0.00751084832582852,0.0841240478644233,,
SNAP47,sp|Q5SQN1|SNP47-HUMAN,-0.109028,-0.0791109,-0.0491938,-0.0449199,-0.0278244,0.0106404,0.0277359,0.211811401949546,0.267147166923371,0.00482750365209629,0.00746107213175313,0.0278808,0.0728794,0.117878,0.124306,0.15002,0.207875,0.233589,0.0453761473148555,0.23570941392706,,
MFSD14B,sp|Q5SR56|MF14B-HUMAN,0.244321,0.105255,-0.0338118,-0.0536784,-0.133145,-0.311944,-0.391411,0.000170210279086592,0.000427542626929302,0.0000405205743342016,0.0000855991330895013,0.591374,0.458865,0.326356,0.307426,0.231706,0.0613379,-0.0143815,0.000106047059352369,0.00511968551983349,,
TIMM23B,sp|Q5SRD1|TI23B-HUMAN,0.107887,0.11659,0.125292,0.126535,0.131508,0.142697,0.14767,0.742796490381195,0.784124377539209,0.177845064501705,0.209784408343225,0.301917,0.26309,0.224263,0.218716,0.19653,0.14661,0.124423,0.150780456109409,0.445377667136787,,
NUP188,sp|Q5SRE5|NU188-HUMAN,0.236207,0.0850513,-0.0661042,-0.0876979,-0.174072,-0.368415,-0.45479,0.000000000672972429398822,0.00000000716567987469577,0.0000000237585393388607,0.000000082515062615305,0.258854,0.208621,0.158389,0.151212,0.122508,0.057923,0.0292186,0.0087734115858018,0.0923400378413071,,
PHYHD1,sp|Q5SRE7|PHYD1-HUMAN,-0.258594,-0.0100681,0.238458,0.273962,0.415977,0.735511,0.877526,0.0000000135121010403986,0.0000000901556321950183,0.0000000000538986977063765,0.000000000321891121470529,-0.307645,-0.304682,-0.301719,-0.301295,-0.299602,-0.295792,-0.294099,0.930970213764397,0.979193694258316,,
TTC39A,sp|Q5SRH9|TT39A-HUMAN,-0.242993,-0.194326,-0.145658,-0.138706,-0.110896,-0.0483232,-0.0205132,0.371195785522808,0.437082918951068,0.118302864464534,0.143838437925563,,,,,0.400755,0.0986963,-0.0355519,0.159784565114258,0.459045562798286,,
DYNC1LI2,sp|O43237|DC1L2-HUMAN,-0.218539,-0.0349359,0.148667,0.174896,0.279812,0.515872,0.620788,0.000000000126312918977165,0.00000000177826525791856,0.000000000210629912765688,0.00000000109916153118982,-0.209518,-0.177626,-0.145735,-0.141179,-0.122955,-0.0819519,-0.0637282,0.128973058591604,0.409243142901989,,
MANEA,sp|Q5SRI9|MANEA-HUMAN,0.0947821,-0.0741519,-0.243086,-0.267219,-0.363753,-0.580954,-0.677488,0.0000823197319236996,0.000221109888746995,0.00103391221042714,0.00176648221092248,0.0577873,0.0501329,0.0424785,0.041385,0.0370111,0.0271697,0.0227958,0.873157658783933,0.960389302976525,,
HP1BP3,sp|Q5SSJ5|HP1B3-HUMAN,0.146442,0.0841695,0.0218966,0.0130004,-0.0225841,-0.102649,-0.138234,0.00124345068125551,0.00263219897425552,0.00000010693411808402,0.000000333459419294133,0.213129,0.229124,0.245119,0.247404,0.256544,0.277109,0.286249,0.37523510483726,0.692123155187248,,
VARS2,sp|Q5ST30-4|SYVM-HUMAN,0.055885,0.0331822,0.0104795,0.00723627,-0.00573671,-0.0349259,-0.0478989,0.212009310456743,0.267287100317423,0.0221239670892532,0.0305625618771542,0.143554,0.140654,0.137755,0.13734,0.135683,0.131955,0.130298,0.901654972728363,0.970259808218892,,
ZBTB41,sp|Q5SVQ8|ZBT41-HUMAN,0.0653731,-0.158281,-0.381936,-0.413886,-0.541689,-0.829244,-0.957047,0.000000114471702043826,0.000000592336455974255,0.000000000000179786712203263,0.00000000000214187761398745,0.244008,0.285584,0.327159,0.333099,0.356856,0.41031,0.434067,0.227919310608381,0.550024591237865,,
SLC25A30,sp|Q5SVS4|KMCP1-HUMAN,,0.177843,0.140441,0.135097,,,,0.876677193269094,0.899503772018951,0.794551711959047,0.811357844515435,,0.0096543,0.0340612,0.0375479,0.0514948,0.0828751,0.0968219,0.722279523680116,0.903590344192134,,
ZMYM1,sp|Q5SVZ6|ZMYM1-HUMAN,0.13366,0.0020526,-0.129555,-0.148356,-0.22356,-0.392769,-0.467973,0.0169295654804563,0.0280516663603392,0.0250888696214904,0.0343699995215812,0.0506261,0.0900628,0.1295,0.135133,0.157669,0.208373,0.230908,0.564332993982634,0.825986434526011,,
CEP170,sp|Q5SW79|CE170-HUMAN,0.370946,0.253204,0.135461,0.118641,0.0513594,-0.100024,-0.167305,0.000000644334776893574,0.00000272792055910728,0.000316601346610924,0.000587518820104514,0.0192706,0.010569,0.00186732,0.000624221,-0.00434816,-0.015536,-0.0205084,0.658504691081367,0.873797020575526,,
LDLRAP1,sp|Q5SW96|ARH-HUMAN,-0.586451,-0.256538,0.0733755,0.120506,0.309028,0.733202,0.921724,0.00000000000135263771382026,0.0000000000494902599627696,0.0000000544849182799857,0.000000178031690807849,-0.418944,-0.347565,-0.276185,-0.265988,-0.2252,-0.133426,-0.0926381,0.04700416855214,0.240391258025115,,
ODR4,sp|Q5SWX8|ODR4-HUMAN,-0.20039,-0.129114,-0.0578372,-0.0476549,-0.00692539,0.0847159,0.125445,0.00256429278102219,0.00506107528548922,0.0193914867656515,0.0271169092305236,0.0342336,0.0580932,0.0819528,0.0853613,0.0989954,0.129672,0.143306,0.286502957795558,0.613283360306899,,
SNAPC4,sp|Q5SXM2|SNPC4-HUMAN,0.227457,0.139941,0.0524251,0.0399228,-0.0100863,-0.122607,-0.172616,0.00510815895898527,0.00947733073658012,0.000106979971413148,0.000211778084242301,,,,,0.431443,0.600401,0.675494,0.0682853831553088,0.295240760615437,,
PSMD3,sp|O43242|PSMD3-HUMAN,0.149735,0.162628,0.175521,0.177363,0.18473,0.201306,0.208674,0.359475977900984,0.425128638223031,0.00000000297848067310752,0.0000000121848137918032,-0.00771346,-0.0338507,-0.0599879,-0.0637218,-0.0786573,-0.112262,-0.127198,0.0693275985466375,0.297264894424442,,
DNLZ,sp|Q5SXM8|DNLZ-HUMAN,0.00858205,0.000429724,-0.0077226,-0.00888722,-0.0135457,-0.0240272,-0.0286857,0.908587279858931,0.925141707992403,0.541906357283188,0.574820950248277,0.232421,0.200515,0.168609,0.164051,0.14582,0.104798,0.0865661,0.655088515572744,0.872640851355769,,
