,0,TF
UP00034|Sox7,0.003107991142421766,Sox7
UP00009|Nr2f2,0.003233775107651209,Nr2f2
MS00267|MNT,0.003233968078942307,MNT
MS00710|THRB,0.003306096655161442,THRB
M00420|MEIS1::HOXA9,0.0033878870808317298,MEIS1::HOXA9
UP00231|NKX2-2,0.003452413799242143,NKX2-2
MS00588|PDX1,0.003557381423612958,PDX1
MS00072|IRF8,0.0035613689475972577,IRF8
MS00709|THRA,0.003608318581908939,THRA
MC00170|PGR,0.003682357245711222,PGR
MS00299|CEBPD,0.0037809738288582737,CEBPD
MS00748|SOX14,0.003895874046329782,SOX14
MA0161|NFIC,0.00395891466688966,NFIC
MA0365|RFX1,0.004060451008467307,RFX1
MS00265|MLXIPL,0.0042160960321397664,MLXIPL
MS00449|EN1,0.004283365224623656,EN1
M01596|GLI3,0.004441222902381996,GLI3
M01207|ETS2,0.004504591992613629,ETS2
MS00398|Foxk1,0.004565956902922657,Foxk1
UP00041|Foxj1,0.004644314448421167,Foxj1
M01445|Obox6,0.004681719870730201,Obox6
UP00192|SIX1,0.00493804309992121,SIX1
UP00147|Nkx2-6,0.004982934027287158,Nkx2-6
MS00732|CPEB1,0.005020324786679796,CPEB1
MS00055|HOMEZ,0.005117708359777962,HOMEZ
M01435|Rhox6,0.0053424315101860305,Rhox6
MS00140|POU3F2,0.005358673565131717,POU3F2
MC00506|Spi1,0.00549200970110377,Spi1
UP00213|HOXA9,0.0055139794374466375,HOXA9
MC00505|POLR2B,0.005532924311116008,POLR2B
M01149|Dmrta1,0.005867773531849115,Dmrta1
MC00508|Batf,0.0058689078680680224,Batf
UP00045|MAFB,0.006208920931409911,MAFB
MS00785|SOX9,0.006262278969821291,SOX9
MS00144|POU3F3,0.00636682203208393,POU3F3
MS00837|HOXD12,0.006498514485414186,HOXD12
MS00533|LBX2,0.006501941338087739,LBX2
MC00413|Runx1,0.006518553296111102,Runx1
MS00070|IRF7,0.006567010562209568,IRF7
MA0084|SRY,0.006641021138758782,SRY
MS00532|Irx3,0.0067107814339672665,Irx3
MS00217|TBX5,0.006730567174784129,TBX5
UP00211|Pou3f3,0.006780633490932628,Pou3f3
M01694|Yy2,0.00707411037934235,Yy2
MS00171|Rfx2,0.007091118575728466,Rfx2
MS00556|GRHL1,0.007100903967992619,GRHL1
UP00075|Sox15,0.007125629072270285,Sox15
MS00759|SOX21,0.00717513703435967,SOX21
MC00458|TAL1,0.007277118163120138,TAL1
UP00248|Pax7,0.007374824240865133,Pax7
MS00011|BCL6B,0.007495883957809955,BCL6B
MS00463|GSC2,0.007579678675771654,GSC2
MS00041|Spic,0.007913375662719008,Spic
UP00207|HOXB9,0.007946163272534406,HOXB9
MS00820|NFIA,0.008332441881955425,NFIA
M01151|Dmrtc2,0.008463055380731261,Dmrtc2
