,0,TF
MS00146|KLF16,5.99129242524037e-05,KLF16
M00491|PATZ1,6.0783695622926385e-05,PATZ1
MS00289|TFEB,6.147582185110292e-05,TFEB
MS00380|FOXO3,6.800952525968352e-05,FOXO3
UP00000|SMAD3,7.416518133373875e-05,SMAD3
MS00218|T,7.497138567361727e-05,T
MC00465|NR3C1,7.938908541073203e-05,NR3C1
MA0116|Zfp423,8.014281194350435e-05,Zfp423
MS00290|ZBED1,8.144276681475438e-05,ZBED1
MS00376|FOXO1,8.158286755481697e-05,FOXO1
M01105|ZNF350,8.426291355103786e-05,ZNF350
M00141|IKZF1,8.554769943126602e-05,IKZF1
MC00157|Tead4,8.977332711303719e-05,Tead4
MS00638|ESRRG,0.00010034524751618461,ESRRG
MA0155|INSM1,0.00010041493874875759,INSM1
MC00183|Snai1,0.00010104788988217664,Snai1
MC00135|Rela,0.00010183536032280058,Rela
MS00157|Klf12,0.00010236984480081547,Klf12
MS00190|SCRT2,0.00010267413378852705,SCRT2
MS00021|ETV6,0.00012230103115397028,ETV6
MC00223|SMAD2/3,0.00012788935142564586,SMAD2/3
M00712|MYOG,0.0001279609689024515,MYOG
MS00331|MAFK,0.00013703542059905518,MAFK
MS00808|TFEC,0.00014019562588372318,TFEC
MC00163|Creb1,0.00014304314997929272,Creb1
MS00285|TCF4,0.00014439448300830702,TCF4
MS00097|MYBL1,0.0001676357027011197,MYBL1
MC00174|REST,0.0001732947131003531,REST
UP00093|Klf7,0.00017494067401217908,Klf7
MC00362|Arntl,0.0001785385090681645,Arntl
MS00216|TBX5,0.00018621849537349392,TBX5
MS00093|Pknox2,0.00020367602829945414,Pknox2
MC00305|Sox6,0.0002037558422125527,Sox6
M00644|UBP1,0.00021492386741899005,UBP1
MS00386|FOXO6,0.00021510023276074663,FOXO6
MS00464|GSC,0.00021535188103859358,GSC
MS00114|NFIB,0.00021870356714138634,NFIB
M00678|ETV7,0.00022321933238241825,ETV7
MS00246|SP8,0.00022852135231226967,SP8
MS00062|HSFY2,0.00024076378001465105,HSFY2
MA0017|NR2F1,0.00024173122664913207,NR2F1
MC00368|Hsf1,0.00024210976620396636,Hsf1
MS00713|THRB,0.00024343789617203723,THRB
UP00010|Tcfap2b,0.00024737368761613916,Tcfap2b
UP00086|IRF3,0.0002518051773579475,IRF3
M01081|ZNF628,0.0002521700702015601,ZNF628
MS00468|ZNF75A,0.0002573448293309462,ZNF75A
MC00334|SIX5,0.0002671847888733853,SIX5
MS00320|JDP2,0.0002723071382811128,JDP2
M01112|RBPJ,0.0002745800560371165,RBPJ
MS00135|KLF14,0.0002757596109998042,KLF14
MC00110|Klf1,0.0002797432081443672,Klf1
UP00011|IRF6,0.00028177051024401564,IRF6
MS00708|Rxrb,0.0003127034019982459,Rxrb
MS00270|Mlx,0.00032228195760266546,Mlx
MS00730|ZNF435,0.00033547285793464576,ZNF435
M01109|ZNF589,0.00034467947019776465,ZNF589
MS00084|MEIS3,0.00037298189130914003,MEIS3
M00115|CNTN2::CREB1,0.00038466618674777624,CNTN2::CREB1
MS00264|MESP1,0.00041064815902454587,MESP1
M01207|ETS2,0.00041405153560975877,ETS2
MS00669|Nr2f6,0.00044525959108905204,Nr2f6
MS00125|PAX6,0.00045445204292352063,PAX6
MS00202|TBX20,0.0004623387742247841,TBX20
MC00347|STAT4,0.0005007349614585037,STAT4
MS00057|HIC2,0.0005016985003436263,HIC2
MC00473|ATF3,0.0005124004390854494,ATF3
M00467|ZNF423,0.0005143574572233542,ZNF423
MS00219|TEAD1,0.0005153727601760117,TEAD1
M00706|GTF2I,0.0005198019082535079,GTF2I
MS00266|MLX,0.0005311174270152127,MLX
MC00295|Esr1,0.0005382554849890182,Esr1
MS00573|NKX3-2,0.0005425950209042275,NKX3-2
MS00302|CEBPG,0.0005472902317042757,CEBPG
MA0163|PLAG1,0.0005659793605537277,PLAG1
MS00336|NFE2,0.0005697316105941504,NFE2
MS00704|Rarg,0.0006114495928659989,Rarg
MC00121|Cebpb,0.0006199758610550833,Cebpb
MC00467|RXRA,0.0006281034558530236,RXRA
M00792|SMAD1,0.0006508210798382121,SMAD1
UP00027|Osr1,0.0006510579308116249,Osr1
MC00374|TFAP2C,0.0006601810463927637,TFAP2C
MS00067|IRF5,0.0006859419047310177,IRF5
UP00199|SIX4,0.0007045874077973921,SIX4
MC00355|SRF,0.00071747961878989,SRF
MA0130|ZNF354C,0.0007182475465146964,ZNF354C
MS00169|RFX5,0.0007608848584994884,RFX5
UP00048|RARA,0.0007688269594855692,RARA
MS00212|SP1,0.0008474944079159351,SP1
UP00019|ZBTB12,0.0008507479041299222,ZBTB12
MC00134|Ppara,0.0009125726315857474,Ppara
MC00289|HSF1,0.0009324772735496658,HSF1
MS00300|CEBPE,0.0009581367657276797,CEBPE
MS00580|Nkx3-1,0.0009731706864935487,Nkx3-1
MC00477|ZNF711,0.0010297753312345703,ZNF711
MC00203|RFX3,0.001042363486557034,RFX3
MC00144|Rfx1,0.001055350909282618,Rfx1
M00500|STAT6,0.0010945898201925495,STAT6
MC00109|Klf4,0.0011124268431261704,Klf4
MS00700|Rarb,0.0011554590898019334,Rarb
MS00433|DMBX1,0.0012115062683572197,DMBX1
MS00160|PROX1,0.001216224329114112,PROX1
MS00692|RXRB,0.0012331974327770216,RXRB
MC00439|TP63,0.001240508753168182,TP63
MC00192|ZNF263,0.0012487972517610437,ZNF263
MC00507|Meis1,0.0013373579407101445,Meis1
MS00609|RHOXF1,0.0013652092419239317,RHOXF1
MC00281|PBX3,0.0013863219065053541,PBX3
MS00811|RARB,0.001392612270259193,RARB
UP00147|Nkx2-6,0.0014793375244231688,Nkx2-6
MC00371|JUNB,0.0015326788171758881,JUNB
MS00243|Ascl2,0.0015618765921417406,Ascl2
MS00269|MYF6,0.0016620808498215513,MYF6
UP00087|Tcfap2c,0.0017292990122065787,Tcfap2c
MS00221|TEAD3,0.0017498297368485486,TEAD3
MS00479|ZNF784,0.0018080864926623627,ZNF784
UP00249|NKX2-5,0.0019098100150774652,NKX2-5
UP00177|Hoxd12,0.001951791244867677,Hoxd12
MC00130|Pparg,0.001975642876626353,Pparg
MS00251|BHLHE41,0.0019786253285804713,BHLHE41
MC00191|Nfya,0.00199125548696993,Nfya
MS00110|NFKB1,0.002010633825999093,NFKB1
MS00299|CEBPD,0.0020934082690974676,CEBPD
UP00081|Mybl1,0.0021429140918405743,Mybl1
MC00357|Crx,0.0021954069584208063,Crx
MC00330|FOS,0.002249945142874064,FOS
MS00282|Srebf1,0.0023049973550150218,Srebf1
MC00370|Npas4,0.0023312971473761278,Npas4
MS00288|TFE3,0.002381633880238941,TFE3
MC00348|STAT1,0.0024956573936162543,STAT1
