,0,TF
UP00189|HOXA5,0.013956661211142725,HOXA5
MS00326|MAFF,0.013999147679002942,MAFF
UP00159|SIX2,0.014355510137418662,SIX2
MS00290|ZBED1,0.014533290289810485,ZBED1
M01744|ZFP42,0.014804586337624924,ZFP42
MC00505|POLR2B,0.015211481436942727,POLR2B
MS00516|Hoxa2,0.015215473492723945,Hoxa2
MC00452|STAT5B,0.015369431976000658,STAT5B
MS00582|OTX1,0.015409965698547957,OTX1
UP00193|Rhox11,0.015476942599727286,Rhox11
MC00151|SPI1,0.01572672279880529,SPI1
MC00453|STAT5A,0.015959033675749558,STAT5A
MS00371|FOXK1,0.016052373674910945,FOXK1
UP00151|BARX2,0.016066211983024294,BARX2
MS00161|RFX2,0.01626936171951815,RFX2
MS00694|RXRG,0.016299043010700495,RXRG
MS00157|Klf12,0.01631329210869225,Klf12
MS00252|Bhlhb2,0.016331327508638752,Bhlhb2
M01075|ZBTB16,0.016485636493828587,ZBTB16
MC00174|REST,0.016638057530067807,REST
MC00316|HIF1A,0.016742714392312546,HIF1A
MC00407|Myc,0.01717069709672891,Myc
UP00261|LHX4,0.017345921684864325,LHX4
MS00461|GBX2,0.017491028101133604,GBX2
M00133|POU3F1,0.017577600354189434,POU3F1
MC00136|Hoxb4,0.01764637871785788,Hoxb4
M00179|ATF2,0.01766739461935002,ATF2
MC00457|ELF1,0.01779483415689545,ELF1
M00332|FOXN1,0.017865024972021352,FOXN1
MC00385|Ets1,0.018031743692098316,Ets1
MC00157|Tead4,0.01813250802444165,Tead4
MS00513|HOXD8,0.018392787907676875,HOXD8
MS00039|SPIB,0.018526543034026573,SPIB
MC00223|SMAD2/3,0.018646045574739166,SMAD2/3
MC00503|SMAD3,0.018646045574739166,SMAD3
MC00120|GATA1,0.018680629046079623,GATA1
M01171|BCL6,0.01869347781601904,BCL6
MC00364|NFYA,0.018703071922126335,NFYA
MC00344|Hnf4a,0.019662553900872137,Hnf4a
MC00273|CEBPA,0.019679755202531454,CEBPA
MS00106|NFAT5,0.0196967001236796,NFAT5
MC00520|MEIS1,0.020057478529493702,MEIS1
MC00252|Rara,0.020695929183512547,Rara
MS00470|HESX1,0.02085833105522081,HESX1
MS00682|RARG,0.02091566996203885,RARG
M01105|ZNF350,0.021407984558910072,ZNF350
UP00094|Zfp128,0.021896709869177543,Zfp128
MS00291|Tcf21,0.02257317745906671,Tcf21
UP00027|Osr1,0.023167381339203565,Osr1
MS00586|Otx1,0.02356851866807897,Otx1
MA0161|NFIC,0.023679713408194115,NFIC
MS00372|FOXL1,0.024004926490666063,FOXL1
MC00362|Arntl,0.0240689587758248,Arntl
M01364|Obox2,0.024928157919023808,Obox2
MA0040|Foxq1,0.02509757472516889,Foxq1
MC00532|Mycn,0.025336519284724832,Mycn
MC00371|JUNB,0.02572494227617164,JUNB
M01334|Nkx1-1,0.025982379121756854,Nkx1-1
MS00324|Jdp2,0.026053894803413098,Jdp2
MC00518|Tfcp2,0.026130035169333505,Tfcp2
UP00196|HOXA4,0.026253391000735034,HOXA4
MC00227|IRF4,0.026270944873630724,IRF4
MC00205|Stat5a,0.02628292475974593,Stat5a
MS00669|Nr2f6,0.02661261896173029,Nr2f6
M01268|NR1H4,0.027106607428916046,NR1H4
M00648|MAF,0.028771155204626826,MAF
MS00140|POU3F2,0.029254798800790755,POU3F2
MC00186|Nr1d2,0.029459611719156658,Nr1d2
MC00207|ELK4,0.02950841590936829,ELK4
M00454|ARID5B,0.029520707899505245,ARID5B
MS00552|MEOX2,0.02973904028616537,MEOX2
MS00072|IRF8,0.029979676460160077,IRF8
MC00204|Stat5b,0.03007358960042982,Stat5b
M00105|CUX1,0.030246202007916993,CUX1
UP00418|Etv6,0.03045991316072532,Etv6
MS00662|NR3C2,0.030989940806611726,NR3C2
MS00248|BHLHB3,0.031001776144170882,BHLHB3
MC00325|Gata2,0.031038361707087955,Gata2
MC00416|Rbfox2,0.03132800493699418,Rbfox2
MS00729|ZNF282,0.031642502520211654,ZNF282
MS00288|TFE3,0.03181890725118849,TFE3
UP00206|Hoxb7,0.031923998761106596,Hoxb7
M01112|RBPJ,0.03193189453331091,RBPJ
MA0365|RFX1,0.032128355038624386,RFX1
MC00448|Nr1h2,0.03216949521864038,Nr1h2
MS00563|Meox2,0.03236809326173005,Meox2
M00649|MAZ,0.03240687529715854,MAZ
MS00464|GSC,0.0325584294309495,GSC
MS00351|FOXC1,0.0326874935661353,FOXC1
MC00372|Yy1,0.03298576628751161,Yy1
MC00287|POU2F2,0.033064292870563596,POU2F2
MS00266|MLX,0.03352355813030107,MLX
M00341|GABPB1,0.03406660164651534,GABPB1
MC00289|HSF1,0.034254211631166855,HSF1
MC00193|RELA,0.0344663257766194,RELA
MS00423|ZNF524,0.0344814663645863,ZNF524
M01592|TFCP2L1,0.03483767779881976,TFCP2L1
MS00011|BCL6B,0.03519274127134676,BCL6B
MC00476|Rarg,0.03621610015643726,Rarg
UP00041|Foxj1,0.036220509780465274,Foxj1
M01656|Trp63,0.03631970476165844,Trp63
MC00288|POU2F1,0.03660866933160564,POU2F1
UP00243|Isx,0.03677446937815014,Isx
MS00360|FOXG1,0.0373580336036655,FOXG1
UP00044|Mafk,0.03805979587930074,Mafk
MS00595|PITX1,0.03812815524328267,PITX1
MS00559|MSX1,0.03819573042378321,MSX1
MS00626|VSX1,0.03831612175258238,VSX1
UP00413|Elf4,0.038400054873505535,Elf4
MS00035|GLIS2,0.03841094582006617,GLIS2
MS00619|Uncx,0.03841560873479918,Uncx
M00468|KLF12,0.03851441261955491,KLF12
M00155|NR2F2,0.03952017025532148,NR2F2
MS00179|SCRT1,0.03992137211630845,SCRT1
MS00551|MEOX1,0.04031407895301231,MEOX1
MS00450|EN2,0.04101427565956644,EN2
MC00165|Pdx1,0.04155698074027781,Pdx1
MS00443|EMX2,0.041607483263316994,EMX2
MC00192|ZNF263,0.04233425099256152,ZNF263
MS00717|Tp53,0.0423439087795394,Tp53
MC00178|Nkx2-5,0.0428841523589125,Nkx2-5
MC00169|Usf2,0.0434390105149552,Usf2
MS00566|NKX2-3,0.04392951795408177,NKX2-3
M00433|Hmx3,0.04471935721206025,Hmx3
MS00588|PDX1,0.04477809634109081,PDX1
MC00104|Foxa1,0.04531129420207249,Foxa1
UP00092|MYB,0.04566757169077736,MYB
M00222|TCF3,0.04607631325230215,TCF3
MS00709|THRA,0.04608577304580266,THRA
M01037|GLI1,0.046391375140260274,GLI1
UP00140|Hoxd1,0.04677607464603937,Hoxd1
MS00285|TCF4,0.046879798288857556,TCF4
MS00665|NR4A2,0.04699881023589873,NR4A2
MS00463|GSC2,0.047268411737550434,GSC2
MC00342|YY1,0.0475721873083143,YY1
UP00194|IRX4,0.04776618307455331,IRX4
MS00076|MEF2D,0.0487167637161138,MEF2D
UP00150|IRX6,0.04872495758705671,IRX6
MS00211|TBX2,0.04875579480162375,TBX2
UP00404|ELF2,0.04998059981400228,ELF2
MS00528|ISL2,0.050063173138896355,ISL2
UP00207|HOXB9,0.0503439136847456,HOXB9
MS00524|Hoxd9,0.05067899418935216,Hoxd9
MC00125|Rest,0.05069922251019858,Rest
MS00599|PRRX1,0.050749668418660174,PRRX1
MC00118|GATA2,0.050945766574244065,GATA2
MA0116|Zfp423,0.05096283025630077,Zfp423
UP00139|Nkx1-2,0.051017563281314335,Nkx1-2
MA0101|REL,0.051355218923928116,REL
MC00128|CTCF,0.05267837160817527,CTCF
MC00473|ATF3,0.053854218519454114,ATF3
MS00490|ZSCAN4,0.05401937139555105,ZSCAN4
MS00465|GSX1,0.05422230203383531,GSX1
UP00401|SOX4,0.05551815334821319,SOX4
MC00305|Sox6,0.05611726305513054,Sox6
UP00388|SIX6,0.05703304435948895,SIX6
MS00469|Gbx2,0.057207176372892674,Gbx2
MS00414|BARHL2,0.05776049857732916,BARHL2
MS00495|HOXC10,0.05778288986685541,HOXC10
MC00105|Foxa2,0.058109158173877164,Foxa2
M01132|SF1,0.058361987887518785,SF1
MS00489|HOXB13,0.05848626041615439,HOXB13
MC00250|Nkx3-1,0.05930266809203118,Nkx3-1
UP00215|Vax1,0.05971639245784102,Vax1
MS00267|MNT,0.0599066716182598,MNT
MS00527|IRX5,0.060490321108964455,IRX5
MS00446|EN1,0.060987623967093035,EN1
MS00427|DLX1,0.06106480751958588,DLX1
MS00177|RUNX3,0.06171209143328537,RUNX3
MS00732|CPEB1,0.06237964106826855,CPEB1
MS00578|NOTO,0.06241323775061635,NOTO
UP00126|DLX2,0.06348745264517192,DLX2
MS00401|ZNF306,0.0635936456607032,ZNF306
MS00202|TBX20,0.06451415267617784,TBX20
MS00518|Hoxc10,0.06522711299625428,Hoxc10
UP00177|Hoxd12,0.06576682131428367,Hoxd12
MS00384|FOXO6,0.0660787313656419,FOXO6
M01312|NKX2-1,0.06622889674556402,NKX2-1
MC00311|FOXA1,0.06635554500236629,FOXA1
MS00040|SPIC,0.06772384484465711,SPIC
MS00774|SOX8,0.0687264399551148,SOX8
UP00182|HOXA6,0.068840905572103,HOXA6
M01247|NANOG,0.06979581898191285,NANOG
UP00120|Lbx2,0.07047988126844247,Lbx2
MA0051|IRF2,0.07116111588970561,IRF2
UP00148|Hdx,0.0715601230437467,Hdx
MC00402|Hoxc9,0.07185335119713594,Hoxc9
MC00109|Klf4,0.07273357719238593,Klf4
M01195|TBX22,0.07424327199499543,TBX22
MC00224|EPAS1,0.07441761607128754,EPAS1
UP00024|Glis2,0.0748000821511579,Glis2
MS00475|HMX3,0.075156212188538,HMX3
MS00367|FOXJ3,0.07641416708789245,FOXJ3
UP00164|HOXA7,0.07741583415246137,HOXA7
MS00046|GLIS3,0.07889764171947816,GLIS3
MS00070|IRF7,0.07903893575104427,IRF7
MS00614|SHOX,0.07906202225184354,SHOX
MC00135|Rela,0.0790735850858003,Rela
M00220|SREBF1,0.07939200325298679,SREBF1
MS00621|VAX2,0.07959799236669818,VAX2
MS00502|HOXC12,0.07976483300972351,HOXC12
MS00808|TFEC,0.08014917800575924,TFEC
UP00238|Nkx6-3,0.08059264573321923,Nkx6-3
MS00486|HOXA1,0.08161639546755232,HOXA1
MS00658|NR2F6,0.08187778900318778,NR2F6
MS00255|HES5,0.08474484993533571,HES5
MS00300|CEBPE,0.08529072738987373,CEBPE
UP00236|IRX2,0.0861329887717538,IRX2
MC00160|ETV3,0.08616092180398237,ETV3
MS00467|Gbx1,0.08631732269675435,Gbx1
M01453|ALX1,0.08742292424030651,ALX1
UP00181|BARX1,0.0877079488785937,BARX1
MC00334|SIX5,0.08832640466082507,SIX5
MS00481|HOXA10,0.08847445736516993,HOXA10
MS00585|OTX2,0.08867015591867072,OTX2
MS00459|GBX1,0.08934153626670537,GBX1
MC00330|FOS,0.09003219370859222,FOS
MS00820|NFIA,0.09154943921814679,NFIA
MA0164|NR2E3,0.09192891011201201,NR2E3
MC00110|Klf1,0.09384100787846882,Klf1
MS00606|RAX,0.09465090176873607,RAX
MS00507|HOXD11,0.09575526102583627,HOXD11
MC00349|Jun,0.0973311198648056,Jun
M01734|NFATC4,0.09840758642439038,NFATC4
MS00318|Hlf,0.09904808061113753,Hlf
MS00438|DUXA,0.09910036891519527,DUXA
MC00455|Cdx2,0.10058949397139304,Cdx2
UP00030|Sox11,0.10161098529849058,Sox11
UP00119|Nkx2-9,0.10166220408871245,Nkx2-9
MS00388|Foxc1,0.10185235811390067,Foxc1
MC00329|Srf,0.10201668312530092,Srf
MS00149|POU4F2,0.1020897317372811,POU4F2
M01067|GFI1,0.10217839977377398,GFI1
MS00498|HOXC11,0.10224376870513531,HOXC11
MC00408|Myb,0.10260664208687802,Myb
MS00615|Shox2,0.10361270134255939,Shox2
M01466|Obox3,0.10376738717966284,Obox3
MC00467|RXRA,0.10654016116715165,RXRA
UP00085|Sfpi1,0.10685193665449091,Sfpi1
MS00304|CREB3L1,0.1073478338472289,CREB3L1
MS00147|POU3F4,0.1074360091550193,POU3F4
MS00613|SHOX2,0.10784586376960278,SHOX2
MS00019|ETV5,0.1078955255271043,ETV5
MS00455|EVX2,0.10822909674358588,EVX2
MC00367|GABPA,0.11069813257755211,GABPA
UP00260|Hoxc6,0.11148701587637692,Hoxc6
MS00352|FOXC2,0.11246411667344516,FOXC2
MS00084|MEIS3,0.11322055728449121,MEIS3
MS00294|ATF7,0.11584877479405511,ATF7
MS00088|Meis3,0.11609314971665331,Meis3
UP00080|Gata5,0.11621511581318496,Gata5
MC00231|MEF2C,0.11671920196518931,MEF2C
UP00248|Pax7,0.11710973807120528,Pax7
M00294|Foxf1a,0.12140194974509123,Foxf1a
MC00146|Smad2/3,0.12730672284883993,Smad2/3
UP00213|HOXA9,0.12761713430296823,HOXA9
MS00700|Rarb,0.1276242292919929,Rarb
MS00220|TEAD1,0.12808094746843005,TEAD1
MS00148|POU4F1,0.1283213807953108,POU4F1
M01326|GSX2,0.12964422727416655,GSX2
MS00531|ISX,0.13053720753330172,ISX
MS00217|TBX5,0.13068673796837826,TBX5
M00706|GTF2I,0.13285321375905287,GTF2I
MS00404|ALX4,0.13297770028216113,ALX4
M00644|UBP1,0.1334058159306974,UBP1
