,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
55221|598-SKD,0.6356287559248188,Homo sapiens,598-SKD,other,HeLa,Epithelium,Cervix,1
55271|AR,0.6356287559248188,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,0
38648|GLI1,0.6356287559248188,Homo sapiens,GLI1,tf,LoVo,None,Colon,0
55281|AR,0.6356287559248188,Homo sapiens,AR,tf,BicR,Epithelium,Prostate,1
55283|TET2,0.6356287559248188,Homo sapiens,TET2,cr,LNCaP,Epithelium,Prostate,0
42670|HOXB1,0.6356287559248188,Homo sapiens,HOXB1,tf,LoVo,None,Colon,0
42672|HOXB5,0.6356287559248188,Homo sapiens,HOXB5,tf,LoVo,None,Colon,0
33302|RAD21,0.6356287559248188,Homo sapiens,RAD21,not sure,None,Proerythroblast,Bone Marrow,0
42669|HOXA11,0.6356287559248188,Homo sapiens,HOXA11,tf,LoVo,None,Colon,0
73755|FOXD3,0.6356287559248188,Homo sapiens,FOXD3,tf,A549,Epithelium,Lung,0
1354|STAT1,0.6356287559248188,Homo sapiens,STAT1,tf,HeLa-S3,Epithelium,Cervix,0
58464|ARID1B,0.6356287559248188,Homo sapiens,ARID1B,predicted transcription factor,HepG2,Epithelium,Liver,0
33476|IRF5,0.6356287559248188,Homo sapiens,IRF5,tf,None,Monocyte,Blood,0
33481|IRF5,0.6356287559248188,Homo sapiens,IRF5,tf,None,Monocyte,Blood,0
42667|HNF1A,0.6356287559248188,Homo sapiens,HNF1A,tf,LoVo,None,Colon,0
44688|LANA,0.6356287559248188,Homo sapiens,LANA,other,iSLK-219,Epithelium,Kidney,0
42676|HOXD9,0.6356287559248188,Homo sapiens,HOXD9,tf,LoVo,None,Colon,0
49731|ASCL1,0.6356287559248188,Homo sapiens,ASCL1,tf,NCI-H524,Epithelium,Lung,0
42857|NFIB,0.6356287559248188,Homo sapiens,NFIB,predicted transcription factor,LoVo,None,Colon,0
49633|PRKDC,0.6356287559248188,Homo sapiens,PRKDC,other,MCF-7,Epithelium,Breast,0
39389|AR,0.6356287559248188,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,1
41376|PR,0.6356287559248188,Homo sapiens,PR,predicted transcription factor,None,Endothelial Cell,Umbilical Vein,0
49198|F2RL1,0.6356287559248188,Homo sapiens,F2RL1,not sure,HEK293,Epithelium,Embryonic Kidney,0
52251|AR,0.6356287559248188,Homo sapiens,AR,tf,None,Granulosa cell,Ovary,0
76551|POLB,0.6356287559248188,Homo sapiens,POLB,other,MCF-7,MCF 7 Cells,None,0
35655|EZH2,0.6356287559248188,Homo sapiens,EZH2,cr,SU-DHL5,B Lymphocyte,Lymph Node,1
49184|EGFA-T1,0.6356287559248188,Homo sapiens,EGFA-T1,other,HeLa,Epithelium,Cervix,0
76550|POLB,0.6356287559248188,Homo sapiens,POLB,other,MCF-7,MCF 7 Cells,None,1
42838|LCOR,0.6356287559248188,Homo sapiens,LCOR,tf,LoVo,None,Colon,0
48605|CBX5,0.6356287559248188,Homo sapiens,CBX5,cr,None,Epithelium,None,0
42861|PLAG1,0.6356287559248188,Homo sapiens,PLAG1,tf,LoVo,None,Colon,0
52220|LMNA,0.6356287559248188,Homo sapiens,LMNA,not sure,HeLa,Epithelium,Cervix,1
76549|MDM2,0.6356287559248188,Homo sapiens,MDM2,cr,H1299,Epithelium,Lung,0
42837|KCMF1,0.6356287559248188,Homo sapiens,KCMF1,not sure,LoVo,None,Colon,0
52219|EBNA3A,0.6356287559248188,Homo sapiens,EBNA3A,other,HEK293T,Epithelium,Embryonic Kidney,0
52218|EBNA3A,0.6356287559248188,Homo sapiens,EBNA3A,other,HEK293T,Epithelium,Embryonic Kidney,0
42836|IRF9,0.6356287559248188,Homo sapiens,IRF9,tf,LoVo,None,Colon,0
68710|BRD4,0.6356287559248188,Homo sapiens,BRD4,cr,IMR90,None,None,0
68664|MLLT3,0.6356287559248188,Homo sapiens,MLLT3,not sure,None,Neuronal Progenitor cell,None,1
8664|EZH2,0.6356287559248188,Homo sapiens,EZH2,cr,VCaP,Epithelium,Prostate,1
76411|ESCO2,0.6356287559248188,Homo sapiens,ESCO2,other,None,None,None,1
42748|AHCTF1,0.6356287559248188,Homo sapiens,AHCTF1,tf,LoVo,None,Colon,0
17|TERF1,0.6356287559248188,Homo sapiens,TERF1,predicted chromatin regulator,BJ,Fibroblast,Skin,0
38822|HOXA7,0.6356287559248188,Homo sapiens,HOXA7,tf,LoVo,None,Colon,0
42754|CASP8AP2,0.6356287559248188,Homo sapiens,CASP8AP2,tf,LoVo,None,Colon,0
48449|BRD4,0.6356287559248188,Homo sapiens,BRD4,cr,MCF-7,Epithelium,Breast,0
8524|HNRNPL,0.6356287559248188,Homo sapiens,HNRNPL,predicted transcription factor,HeLa,Epithelium,Cervix,0
8525|HNRNPL,0.6356287559248188,Homo sapiens,HNRNPL,predicted transcription factor,HeLa,Epithelium,Cervix,0
52538|AR,0.6356287559248188,Homo sapiens,AR,tf,R1-AD1,Epithelium,Prostate,0
50992|KMT2A,0.6356287559248188,Homo sapiens,KMT2A,not sure,None,Hematopoietic stem and progenitor cell,Cord blood,0
49261|SCML2,0.6356287559248188,Homo sapiens,SCML2,tf,293T-Rex,None,None,0
42753|BCL6,0.6356287559248188,Homo sapiens,BCL6,predicted transcription factor,LoVo,None,Colon,0
38828|BTF3,0.6356287559248188,Homo sapiens,BTF3,tf,LoVo,None,Colon,0
8551|PCGF1,0.6356287559248188,Homo sapiens,PCGF1,cr,HEK293T,Epithelium,Embryonic Kidney,0
42827|FOXF2,0.6356287559248188,Homo sapiens,FOXF2,predicted transcription factor,LoVo,None,Colon,0
51053|PIAS1,0.6356287559248188,Homo sapiens,PIAS1,other,VCaP,Epithelium,Prostate,0
42839|LCOR,0.6356287559248188,Homo sapiens,LCOR,tf,LoVo,None,Colon,0
42751|BACH1,0.6356287559248188,Homo sapiens,BACH1,tf,LoVo,None,Colon,0
8554|PCGF5,0.6356287559248188,Homo sapiens,PCGF5,predicted chromatin regulator,HEK293T,Epithelium,Embryonic Kidney,0
