,0,TF
UP00034|Sox7,0.22692193006234437,Sox7
MC00378|POU5F1,0.22778219532344912,POU5F1
MS00091|PKNOX1,0.23242152666892735,PKNOX1
M01150|Dmrta2,0.23414611183485412,Dmrta2
MS00730|ZNF435,0.23760421621466565,ZNF435
MS00326|MAFF,0.24090356665633184,MAFF
MS00271|NEUROD2,0.24151592878254366,NEUROD2
MS00302|CEBPG,0.24321234901216934,CEBPG
MS00362|FOXI1,0.25007993181950094,FOXI1
MC00368|Hsf1,0.2507901654969214,Hsf1
M00706|GTF2I,0.2523735476615081,GTF2I
UP00248|Pax7,0.25391904590654596,Pax7
MS00114|NFIB,0.25598899036696,NFIB
UP00261|LHX4,0.25661262708310106,LHX4
MS00264|MESP1,0.25904420216631485,MESP1
MS00515|Hoxa11,0.26146579487164096,Hoxa11
MA0365|RFX1,0.26235592196876156,RFX1
MS00465|GSX1,0.2644399258373575,GSX1
MS00700|Rarb,0.2689011368381285,Rarb
UP00080|Gata5,0.26986225452869905,Gata5
M00478|CDC5L,0.27086564372522615,CDC5L
MC00192|ZNF263,0.27547606845947115,ZNF263
UP00252|HOXC5,0.28367994442063854,HOXC5
M01230|ZNF333,0.28514820421587517,ZNF333
MS00539|LHX6,0.2862954016689626,LHX6
MS00455|EVX2,0.2909052103266044,EVX2
MA0130|ZNF354C,0.3039716559993662,ZNF354C
MS00537|LHX2,0.30790797673316916,LHX2
UP00213|HOXA9,0.3177510545154962,HOXA9
UP00113|HOXC4,0.3198114976180127,HOXC4
MC00231|MEF2C,0.3292482440068118,MEF2C
UP00159|SIX2,0.33178988187880537,SIX2
MC00136|Hoxb4,0.3319023335935045,Hoxb4
UP00048|RARA,0.3343007060352374,RARA
MC00169|Usf2,0.3345362320345577,Usf2
UP00195|SIX3,0.33545964549450513,SIX3
M01656|Trp63,0.3446418678905207,Trp63
UP00148|Hdx,0.34673327159025064,Hdx
MC00357|Crx,0.3485731826554348,Crx
MS00372|FOXL1,0.34927862750903876,FOXL1
MS00220|TEAD1,0.35110288708782117,TEAD1
MC00505|POLR2B,0.3584894639578401,POLR2B
UP00401|SOX4,0.3598930226803831,SOX4
UP00125|PITX2,0.36450384098147115,PITX2
M01306|ZNF217,0.3648262577931734,ZNF217
M01483|Dbx1,0.3680650694830623,Dbx1
MS00476|HNF1A,0.3688258795832494,HNF1A
MS00513|HOXD8,0.36910187985774706,HOXD8
MC00396|Nr3c1,0.3728034119385393,Nr3c1
MC00295|Esr1,0.38040527323848167,Esr1
MS00728|ZNF232,0.38840969868407854,ZNF232
MC00265|Tcf3,0.3932966844089393,Tcf3
MS00718|Tp53,0.4023616138367959,Tp53
UP00231|NKX2-2,0.4031514243778221,NKX2-2
M01445|Obox6,0.41571027197174526,Obox6
UP00105|POU3F4,0.4187248804635172,POU3F4
M01364|Obox2,0.42527404099596633,Obox2
MC00326|Gata3,0.4351275973176483,Gata3
UP00263|Hoxb8,0.4451053640955469,Hoxb8
MS00595|PITX1,0.44763387237143903,PITX1
MS00221|TEAD3,0.44896515489997546,TEAD3
MS00111|NFKB2,0.45114899436149825,NFKB2
UP00152|Arx,0.4519122490847398,Arx
UP00137|Hoxb3,0.4538213391587066,Hoxb3
MS00449|EN1,0.4539830996587313,EN1
UP00075|Sox15,0.45660321566306705,Sox15
MS00339|TEF,0.45714255480697585,TEF
MS00493|HOXB5,0.45985337882608623,HOXB5
MC00413|Runx1,0.46153451228211473,Runx1
MC00304|FOXH1,0.4626133858710727,FOXH1
MS00406|Alx1,0.4629974313953006,Alx1
MS00424|CART1,0.463822780624761,CART1
MS00474|HMX2,0.4672822395100813,HMX2
MC00157|Tead4,0.4760265248241363,Tead4
MS00376|FOXO1,0.4843069098131426,FOXO1
MS00033|SPDEF,0.4883395647649199,SPDEF
MS00134|POU2F2,0.4943884889233072,POU2F2
MS00596|PITX3,0.4965498307399777,PITX3
MS00491|HOXB2,0.5006956069613377,HOXB2
UP00161|Hmbox1,0.5031873054269939,Hmbox1
UP00197|HOXC9,0.5033568294905242,HOXC9
MS00129|POU1F1,0.5040220110161084,POU1F1
UP00187|ALX4,0.506634068982331,ALX4
UP00192|SIX1,0.5095288447152095,SIX1
UP00128|POU3F2,0.5097369332628325,POU3F2
M00526|NR6A1,0.5212862860979445,NR6A1
MS00296|BATF3,0.5257576625111612,BATF3
UP00218|Dbx2,0.5336857550078818,Dbx2
MC00142|PPARG,0.534181223691707,PPARG
M01149|Dmrta1,0.5355823417183854,Dmrta1
MC00474|BCL11A,0.5357737140641863,BCL11A
MC00260|Pax3,0.539418756498676,Pax3
MS00318|Hlf,0.5397378351306884,Hlf
MS00829|ESRRA,0.5458223404066147,ESRRA
UP00221|PHOX2A,0.5562984069885131,PHOX2A
MC00226|Nanog,0.5592279927106028,Nanog
UP00129|Pou3f1,0.564631334897121,Pou3f1
MS00218|T,0.5677531912750009,T
