Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
6244	74842	GRHL2	LNCaP	Epithelium	Prostate	0.9999982051567198	2.339497648489307e-05	0.0011206287633576753	0.999994157913207
6245	64120	HES2	A549	Epithelium	Lung	0.9999981106729191	0.0005585918274762428	0.004044306598972391	0.9999943101159354
6246	56543	TEAD4	HuCCT1	None	None	0.9999981722194594	0.009453522283420406	0.1167017017252433	0.999994515516285
6247	1086	SMAD4	H9	Embryonic Stem Cell	Embryo	0.9999982170852768	0.18266386525646577	0.548376680235091	0.9999946512140726
6248	56058	RAD21	MCF-7	Epithelium	Breast	0.9999983575180904	2.6809256866071748e-05	0.03102249869511704	0.9999947506748168
6249	52241	ZTA	Akata	B Lymphocyte	None	0.999998264708098	0.14155340746885814	0.4296497712376546	0.9999947940583622
6250	2391	RAD21	MCF-7	Epithelium	Breast	0.9999983298226449	0.0002928958414013574	0.08117420471980208	0.9999949606305629
6251	69273	AR	VCaP	Epithelium	Prostate	0.9999983316022918	0.036778773694013674	0.08455239136203302	0.999994994484386
6252	62628	FOSL2	A549	Epithelium	Lung	0.9999983711609137	0.00037114942090704005	0.004129103937946898	0.9999950899977696
6253	42153	CTCF	HCT-116	None	Colon	0.999998635104284	8.475408898703779e-06	0.00044438202688007174	0.9999951013848767
6254	67749	GATA2	LNCaP	Epithelium	Prostate	0.9999983794216545	0.007175065407462102	0.467715467965962	0.9999951371642978
6255	44399	GATA3	MCF-7	Epithelium	Breast	0.9999992274028343	1.4860067885675492e-06	0.0038888024735529293	0.999995170124381
6256	63921	HDGF	K562	Erythroblast	Bone Marrow	0.99999843228793	0.943336079284086	0.9869424400608983	0.999995297556781
6257	68056	ESR1	MCF-7	None	Breast	0.999998483559043	0.004184837614562263	0.08280564116564987	0.9999954489466232
6258	8661	HDAC3	VCaP	Epithelium	Prostate	0.9999985299395553	0.09622446898415565	0.2750610721322046	0.9999955897359647
6259	64332	NR3C1	A549	Epithelium	Lung	0.9999985607384851	0.7135412275670387	0.8496365340318993	0.999995682269158
6260	41284	TP63	EP156T	Epithelium	Prostate	0.9999986028430595	0.16542718947305818	0.5709137990390515	0.9999958085011922
6261	71952	ESR1	T47D	None	Breast	0.9999986242633854	0.8684400862282424	0.9716419986692523	0.9999958730305091
6262	37093	NR3C1	LNCaP	Epithelium	Prostate	0.9999986619805319	0.00022225526465285096	0.029414861101200646	0.9999959614455425
