,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
73699|MED1,5.3342472500915675e-14,Homo sapiens,MED1,predicted transcription factor,SEM,B Lymphocyte,None,1,MED1
63406|POLR2AphosphoS5,5.5270824434125464e-14,Homo sapiens,POLR2AphosphoS5,,None,iPSC,None,1,POLR2AphosphoS5
7527|HEY1,5.76072703805307e-14,Homo sapiens,HEY1,tf,K562,Erythroblast,Bone Marrow,1,HEY1
73696|LEO1,6.004071056889064e-14,Homo sapiens,LEO1,predicted chromatin regulator,SEM,B Lymphocyte,None,1,LEO1
45866|MXI1,6.294562835499193e-14,Homo sapiens,MXI1,tf,IMR90,Fibroblast,Lung,1,MXI1
45936|NFYB,7.166522897279849e-14,Homo sapiens,NFYB,tf,K562,Erythroblast,Bone Marrow,1,NFYB
42712|E2F3,1.0619836511866972e-13,Homo sapiens,E2F3,tf,LoVo,None,Colon,1,E2F3
73701|KDM2B,1.1525530610641252e-13,Homo sapiens,KDM2B,cr,SEM,B Lymphocyte,None,1,KDM2B
64039|HBP1,1.1867041481890876e-13,Homo sapiens,HBP1,tf,HepG2,Epithelium,Liver,1,HBP1
36845|AR,1.2802176903184473e-13,Homo sapiens,AR,tf,MDA-MB-453,Epithelium,Mammary Gland,1,AR
63295|ZNF335,1.341323241662133e-13,Homo sapiens,ZNF335,tf,HEK293,Epithelium,Embryonic Kidney,1,ZNF335
39460|FOXM1,1.3971342320951688e-13,Homo sapiens,FOXM1,tf,MDA-MB-231,Epithelium,Breast,1,FOXM1
392|NOTCH1,1.4637144395293962e-13,Homo sapiens,NOTCH1,both predicted transcription factor and chromatin regulator,CUTLL1,T Lymphocyte,Blood,1,NOTCH1
68632|KMT2D,1.4894772466085114e-13,Homo sapiens,KMT2D,cr,None,patient derived xenograft cells,None,1,KMT2D
64302|E2F5,2.1459407624738387e-13,Homo sapiens,E2F5,,K562,Erythroblast,Bone Marrow,1,E2F5
65204|YY1,2.1708765687911473e-13,Homo sapiens,YY1,tf,HEK293,Epithelium,Embryonic Kidney,1,YY1
55543|RAG2,2.1834509471476918e-13,Homo sapiens,RAG2,cr,None,Thymocyte,None,1,RAG2
