,0,TF
MS00684|RARG,3.2679274041325985e-05,RARG
M00115|CNTN2::CREB1,3.531156227342183e-05,CNTN2::CREB1
MS00414|BARHL2,3.540634413930626e-05,BARHL2
M00133|POU3F1,3.736525661331392e-05,POU3F1
MS00103|MYBL2,3.932272412243388e-05,MYBL2
MS00055|HOMEZ,3.9902259766912704e-05,HOMEZ
MS00304|CREB3L1,4.1672057152654906e-05,CREB3L1
MS00207|TBX21,4.721362451335379e-05,TBX21
MC00130|Pparg,7.487724223125053e-05,Pparg
MS00290|ZBED1,8.185894113621955e-05,ZBED1
M01105|ZNF350,8.43517293400723e-05,ZNF350
MS00475|HMX3,8.809797971453784e-05,HMX3
M00478|CDC5L,8.83000806734797e-05,CDC5L
MC00359|TP53,0.00010348355564087357,TP53
MC00174|REST,0.00010881371540091787,REST
MC00370|Npas4,0.00011712434611164057,Npas4
UP00137|Hoxb3,0.0001427593808058942,Hoxb3
M00644|UBP1,0.00016550433299279978,UBP1
MS00296|BATF3,0.0001668307632336658,BATF3
MS00057|HIC2,0.00016736278894537938,HIC2
UP00177|Hoxd12,0.00017329629292486807,Hoxd12
MC00110|Klf1,0.00022164268035778867,Klf1
MS00255|HES5,0.00022922278476549736,HES5
MS00101|Hic1,0.00024718200943242894,Hic1
UP00114|Homez,0.0002793837568078729,Homez
MS00311|Creb3l2,0.00027976547145401365,Creb3l2
M01112|RBPJ,0.00028196219242318613,RBPJ
UP00117|Hoxd11,0.0003036370538861562,Hoxd11
M00222|TCF3,0.00031041145154274153,TCF3
MS00626|VSX1,0.000319748967311857,VSX1
MC00448|Nr1h2,0.0003417899381556236,Nr1h2
UP00132|Evx2,0.0003608521958192148,Evx2
MS00449|EN1,0.0003684418211611807,EN1
MC00132|TP73,0.00046475975022724976,TP73
MS00694|RXRG,0.0005185252952203452,RXRG
M01075|ZBTB16,0.0005682161657508566,ZBTB16
MS00171|Rfx2,0.0005816402320572884,Rfx2
MC00458|TAL1,0.0006109582674699306,TAL1
UP00020|ATF1,0.0006112991828537385,ATF1
UP00193|Rhox11,0.0006807498988808808,Rhox11
MS00579|TFCP2,0.0008600141931309362,TFCP2
MC00407|Myc,0.0008802794233050139,Myc
MS00525|Hoxd9,0.0010370751036185507,Hoxd9
MS00299|CEBPD,0.0010991098023532752,CEBPD
UP00164|HOXA7,0.001111258448063637,HOXA7
MC00163|Creb1,0.0011257330153542882,Creb1
MS00326|MAFF,0.0011408349078144875,MAFF
M01425|HNF1B,0.0012185223507194072,HNF1B
MS00445|ZNF740,0.0012433902612053237,ZNF740
M00750|HMGA1,0.001291216391176648,HMGA1
